the	die	the	die	DET;DEF	DET;DEF
contributors	bydraers	contributor	bydraer	N;PL	N;PL
pit	pit	pit	pit	N;SG	N;SG
optional	opsionele	optional	opsioneel	ADJ	ADJ;NOM
garrison	garnisoen	garrison	garnisoen	N;SG	N;SG
achievements	prestasies	achievement	prestasie	N;PL	N;PL
glacier	gletser	glacier	gletser	N;SG	N;SG
binding	binding	bind	binding	N;SG	N;SG
developer	ontwikkelaar	developer	ontwikkelaar	N;SG	N;SG
doctrine	leerstelling	doctrine	leerstelling	N;SG	N;SG
hotels	hotelle	hotel	hotelle	N;PL	N;PL
hotels	hotels	hotel	hotels	N;PL	N;PL
developments	ontwikkelings	development	ontwikkeling	N;PL	N;PL
literacy	geletterdheid	literacy	geletterdheid	N;SG	N;SG
currency	geldeenheid	currency	geldeenheid	N;SG	N;SG
arrives	arriveer	arrive	arriveer	V;IND;SG;3;PRS;FIN	V;PRS
dollar	dollar	dollar	dollar	N;SG	N;SG
ambassadors	ambassadeurs	ambassador	ambassadeur	N;PL	N;PL
centres	sentrums	centre	sentrum	N;PL	N;PL
recommend	aanbeveel	recommend	aanbeveel	V;IND;FIN	V;PRS
descendants	afstammelinge	descendant	afstammeling	N;PL	N;PL
handling	hantering	handling	hantering	N;SG	N;SG
customs	doeane	custom	doean	N;PL	N;PL
collect	versamel	collect	versamel	V;IMP;FIN	V;PRS
certificate	sertifikaat	certificate	sertifikaat	N;SG	N;SG
destination	bestemming	destination	bestemming	N;SG	N;SG
consumption	vrymoedigheid	consumption	vrymoedigheid	N;SG	N;SG
pushing	ondermyn	push	ondermyn	V;V.MSDR	V;PRS
constantly	heeltyd	constantly	heeltyd	ADV	ADV
survivors	oorlewendes	survivor	oorlewende	N;PL	N;PL
temples	tempels	temple	tempel	N;PL	N;PL
sheet	staat	sheet	staat	N;SG	N;SG
confidence	sekerheid	confidence	sekerheid	N;SG	N;SG
confidence	vertroue	confidence	vertroue	N;SG	N;SG
cuisine	kookkuns	cuisine	kookkuns	N;SG	N;SG
legendary	legendariese	legendary	legendaries	ADJ	ADJ;NOM
ignored	geïgnoreer	ignore	ignoreer	V;PST;V.PTCP	V;PST;V.PTCP
keys	sleutels	key	sleutels	N;PL	N;PL
proceedings	verrigtinge	proceedings	verrigting	N;PL	N;PL
quartet	kwartet	quartet	kwartet	N;SG	N;SG
aims	poog	aim	poog	V;IND;SG;3;PRS;FIN	V;PRS
accuracy	akkuraatheid	accuracy	akkuraatheid	N;SG	N;SG
theoretical	teoretiese	theoretical	teoreties	ADJ	ADJ;NOM
suspension	suspensie	suspension	suspensie	N;SG	N;SG
lighting	beligting	lighting	beligting	N;SG	N;SG
customer	klant	customer	klant	N;SG	N;SG
involve	betrek	involve	betrek	V;IMP;FIN	V;PRS
strikes	strikes	strike	strikes	N;PL	N;PL
traveling	reis	traveling	reis	N;SG	N;SG
pianist	pianis	pianist	pianis	N;SG	N;SG
reformed	gereformeerde	reform	reformeer	ADJ	ADJ;NOM
pack	pakket	pack	pakket	N;SG	N;SG
cyclists	fietsryers	cyclist	fietsryer	N;PL	N;PL
payment	betaling	payment	betaling	N;SG	N;SG
suburbs	voorstede	suburb	voorstede	N;PL	N;PL
exhibit	uitstalling	exhibit	uitstalling	N;SG	N;SG
tactical	taktiese	tactical	takties	ADJ	ADJ;NOM
jail	tronk	jail	tronk	N;SG	N;SG
withdraw	ontrek	withdraw	ontrek	V;IMP;FIN	V;PRS
deals	aanbiedinge	deal	aanbieding	N;PL	N;PL
deals	transaksies	deal	transaksie	N;PL	N;PL
convert	omskep	convert	omskep	V;IMP;FIN	V;PRS
afternoon	middag	afternoon	middag	N;SG	N;SG
recall	herroep	recall	herroep	V;IMP;FIN	V;PRS
arrive	daag	arrive	daag	V;IMP;FIN	V;PRS
arrive	aankom	arrive	aankom	V;IMP;FIN	V;PRS
dimensions	dimensies	dimension	dimensies	N;PL	N;PL
gaming	gaming	game	gaming	N;SG	N;SG
ports	poorte	port	poort	N;PL	N;PL
responses	antwoorde	response	antwoord	N;PL	N;PL
scandal	skandaal	scandal	skandaal	N;SG	N;SG
widow	weduwee	widow	weduwee	N;SG	N;SG
probability	waarskynlikheid	probability	waarskynlikheid	N;SG	N;SG
farms	plase	farm	plas	N;PL	N;PL
conferences	konferensies	conference	konferensie	N;PL	N;PL
witness	getuienis	witness	getuienis	N;SG	N;SG
mutual	wedersydse	mutual	wedersyds	ADJ	ADJ;NOM
diet	diet	diet	diet	N;SG	N;SG
clients	kliënte	client	kliënt	N;PL	N;PL
rings	rings	ring	ring	N;PL	N;PL
dialect	dialek	dialect	dialek	N;SG	N;SG
publish	publiseer	publish	publiseer	V;IMP;FIN	V;PRS
kitchen	kombuis	kitchen	kombuis	N;SG	N;SG
abstract	abstrakte	abstract	abstrak	N;SG	N;SG
snake	slang	snake	slang	N;SG	N;SG
motorcycle	motorfiets	motorcycle	motorfiets	N;SG	N;SG
travelled	gekom	travel	kom	V;PST;FIN	V;PST;V.PTCP
gravity	swaartekrag	gravity	swaartekrag	N;SG	N;SG
gravity	gravitasie	gravity	gravitasie	N;SG	N;SG
optical	optiese	optical	optiese	ADJ	ADJ;NOM
graph	grafiek	graph	grafiek	N;SG	N;SG
earn	verwerf	earn	verwerf	V;IMP;FIN	V;PRS
operators	operateurs	operator	operateur	N;PL	N;PL
operators	draers	operator	draers	N;PL	N;PL
footage	beeldmateriaal	footage	beeldmateriaal	N;SG	N;SG
strings	stringe	string	string	N;PL	N;PL
warnings	waarskuwings	warning	waarskuwing	N;PL	N;PL
plains	vlaktes	plain	vlakte	N;PL	N;PL
wheels	wiele	wheel	wiel	N;PL	N;PL
ace	aas	ace	aas	N;SG	N;SG
religions	gelowe	religion	geloof	N;PL	N;PL
grants	toelaes	grant	toelaag	N;PL	N;PL
stolen	gesteel	steal	steel	V;PST;V.PTCP	V;PST;V.PTCP
pin	speld	pin	speld	N;SG	N;SG
prototype	prototipe	prototype	prototip	N;SG	N;SG
copied	gekopieer	copy	kopieer	V;PST;V.PTCP	V;PST;V.PTCP
performers	kunstenaars	performer	kunstenaar	N;PL	N;PL
diversity	verskeidenheid	diversity	verskeidenheid	N;SG	N;SG
repeat	herhaal	repeat	herhaal	V;IMP;FIN	V;PRS
brussels	brussels	brussel	brussel	N;PL	N;PL
shots	skote	shot	skoot	N;PL	N;PL
complaint	klagte	complaint	klag	N;SG	N;SG
verify	verifieer	verify	verifieer	V;IMP;FIN	V;PRS
fossil	fossiel	fossil	fossiel	N;SG	N;SG
inches	duim	inch	duim	N;PL	N;PL
explosion	ontploffing	explosion	ontploffing	N;SG	N;SG
zoo	dieretuin	zoo	dieretuin	N;SG	N;SG
surely	sekerlik	surely	sekerlik	ADV	ADV
egg	eier	egg	eier	N;SG	N;SG
conquest	verowering	conquest	verowering	N;SG	N;SG
algorithm	algoritme	algorithm	algoritm	N;SG	N;SG
burn	skryf	burn	skryf	V;IMP;FIN	V;PRS
balls	balle	ball	bal	N;PL	N;PL
wrestlers	stoeiers	wrestler	stoeier	N;PL	N;PL
prepare	berei	prepare	berei	V;IMP;FIN	V;PRS
prepare	voorberei	prepare	voorberei	V;IMP;FIN	V;PRS
nigerian	nigeriese	nigerian	nigeries	ADJ	ADJ;NOM
catalogue	katalogus	catalogue	katalogus	N;SG	N;SG
discrimination	diskriminasie	discrimination	diskriminasie	N;SG	N;SG
reveal	vertoon	reveal	vertoon	V;IMP;FIN	V;PRS
reveal	onthul	reveal	onthul	V;IMP;FIN	V;PRS
wizard	assistent	wizard	assistent	N;SG	N;SG
spots	ruimtes	spot	ruimte	N;PL	N;PL
spots	kolle	spot	kol	N;PL	N;PL
screenplay	draaiboek	screenplay	draaiboek	N;SG	N;SG
minimal	minimale	minimal	minimaal	ADJ	ADJ;NOM
muscle	spier	muscle	spier	N;SG	N;SG
sustainable	volhoubare	sustainable	volhoubaar	ADJ	ADJ;NOM
complaints	klagtes	complaint	klagte	N;PL	N;PL
teeth	tande	tooth	tande	N;PL	N;PL
fluid	vog	fluid	vog	N;SG	N;SG
compounds	samestellings	compound	samestelling	N;PL	N;PL
instances	gevalle	instance	geval	N;PL	N;PL
instances	instansies	instance	instansie	N;PL	N;PL
laser	laser	laser	laser	N;SG	N;SG
sculptor	beeldhouer	sculptor	beeldhouer	N;SG	N;SG
imprisoned	opgesluit	imprison	opsluit	V;PST;V.PTCP	V;PST;V.PTCP
praise	lofprysing	praise	lofprysing	N;SG	N;SG
parishes	gemeentes	parish	gemeente	N;PL	N;PL
bones	bene	bone	bene	N;PL	N;PL
consequences	gevolge	consequence	gevolg	N;PL	N;PL
circulation	sirkulasie	circulation	sirkulasie	N;SG	N;SG
reactions	reaksies	reaction	reaksie	N;PL	N;PL
lithuanian	litause	lithuanian	litaus	ADJ	ADJ;NOM
horizontal	horisontale	horizontal	horisontaal	ADJ	ADJ;NOM
enzyme	ensiem	enzyme	ensiem	N;SG	N;SG
freight	vrag	freight	vrag	N;SG	N;SG
hydrogen	waterstof	hydrogen	waterstof	N;SG	N;SG
broadcasts	uitsendings	broadcast	uitsending	N;PL	N;PL
pull	trek	pull	trek	V;IMP;FIN	V;PRS
mediation	bemiddeling	mediation	bemiddeling	N;SG	N;SG
catalog	katalogus	catalog	katalogus	N;SG	N;SG
rape	verkragting	rape	verkragting	N;SG	N;SG
engagement	betrokkenheid	engagement	betrokkenheid	N;SG	N;SG
coin	muntstuk	coin	muntstuk	N;SG	N;SG
verified	geverifieer	verify	verifieer	V;PST;V.PTCP	V;PST;V.PTCP
dinner	aandete	dinner	aandet	N;SG	N;SG
hosting	gasheer	hosting	gasheer	N;SG	N;SG
ignore	ignoreer	ignore	ignoreer	V;IMP;FIN	V;PRS
migration	verskuiwing	migration	verskuiwing	N;SG	N;SG
migration	migrasie	migration	migrasie	N;SG	N;SG
duration	tydperk	duration	tydperk	N;SG	N;SG
duration	tydsduur	duration	tydsduur	N;SG	N;SG
fusion	fusie	fusion	fusie	N;SG	N;SG
pound	pond	pound	pond	N;SG	N;SG
delay	vertraging	delay	vertraging	N;SG	N;SG
developers	ontwikkelaars	developer	ontwikkelaar	N;PL	N;PL
arctic	arktiese	arctic	arkties	ADJ	ADJ;NOM
mayors	burgemeesters	mayor	burgemeester	N;PL	N;PL
fourteen	veertien	fourteen	veertien	NUM	NUM
victories	oorwinnings	victory	oorwinning	N;PL	N;PL
pursuit	strewe	pursuit	strewe	N;SG	N;SG
glory	glorie	glory	glori	N;SG	N;SG
destroyer	torpedojaer	destroyer	torpedojaer	N;SG	N;SG
lectures	lesings	lecture	lesing	N;PL	N;PL
gathering	byeenkoms	gather	byeenkoms	N;SG	N;SG
incomplete	onvolledige	incomplete	onvolledig	ADJ	ADJ;NOM
configuration	opstelling	configuration	opstelling	N;SG	N;SG
skill	vaardigheid	skill	vaardigheid	N;SG	N;SG
commitment	verbintenis	commitment	verbintenis	N;SG	N;SG
confirm	bevestig	confirm	bevestig	V;IMP;FIN	V;PRS
enabled	geaktiveer	enable	aktiveer	V;PST;V.PTCP	V;PST;V.PTCP
licence	lisensie	licence	lisensie	N;SG	N;SG
pipe	pyp	pipe	pyp	N;SG	N;SG
designers	designers	designer	designers	N;PL	N;PL
heir	erfgenaam	heir	erfgenaam	N;SG	N;SG
authorized	gemagtig	authorize	magtig	V;PST;V.PTCP	V;PST;V.PTCP
hide	versteek	hide	versteek	V;IMP;FIN	V;PRS
announcement	aankondiging	announcement	aankondiging	N;SG	N;SG
particles	deeltjies	particle	deeltjiie	N;PL	N;PL
demo	demonstrasie	demo	demonstrasie	N;SG	N;SG
agrees	instem	agree	instem	V;IND;SG;3;PRS;FIN	V;PRS
interpreted	geïnterpreteer	interpret	interpreteer	V;PST;V.PTCP	V;PST;V.PTCP
followers	volgelinge	follower	volgeling	N;PL	N;PL
cream	room	cream	room	N;SG	N;SG
presenter	aanbieder	presenter	aanbieder	N;SG	N;SG
favourite	gunsteling	favourite	gunsteling	N;SG	N;SG
transformation	transformasie	transformation	transformasie	N;SG	N;SG
mixture	mengsel	mixture	mengsel	N;SG	N;SG
browser	blaaier	browser	blaaier	N;SG	N;SG
endangered	bedreigde	endangered	bedreig	ADJ	ADJ;NOM
everybody	almal	everybody	almal	PRO;SG	PRO
illustration	illustrasie	illustration	illustrasie	N;SG	N;SG
geometry	meetkunde	geometry	meetkund	N;SG	N;SG
ping	ping	ping	ping	N;SG	N;SG
variants	variasies	variant	variasie	N;PL	N;PL
variants	variante	variant	variant	N;PL	N;PL
collapsed	ineengestort	collapse	ineenstort	V;PST;V.PTCP	V;PST;V.PTCP
collapsed	ingevou	collapse	invou	V;PST;V.PTCP	V;PST;V.PTCP
modes	modusse	mode	modus	N;PL	N;PL
servant	dienaar	servant	dienaar	N;SG	N;SG
stability	stabiliteit	stability	stabiliteit	N;SG	N;SG
hoping	gehoop	hope	gehoop	V;V.MSDR	V;PRS
summaries	opsommings	summary	opsomming	N;PL	N;PL
kilometers	kilometers	kilometer	kilometer	N;PL	N;PL
centered	gesentreer	center	gesentreer	V;PST;V.PTCP	V;PST;V.PTCP
forget	vergeet	forget	vergeet	V;IMP;FIN	V;PRS
implies	impliseer	imply	impliseer	V;IND;SG;3;PRS;FIN	V;PRS
lessons	lesse	lesson	less	N;PL	N;PL
segments	segmente	segment	segment	N;PL	N;PL
deer	takbokke	deer	takbok	N;PL	N;PL
mysterious	geheimsinnige	mysterious	geheimsinnig	ADJ	ADJ;NOM
consultant	konsultant	consultant	konsultant	N;SG	N;SG
formats	formate	format	formaat	N;PL	N;PL
enable	geaktiveer	enable	aktiveer	V;IMP;FIN	V;PST;V.PTCP
enable	aktiveer	enable	aktiveer	V;IMP;FIN	V;PRS
idol	idol	idol	idol	N;SG	N;SG
pet	troeteldier	pet	troeteldier	N;SG	N;SG
stretch	rek	stretch	rek	N;SG	N;SG
goddess	godin	goddess	godin	N;SG	N;SG
satisfy	bevredig	satisfy	bevredig	V;IMP;FIN	V;PRS
voltage	spanning	voltage	spanning	N;SG	N;SG
geology	geologie	geology	geologie	N;SG	N;SG
cyclone	sikloon	cyclone	sikloon	N;SG	N;SG
lightning	weerlig	lightning	weerlig	N;SG	N;SG
logical	logiese	logical	logies	ADJ	ADJ;NOM
yankees	yankees	yankee	yankees	N;PL	N;PL
pond	dammetjie	pond	dammetjie	N;SG	N;SG
moments	oomblikke	moment	oomblik	N;PL	N;PL
lon	lon	lon	lon	N;SG	N;SG
toy	speelding	toy	speelding	N;SG	N;SG
interactions	interaksies	interaction	interaksie	N;PL	N;PL
lecture	lesing	lecture	lesing	N;SG	N;SG
nurse	verpleegster	nurse	verpleegster	N;SG	N;SG
lens	lens	lens	lens	N;SG	N;SG
commands	opdragte	command	opdrag	N;PL	N;PL
trend	tendens	trend	tendens	N;SG	N;SG
trend	neiging	trend	neiging	N;SG	N;SG
superintendent	superintendent	superintendent	superintendent	N;SG	N;SG
blade	blade	blade	blade	N;SG	N;SG
array	skikking	array	skikking	N;SG	N;SG
boom	boom	boom	boom	N;SG	N;SG
sailors	matrose	sailor	matrose	N;PL	N;PL
assassination	sluipmoord	assassination	sluipmoord	N;SG	N;SG
divorce	egskeiding	divorce	egskeiding	N;SG	N;SG
dust	stof	dust	stof	N;SG	N;SG
separately	afsonderlik	separately	afsonderlik	ADV	ADV
grain	graan	grain	graan	N;SG	N;SG
translations	vertalings	translation	vertaling	N;PL	N;PL
diving	duik	diving	duik	N;SG	N;SG
accounting	rekeningkunde	accounting	rekeningkunde	N;SG	N;SG
intelligent	intelligente	intelligent	intelligent	ADJ	ADJ;NOM
tobacco	tabak	tobacco	tabak	N;SG	N;SG
directions	aanwysings	direction	aanwysing	N;PL	N;PL
directions	voorskrifte	direction	voorskrif	N;PL	N;PL
measurement	meting	measurement	meting	N;SG	N;SG
measurement	mate	measurement	mate	N;SG	N;SG
attraction	aantrekkingskrag	attraction	aantrekkingskrag	N;SG	N;SG
attraction	aantreklikheid	attraction	aantreklikheid	N;SG	N;SG
personalities	persoonlikhede	personality	persoonlikheid	N;PL	N;PL
colleagues	kollegas	colleague	kollega	N;PL	N;PL
instructor	instrukteur	instructor	instrukteur	N;SG	N;SG
divorced	geskei	divorced	skei	V;PST;V.PTCP	V;PST;V.PTCP
agenda	agenda	agenda	agenda	N;SG	N;SG
provision	verskaffing	provision	verskaffing	N;SG	N;SG
provision	voorsiening	provision	voorsiening	N;SG	N;SG
admit	erken	admit	erken	V;IMP;FIN	V;PRS
circles	sirkels	circle	sirkels	N;PL	N;PL
celebrate	vier	celebrate	vier	V;IMP;FIN	V;PRS
flags	vlae	flag	vlaag	N;PL	N;PL
drives	skywe	drive	skyfe	N;PL	N;PL
autobiography	outobiografie	autobiography	outobiografie	N;SG	N;SG
velocity	snelheid	velocity	snelheid	N;SG	N;SG
