से	no	से	no		
तापमान	temperatūra	तापमान	temperatūra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शाखा	zars	शाखा	zars	N;NOM;FEM;SG;3	N;NOM;MASC;SG
शाखा	filiāle	शाखा	filiāle	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शाखा	zara	शाखा	zars	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रतीक	simbols	प्रतीक	simbols	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रतीक	ikona	प्रतीक	ikons	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संदर्भ	atsauce	संदर्भ	atsauce	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संदर्भ	konteksts	संदर्भ	konteksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चक्र	ritenis	चक्र	ritenis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चक्र	cikls	चक्र	cikls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गुण	raksturlielums	गुण	raksturlielums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गुण	īpašums	गुण	īpašums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गुण	īpašība	गुण	īpašība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ग्रह	planēta	ग्रह	planēta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
महल	pils	महल	pils	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निधन	nāve	निधन	nāve	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निधन	nāves	निधन	nāve	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निधन	aiziešana	निधन	aiziešana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मिनट	protokols	मिनट	protokols	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मिनट	minūte	मिनट	minūte	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मिनट	min	मिनट	minēt	N;NOM;MASC;SG;3	N
फिल्मों	kino	फिल्म	kino	N;ACC;FEM;PL;3	N
व्यवसाय	profesija	व्यवसाय	profesija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
व्यवसाय	bizness	व्यवसाय	bizness	N;NOM;MASC;SG;3	N;NOM;MASC;SG
व्यवसाय	uzņēmējdarbība	व्यवसाय	uzņēmējdarbība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बनाई	pārbūvēts	बना	pārbūvēt	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
संरक्षण	saglabāšanās	संरक्षण	saglabāšanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संरक्षण	saglabāšanas	संरक्षण	saglabāšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संरक्षण	saglabāšana	संरक्षण	saglabāšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संरक्षण	saglabāšana	संरक्षण	saglabāšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संरक्षण	aizsardzība	संरक्षण	aizsardzība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रस्ताव	priekšlikums	प्रस्ताव	priekšlikums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रस्ताव	piedāvājums	प्रस्ताव	piedāvājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रिपोर्ट	ziņojums	रिपोर्ट	ziņojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
अंग	orgāns	अंग	orgāns	N;NOM;MASC;SG;3	N;NOM;MASC;SG
हिस्से	daļa	हिस्सा	daļa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
हिस्से	frakcija	हिस्सा	frakcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रिकॉर्ड	rekords	रिकॉर्ड	rekords	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रिकॉर्ड	ieraksts	रिकॉर्ड	ieraksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रिकॉर्ड	uzskaite	रिकॉर्ड	uzskaite	N;NOM;MASC;SG;3	N;NOM;FEM;SG
धातु	metāls	धातु	metāls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
परिषद	padome	परिषद	padome	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परिषद	konfederācija	परिषद	konfederācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संघर्ष	cīņa	संघर्ष	cīņa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संघर्ष	konflikts	संघर्ष	konflikts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
तकनीक	tehnika	तकनीक	tehnika	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तकनीक	paņēmiens	तकनीक	paņēmiens	N;NOM;FEM;SG;3	N;NOM;MASC;SG
तकनीक	tehnoloģija	तकनीक	tehnoloģija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
फल	auglis	फल	auglis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विवरण	apraksts	विवरण	apraksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शादी	laulība	शादी	laulība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उप	apakš	उप	apakš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पात्र	tvertne	पात्र	tvertne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पात्र	konteiners	पात्र	konteiners	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वेब	web	वेब	web	N;NOM;MASC;SG;3	N
वेब	tīmekļa	वेब	tīmeklis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संसद	parlaments	संसद	parlaments	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सन्दर्भ	atsauce	संदर्भ	atsauce	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सन्दर्भ	konteksts	संदर्भ	konteksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
परमाणु	kodolenerģija	परमाणु	kodolenerģija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परमाणु	atoms	परमाणु	atoms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आक्रमण	iebrukums	आक्रमण	iebrukums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आक्रमण	uzbrukums	आक्रमण	uzbrukums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार	auto	कार	auto	N;NOM;FEM;SG;3	N
कार	automašīna	कार	automašīna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कार	automobilis	कार	automobilis	N;NOM;FEM;SG;3	N;NOM;MASC;SG
कार	mašīna	कार	mašīna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कार	cars	कार	cars	N;NOM;FEM;SG;3	N;NOM;MASC;SG
जांच	zonde	जांच	zonde	N;NOM;FEM;SG;3	N;NOM;FEM;SG
जांच	izmeklēšana	जांच	izmeklēšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
जांच	testa	जांच	tests	N;NOM;FEM;SG;3	N;NOM;MASC;SG
जांच	tests	जांच	tests	N;NOM;FEM;SG;3	N;NOM;MASC;SG
जांच	pārbaude	जांच	pārbaude	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आठ	astoņas	आठ	astoņas	NUM	NUM;NOM;FEM;PL
आठ	astoņi	आठ	astoņi	NUM	NUM;NOM;MASC;PL
आठ	astoņus	आठ	astoņi	NUM	NUM;ACC;MASC;PL
आठ	astoņiem	आठ	astoņi	NUM	NUM;DAT;MASC;PL
अकादमी	akadēmija	अकादमी	akadēmija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सतह	virsma	सतह	virsma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अभियान	kampaņa	अभियान	kampaņa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लिखी	uzrakstīts	लिख	uzrakstīt	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
सिस्टम	sistēma	सिस्टम	sistēma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
किनारे	mala	किनारा	mala	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कार्बन	oglekļa	कार्बन	ogleklis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार्बन	ogleklis	कार्बन	ogleklis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रतिक्रिया	reakcija	प्रतिक्रिया	reakcija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रतिक्रिया	reakcija	प्रतिक्रिया	reakcija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रतिक्रिया	atbilde	प्रतिक्रिया	atbilde	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मौत	nāve	मौत	nāve	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मौत	nāves	मौत	nāve	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विवाद	strīds	विवाद	strīds	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ग्रहण	aptumsums	ग्रहण	aptumsums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मैदान	apvidus	मैदान	apvidus	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मैदान	zeme	मैदान	zeme	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विमान	aviācija	विमान	aviācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विमान	lidmašīna	विमान	lidmašīna	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सक्षम	spējīgs	सक्षम	spējīgs	ADJ	ADJ;NOM;MASC;SG
सक्षम	spējīgi	सक्षम	spējīgs	ADJ	ADJ;NOM;MASC;PL
वातावरण	vide	वातावरण	vide	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वातावरण	gaisotne	वातावरण	gaisotne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वातावरण	atmosfēra	वातावरण	atmosfērs	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सीधे	taisni	सीधे	taisni	ADV	ADV
प्रेस	prese	प्रेस	prese	N;NOM;FEM;SG;3	N;NOM;FEM;SG
लोकसभा	parlaments	लोकसभा	parlaments	N;NOM;FEM;SG;3	N;NOM;MASC;SG
अज्ञात	anonīma	अज्ञात	anonīma	ADJ	ADJ;NOM;FEM;SG
अज्ञात	anonīmā	अज्ञात	anonīma	ADJ	ADJ;NOM;FEM;SG
अज्ञात	anonīms	अज्ञात	anonīms	ADJ	ADJ;NOM;MASC;SG
रेखा	līnija	रेखा	līnija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पार	krusta	पार	krusts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पार	krusts	पार	krusts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बोली	piedāvājums	बोली	piedāvājums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
परंपरा	tradīcija	परंपरा	tradīcija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
राशि	apjoms	राशि	apjoms	N;NOM;FEM;SG;3	N;NOM;MASC;SG
राशि	apmērs	राशि	apmērs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
राशि	summa	राशि	summa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
दृष्टिकोण	pieeja	दृष्टिकोण	pieeja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भाव	žests	भाव	žests	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भाव	jēga	भाव	jēga	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भाव	saprāts	भाव	saprāts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
हवा	vējš	हवा	vējš	N;NOM;FEM;SG;3	N;NOM;MASC;SG
पाठ	teksts	पाठ	teksts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गठन	kadrs	गठन	kadrs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गठन	rāmis	गठन	rāmis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गठन	dibināšana	गठन	dibināšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गठन	veidošanās	गठन	veidošanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गठन	veidošana	गठन	veidošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नागरिक	pilsoņa	नागरिक	pilsoņa	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नागरिक	pilsonis	नागरिक	pilsonis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अस्तित्व	esamība	अस्तित्व	esamība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अस्तित्व	pastāvēšana	अस्तित्व	pastāvēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अस्तित्व	esība	अस्तित्व	esība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अस्तित्व	dzīvildze	अस्तित्व	dzīvildze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अस्तित्व	izdzīvošana	अस्तित्व	izdzīvošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अस्तित्व	izdzīvošanas	अस्तित्व	izdzīvošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गंभीर	nopietna	गंभीर	nopietna	ADJ	ADJ;NOM;FEM;SG
गंभीर	nopietns	गंभीर	nopietns	ADJ	ADJ;NOM;MASC;SG
गंभीर	nopietnas	गंभीर	nopietna	ADJ	ADJ;NOM;FEM;PL
गंभीर	kritiskie	गंभीर	kritisks	ADJ	ADJ;NOM;MASC;PL
गंभीर	kritisko	गंभीर	kritiska	ADJ	ADJ;ACC;MASC;SG
गंभीर	kritiska	गंभीर	kritiska	ADJ	ADJ;NOM;FEM;SG
गंभीर	kritisks	गंभीर	kritisks	ADJ	ADJ;NOM;MASC;SG
समझ	saprast	समझ	saprast	V;ACT	V;POS;NFIN
समझ	izprast	समझ	izprast	V;ACT	V;POS;NFIN
समझ	saprotu	समझ	saprast	V;ACT	V;FH;IND;SG;1;POS;PRS;FIN;ACT
प्रशासन	ievadīšana	प्रशासन	ievadīšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रशासन	administrācija	प्रशासन	administrācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आदेश	mandāts	आदेश	mandāts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आदेश	pasūtījums	आदेश	pasūtījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आदेश	kārtība	आदेश	kārtība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आदेश	rīkojums	आदेश	rīkojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आदेश	secība	आदेश	secība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आदेश	pavēle	आदेश	pavēle	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अंदर	iekšā	अंदर	iekšā	ADV;NOM;MASC;SG;3	ADV
छह	sešus	छह	seši	NUM	NUM;ACC;MASC;PL
छह	seši	छह	seši	NUM	NUM;NOM;MASC;PL
छह	sešas	छह	sešas	NUM	NUM;NOM;FEM;PL
भाषाएँ	valodas	भाषा	valoda	N;NOM;FEM;PL;3	N;NOM;FEM;PL
भुगतान	izmaksa	भुगतान	izmaksa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भुगतान	samaksa	भुगतान	samaksa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भुगतान	maksājums	भुगतान	maksājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ध्वनि	skaņa	ध्वनि	skaņa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निवास	rezidence	निवास	rezidence	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निवास	uzturēšanās	निवास	uzturēšanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निवास	dzīvesvieta	निवास	dzīvesvieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
हत्या	slepkavība	हत्या	slepkavība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
हत्या	slepkavība	हत्या	slepkavība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
हत्या	nonāvēšana	हत्या	nonāvēšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
हत्या	nogalināšana	हत्या	nogalināšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
हत्या	nonāvēšanas	हत्या	nonāvēšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
दिखाया	rādīja	दिखा	rādīt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
दिखाया	parādīja	दिखा	parādīt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
पवित्र	svētais	पवित्र	svēts	ADJ	ADJ;NOM;MASC;SG
पवित्र	svēta	पवित्र	svēta	ADJ	ADJ;NOM;FEM;SG
इकाई	vienība	इकाई	vienība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अम्ल	skābi	अम्ल	skābe	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अम्ल	skābe	अम्ल	skābe	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आए	atnācu	आ	atnākt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;SG;1;POS;PST;FIN;ACT
आए	atnāca	आ	atnākt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
प्रबंधक	pārvaldnieks	प्रबंधक	pārvaldnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रबंधक	vadītājs	प्रबंधक	vadītājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संग्रहालय	muzejs	संग्रहालय	muzejs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जीता	uzvar	जीत	uzvarēt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
जीता	uzvarēs	जीत	uzvarēt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;FUT;FIN;ACT
जीता	uzvarēja	जीत	uzvarēt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
जीता	uzvarējis	जीत	uzvarēt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
जीता	ieguva	जीत	iegūt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
मुद्रा	valūta	मुद्रा	valūta	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मुद्रा	nauda	मुद्रा	nauda	N;NOM;FEM;SG;3	N;NOM;FEM;SG
युवा	jaunatne	युवा	jaunatne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
युवा	jaunība	युवा	jaunība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अंतरिक्ष	telpa	अंतरिक्ष	telpa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अंतरिक्ष	kosmoss	अंतरिक्ष	kosmoss	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संचार	komunikācija	संचार	komunikācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संचार	paziņojums	संचार	paziņojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संचार	saziņa	संचार	saziņa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संचार	komunikācija	संचार	komunikācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संचार	saziņa	संचार	saziņa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रसारण	pārraide	प्रसारण	pārraide	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रसारण	raidījums	प्रसारण	raidījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रसारण	apraide	प्रसारण	apraide	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रसारण	apraide	प्रसारण	apraide	N;NOM;MASC;SG;3	N;NOM;FEM;SG
फुटबॉल	futbols	फुटबॉल	futbols	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नियमित	regulārā	नियमित	regulāra	ADJ;NOM	ADJ;NOM;FEM;SG
नियमित	regulārs	नियमित	regulārs	ADJ;NOM	ADJ;NOM;MASC;SG
नियमित	regulāras	नियमित	regulāra	ADJ;NOM	ADJ;NOM;FEM;PL
नियमित	regulāra	नियमित	regulāra	ADJ;NOM	ADJ;NOM;FEM;SG
व्याख्या	interpretācija	व्याख्या	interpretācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
व्याख्या	paskaidrojums	व्याख्या	paskaidrojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
व्याख्या	izskaidrojums	व्याख्या	izskaidrojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
व्याख्या	skaidrojums	व्याख्या	skaidrojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
शेष	kreisais	शेष	kreiss	ADJ	ADJ;NOM;MASC;SG
शेष	kreisā	शेष	kreisa	ADJ	ADJ;NOM;FEM;SG
दावा	apgalvojums	दावा	apgalvojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दावा	prasība	दावा	prasība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मोबाइल	mob	मोबाइल	mēb	N;NOM;MASC;SG;3	N
संभावना	iespējamība	संभावना	iespējamība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संभावना	varbūtība	संभावना	varbūtība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
दिवस	diena	दिवस	diena	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विधायक	likumdevēji	विधायक	likumdevējs	N;NOM;MASC;PL;3	N;NOM;MASC;PL
तर्क	arguments	तर्क	arguments	N;NOM;MASC;SG;3	N;NOM;MASC;SG
तर्क	argumentācija	तर्क	argumentācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तर्क	loģika	तर्क	loģika	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विरुद्ध	pret	विरुद्ध	pret	ADP	ADP
परीक्षा	testa	परीक्षा	tests	N;NOM;FEM;SG;3	N;NOM;MASC;SG
परीक्षा	tests	परीक्षा	tests	N;NOM;FEM;SG;3	N;NOM;MASC;SG
परीक्षा	pārbaude	परीक्षा	pārbaude	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परीक्षा	izskatīšana	परीक्षा	izskatīšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परीक्षा	eksāmens	परीक्षा	eksāmens	N;NOM;FEM;SG;3	N;NOM;MASC;SG
भविष्य	nākotne	भविष्य	nākotne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बिक्री	pārdošana	बिक्री	pārdošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बिक्री	izpārdošana	बिक्री	izpārdošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बिक्री	pārdošana	बिक्री	pārdošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सम्मेलन	konference	सम्मेलन	konference	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सम्मेलन	konvents	सम्मेलन	konvents	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सम्मेलन	konvencija	सम्मेलन	konvencija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सम्मेलन	konventa	सम्मेलन	konvents	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रानी	dāma	रानी	dāma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रानी	karaliene	रानी	karaliene	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सिटी	pilsēta	सिटी	pilsēta	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अच्छे	labas	अच्छा	laba	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;PL
सिर	vadītājs	सिर	vadītājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सिर	galva	सिर	galva	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दबाव	spiediens	दबाव	spiediens	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संसार	pasaule	संसार	pasaule	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिनिधित्व	pārstāvniecība	प्रतिनिधित्व	pārstāvniecība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिनिधित्व	pārstāvība	प्रतिनिधित्व	pārstāvība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिनिधित्व	atveidojums	प्रतिनिधित्व	atveidojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
समारोह	ceremonija	समारोह	ceremonija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रायः	parasti	प्रायः	parasti	ADV	ADV
मौसम	sezona	मौसम	sezona	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भावना	sajūta	भावना	sajūta	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भावना	gars	भावना	gars	N;NOM;FEM;SG;3	N;NOM;MASC;SG
गुणवत्ता	kvalitāte	गुणवत्ता	kvalitāte	N;NOM;FEM;SG;3	N;NOM;FEM;SG
खाना	pārtika	खाना	pārtika	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खाना	ēdiens	खाना	ēdiens	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मिले	atrasta	मिल	atrast	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
मिले	atrasts	मिल	atrast	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
मिले	satikās	मिल	satikties	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
सिद्धान्त	teorija	सिद्धान्त	teorija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विरोधी	naidīgu	विरोधी	naidīgs	ADJ	ADJ;ACC;MASC;SG
राजवंश	dinastija	राजवंश	dinastija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संक्रमण	pāreja	संक्रमण	pāreja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संक्रमण	inficēšanās	संक्रमण	inficēšanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संक्रमण	infekcija	संक्रमण	infekcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
घाटी	ieleja	घाटी	ieleja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विकल्प	iespēja	विकल्प	iespēja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उद्यान	parks	उद्यान	parks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
होगी	būs	हो	būt	V;FEM;IND;SG;3;FUT;FIN;ACT	V;FH;IND;3;POS;FUT;FIN;ACT
पशु	dzīvnieks	पशु	dzīvnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
