for	za	for	za		
global	globálne	global	globálny	ADJ	ADJ;NOM;NEUT;SG
era	éra	era	éra	N;SG	N;NOM;FEM;SG
wing	krídlo	wing	krídlo	N;SG	N;NOM;NEUT;SG
opinion	mienka	opinion	mienka	N;SG	N;NOM;FEM;SG
opinion	názor	opinion	názor	N;SG	N;INAN;NOM;MASC;SG
opinion	stanovisko	opinion	stanovisko	N;SG	N;NOM;NEUT;SG
commander	veliteľ	commander	veliteľ	N;SG	N;ANIM;NOM;MASC;SG
commander	veliteľka	commander	veliteľka	N;SG	N;NOM;FEM;SG
effect	efekt	effect	efekt	N;SG	N;INAN;NOM;MASC;SG
effect	účinok	effect	účinok	N;SG	N;INAN;NOM;MASC;SG
effect	vplyv	effect	vplyv	N;SG	N;INAN;NOM;MASC;SG
opening	otvorenie	opening	otvorenie	N;SG	N;NOM;NEUT;SG
opening	otváranie	opening	otváranie	N;SG	N;NOM;NEUT;SG
purpose	účel	purpose	účel	N;SG	N;INAN;NOM;MASC;SG
winter	zima	winter	zima	N;SG	N;NOM;FEM;SG
activities	aktivít	activity	aktivita	N;PL	N;GEN;FEM;PL
activities	činnosti	activity	činnosť	N;PL	N;NOM;FEM;PL
activities	aktivity	activity	aktivita	N;PL	N;NOM;FEM;PL
met	stretla	meet	stretnúť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
met	stretol	meet	stretnúť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
income	príjem	income	príjem	N;SG	N;INAN;NOM;MASC;SG
comes	prichádza	come	prichádzať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
comes	príde	come	prísť	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN
older	starší	older	starý	ADJ;CMPR	ADJ;ANIM;NOM;CMPR;MASC;SG
older	staršia	older	starý	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
older	staršieho	older	starý	ADJ;CMPR	ADJ;GEN;CMPR;MASC;SG
peak	vrchol	peak	vrchol	N;SG	N;INAN;NOM;MASC;SG
lack	nedostatok	lack	nedostatok	N;SG	N;INAN;NOM;MASC;SG
complex	komplex	complex	komplex	N;SG	N;INAN;NOM;MASC;SG
academic	akademických	academic	akademický	ADJ	ADJ;GEN;MASC;PL
academic	akademické	academic	akademický	ADJ	ADJ;NOM;NEUT;SG
academic	akademického	academic	akademický	ADJ	ADJ;GEN;NEUT;SG
academic	akademický	academic	akademický	ADJ	ADJ;ANIM;NOM;MASC;SG
stars	hviezd	star	hviezda	N;PL	N;GEN;FEM;PL
stars	hviezdy	star	hviezda	N;PL	N;NOM;FEM;PL
stars	hviezdičky	star	hviezdička	N;PL	N;NOM;FEM;PL
accounts	účty	account	účet	N;PL	N;INAN;NOM;MASC;PL
accounts	účtov	account	účet	N;PL	N;INAN;GEN;MASC;PL
appearance	vzhľad	appearance	vzhľad	N;SG	N;INAN;NOM;MASC;SG
asian	ázijských	asian	ázijský	ADJ	ADJ;ANIM;GEN;MASC;PL
asian	ázijské	asian	ázijský	ADJ	ADJ;NOM;NEUT;SG
asked	požiadal	ask	požiadať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
asked	opýtal	ask	opýtať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
friends	priatelia	friend	priateľ	N;PL	N;ANIM;NOM;MASC;PL
friends	priateľov	friend	priateľ	N;PL	N;ANIM;ACC;MASC;PL
friends	kamaráti	friend	kamarát	N;PL	N;ANIM;NOM;MASC;PL
financial	finančný	financial	finančný	ADJ	ADJ;ANIM;NOM;MASC;SG
financial	finančná	financial	finančný	ADJ	ADJ;NOM;FEM;SG
financial	finančné	financial	finančný	ADJ	ADJ;NOM;NEUT;SG
entry	vstup	entry	vstup	N;SG	N;INAN;NOM;MASC;SG
sense	rozum	sense	rozum	N;SG	N;INAN;NOM;MASC;SG
sense	zmysel	sense	zmysel	N;SG	N;INAN;NOM;MASC;SG
meaning	význam	meaning	význam	N;SG	N;INAN;NOM;MASC;SG
meaning	zmysle	meaning	zmysel	N;SG	N;INAN;NOM;MASC;SG
meaning	zmysel	meaning	zmysel	N;SG	N;INAN;NOM;MASC;SG
actress	herečka	actress	herečka	N;SG	N;NOM;FEM;SG
map	mapa	map	mapa	N;SG	N;NOM;FEM;SG
map	mapu	map	mapa	N;SG	N;ACC;FEM;SG
map	mape	map	mapa	N;SG	N;DAT;FEM;SG
rate	miera	rate	miera	N;SG	N;NOM;FEM;SG
rate	rýchlosť	rate	rýchlosť	N;SG	N;NOM;FEM;SG
rate	sadzba	rate	sadzba	N;SG	N;NOM;FEM;SG
literature	literatúru	literature	literatúra	N;SG	N;ACC;FEM;SG
literature	literatúra	literature	literatúra	N;SG	N;NOM;FEM;SG
forest	les	forest	les	N;SG	N;INAN;NOM;MASC;SG
voice	hlas	voice	hlas	N;SG	N;INAN;NOM;MASC;SG
justice	spravodlivosť	justice	spravodlivosť	N;SG	N;NOM;FEM;SG
justice	justice	justice	justice	N;SG	N;NOM;FEM;SG
champion	champion	champion	champion	N;SG	N;ANIM;NOM;MASC;SG
champion	šampión	champion	šampión	N;SG	N;ANIM;NOM;MASC;SG
double	dvojité	double	dvojitý	ADJ	ADJ;NOM;NEUT;SG
double	dvojnásobok	double	dvojnásobok	ADJ	ADJ;NOM;FEM;SG
numbers	počty	number	počet	N;PL	N;INAN;NOM;MASC;PL
numbers	čísla	number	číslo	N;PL	N;NOM;NEUT;PL
temple	chrámu	temple	chrám	N;SG	N;INAN;GEN;MASC;SG
temple	chrám	temple	chrám	N;SG	N;INAN;NOM;MASC;SG
defeated	porazil	defeat	poraziť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
defeated	porazili	defeat	poraziť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
administration	podanie	administration	podanie	N;SG	N;NOM;NEUT;SG
administration	podaní	administration	podanie	N;SG	N;NOM;NEUT;SG
administration	administratíva	administration	administratív	N;SG	N;NOM;FEM;SG
administration	podávanie	administration	podávanie	N;SG	N;NOM;NEUT;SG
administration	správa	administration	správa	N;SG	N;NOM;FEM;SG
ended	skončilo	end	skončiť	V;IND;PST;FIN	V;PFV;NEUT;SG;POS;PST;V.PTCP
ended	skončil	end	skončiť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
ended	skončila	end	skončiť	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
claims	nároky	claim	nárok	N;PL	N;INAN;NOM;MASC;PL
claims	pohľadávky	claim	pohľadávka	N;PL	N;NOM;FEM;PL
claims	tvrdenia	claim	tvrdenie	N;PL	N;NOM;NEUT;PL
parish	farnosti	parish	farnosť	N;SG	N;DAT;FEM;SG
actors	herci	actor	herec	N;PL	N;ANIM;NOM;MASC;PL
actors	aktéri	actor	aktér	N;PL	N;ANIM;NOM;MASC;PL
actors	aktérov	actor	aktér	N;PL	N;ANIM;ACC;MASC;PL
actors	hercov	actor	herec	N;PL	N;ANIM;ACC;MASC;PL
sister	sestra	sister	sestra	N;SG	N;NOM;FEM;SG
sister	sestrička	sister	sestrička	N;SG	N;NOM;FEM;SG
scored	skóroval	score	skórovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
table	stôl	table	stôl	N;SG	N;INAN;NOM;MASC;SG
table	tabuľke	table	tabuľka	N;SG	N;DAT;FEM;SG
table	tabuľka	table	tabuľka	N;SG	N;NOM;FEM;SG
attended	zúčastnil	attend	zúčastniť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
attended	zúčastnila	attend	zúčastniť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
attended	zúčastnili	attend	zúčastniť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
attended	navštevoval	attend	navštevovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
friend	kamarát	friend	kamarát	N;SG	N;ANIM;NOM;MASC;SG
friend	kamarátka	friend	kamarátka	N;SG	N;NOM;FEM;SG
friend	priateľ	friend	priateľ	N;SG	N;ANIM;NOM;MASC;SG
unknown	neznámy	unknown	neznámy	ADJ	ADJ;ANIM;NOM;MASC;SG
unknown	neznáme	unknown	neznámy	ADJ	ADJ;NOM;NEUT;SG
unknown	neznáma	unknown	neznámy	ADJ	ADJ;NOM;FEM;SG
winner	víťaza	winner	víťaz	N;SG	N;ANIM;ACC;MASC;SG
winner	výherca	winner	výherca	N;SG	N;ANIM;NOM;MASC;SG
winner	víťaz	winner	víťaz	N;SG	N;ANIM;NOM;MASC;SG
chart	graf	chart	graf	N;SG	N;INAN;NOM;MASC;SG
initially	pôvodne	initially	pôvodne	ADV	ADV
initially	spočiatku	initially	spočiatku	ADV	ADV
loss	stratu	loss	strata	N;SG	N;ACC;FEM;SG
loss	prehra	loss	prehra	N;SG	N;NOM;FEM;SG
loss	strata	loss	strata	N;SG	N;NOM;FEM;SG
sites	lokality	site	lokalita	N;PL	N;NOM;FEM;PL
sites	stránky	site	stránka	N;PL	N;NOM;FEM;PL
sites	stránok	site	stránka	N;PL	N;GEN;FEM;PL
starting	začína	start	začínať	V;V.MSDR	V;IPFV;IND;SG;3;POS;PRS;FIN
starting	začíname	start	začínať	V;V.MSDR	V;IPFV;IND;PL;1;POS;PRS;FIN
architecture	architektúra	architecture	architektúra	N;SG	N;NOM;FEM;SG
architecture	architektúru	architecture	architektúra	N;SG	N;ACC;FEM;SG
relations	vzťahy	relation	vzťah	N;PL	N;INAN;NOM;MASC;PL
supported	podporil	support	podporiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
tracks	stopy	track	stopa	N;PL	N;NOM;FEM;PL
tracks	stôp	track	stôp	N;PL	N;GEN;FEM;PL
tracks	skladby	track	skladba	N;PL	N;NOM;FEM;PL
tracks	trate	track	triata	N;PL	N;NOM;FEM;PL
contract	zákazka	contract	zákazka	N;SG	N;NOM;FEM;SG
contract	kontrakt	contract	kontrakt	N;SG	N;INAN;NOM;MASC;SG
contract	zmluva	contract	zmluva	N;SG	N;NOM;FEM;SG
face	tvárou	face	tvár	N;SG	N;INS;FEM;SG
face	tvár	face	tvár	N;SG	N;NOM;FEM;SG
directly	priamo	directly	priamo	ADV	ADV
spent	strávil	spend	stráviť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
girl	dievča	girl	dievča	N;SG	N;NOM;NEUT;SG
girl	dievčatko	girl	dievčatko	N;SG	N;NOM;NEUT;SG
clearly	jasne	clearly	jasne	ADV	ADV
clearly	jednoznačne	clearly	jednoznačne	ADV	ADV
politics	politiky	politics	politika	N;PL	N;NOM;FEM;PL
cause	príčina	cause	príčina	N;SG	N;NOM;FEM;SG
volume	objem	volume	objem	N;SG	N;INAN;NOM;MASC;SG
volume	zväzok	volume	zväzok	N;SG	N;INAN;NOM;MASC;SG
volume	hlasitosť	volume	hlasitosť	N;SG	N;NOM;FEM;SG
caused	spôsobila	cause	spôsobiť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
caused	spôsobili	cause	spôsobiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
caused	spôsobil	cause	spôsobiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
flight	letu	flight	let	N;SG	N;INAN;GEN;MASC;SG
flight	let	flight	let	N;SG	N;INAN;NOM;MASC;SG
flight	letom	flight	let	N;SG	N;INAN;INS;MASC;SG
candidate	záujemca	candidate	záujemca	N;SG	N;ANIM;NOM;MASC;SG
candidate	uchádzač	candidate	uchádzač	N;SG	N;ANIM;NOM;MASC;SG
candidate	kandidát	candidate	kandidát	N;SG	N;ANIM;NOM;MASC;SG
matches	zápasy	match	zápas	N;PL	N;INAN;NOM;MASC;PL
matches	zhody	match	zhod	N;PL	N;NOM;FEM;PL
matches	zápalky	match	zápalka	N;PL	N;NOM;FEM;PL
claimed	tvrdilo	claim	tvrdiť	V;IND;PST;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
claimed	tvrdila	claim	tvrdiť	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
claimed	žiadal	claim	žiadať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
oil	oleja	oil	olej	N;SG	N;INAN;GEN;MASC;SG
oil	ropa	oil	rop	N;SG	N;NOM;FEM;SG
oil	olej	oil	olej	N;SG	N;INAN;NOM;MASC;SG
assistant	asistenta	assistant	asistent	N;SG	N;ANIM;ACC;MASC;SG
assistant	asistent	assistant	asistent	N;SG	N;ANIM;NOM;MASC;SG
assistant	asistentka	assistant	asistentka	N;SG	N;NOM;FEM;SG
surface	povrch	surface	povrch	N;SG	N;INAN;NOM;MASC;SG
surface	povrchu	surface	povrch	N;SG	N;INAN;GEN;MASC;SG
regiment	pluku	regiment	pluka	N;SG	N;INAN;GEN;MASC;SG
stories	príbehy	story	príbeh	N;PL	N;INAN;NOM;MASC;PL
stories	príspevky	story	príspevok	N;PL	N;INAN;NOM;MASC;PL
stories	príbehov	story	príbeh	N;PL	N;INAN;GEN;MASC;PL
represented	zastupoval	represent	zastupovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
represented	predstavoval	represent	predstavovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
gets	dostane	get	dostať	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;POS;PRS;FIN
gets	dostáva	get	dostávať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
weeks	týždňov	week	týždeň	N;PL	N;INAN;GEN;MASC;PL
weeks	týždne	week	týždeň	N;PL	N;INAN;NOM;MASC;PL
listing	zaradenie	list	zaradenie	N;SG	N;NOM;NEUT;SG
allow	povoliť	allow	povoliť	V;IMP;FIN	V;PFV;POS;NFIN
allow	umožniť	allow	umožniť	V;IMP;FIN	V;PFV;POS;NFIN
branch	konár	branch	konár	N;SG	N;INAN;NOM;MASC;SG
branch	pobočka	branch	pobočka	N;SG	N;NOM;FEM;SG
communities	spoločenstvá	community	spoločenstvo	N;PL	N;NOM;NEUT;PL
communities	spoločenstiev	community	spoločenstvo	N;PL	N;GEN;NEUT;PL
communities	komunity	community	komunita	N;PL	N;NOM;FEM;PL
train	vlaku	train	vlak	N;SG	N;INAN;GEN;MASC;SG
train	vlakom	train	vlak	N;SG	N;INAN;INS;MASC;SG
train	vlak	train	vlak	N;SG	N;INAN;NOM;MASC;SG
paper	papiera	paper	papier	N;SG	N;INAN;GEN;MASC;SG
paper	papier	paper	papier	N;SG	N;INAN;NOM;MASC;SG
provides	zabezpečuje	provide	zabezpečovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
provides	poskytuje	provide	poskytovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
remains	pozostatky	remains	pozostatok	N;PL	N;INAN;NOM;MASC;PL
metal	metal	metal	metať	N;SG	N;INAN;NOM;MASC;SG
metal	kov	metal	kov	N;SG	N;INAN;NOM;MASC;SG
wrong	nesprávna	wrong	správny	ADJ	ADJ;NOM;FEM;SG
wrong	nesprávny	wrong	nesprávny	ADJ	ADJ;INAN;NOM;MASC;SG
direct	priame	direct	priamy	ADJ	ADJ;NOM;NEUT;SG
direct	priamy	direct	priamy	ADJ	ADJ;INAN;NOM;MASC;SG
miles	kilometre	mile	kilometer	N;PL	N;INAN;NOM;MASC;PL
miles	míle	mile	míla	N;PL	N;NOM;FEM;PL
mass	hmota	mass	hmota	N;SG	N;NOM;FEM;SG
mass	omšu	mass	ono	N;SG	N;ACC;FEM;SG
mass	hmotnosť	mass	hmotnosť	N;SG	N;NOM;FEM;SG
chairman	predsedu	chairman	predsedu	N;SG	N;ANIM;ACC;MASC;SG
chairman	predseda	chairman	predseda	N;SG	N;ANIM;NOM;MASC;SG
comedy	komédia	comedy	komédium	N;SG	N;NOM;FEM;SG
relationship	vztah	relationship	vztah	N;SG	N;INAN;NOM;MASC;SG
relationship	vzťahu	relationship	vzťah	N;SG	N;INAN;DAT;MASC;SG
relationship	vzťah	relationship	vzťah	N;SG	N;INAN;NOM;MASC;SG
knowledge	poznanie	knowledge	poznanie	N;SG	N;NOM;NEUT;SG
knowledge	znalosť	knowledge	znalosť	N;SG	N;NOM;FEM;SG
format	formátu	format	formát	N;SG	N;INAN;GEN;MASC;SG
format	formát	format	formát	N;SG	N;INAN;NOM;MASC;SG
meeting	stretko	meeting	stretko	N;SG	N;NOM;NEUT;SG
meeting	schôdza	meeting	schôdza	N;SG	N;NOM;FEM;SG
meeting	zasadnutie	meeting	zasadnutie	N;SG	N;NOM;NEUT;SG
meeting	stretnutie	meeting	stretnutie	N;SG	N;NOM;NEUT;SG
failed	zlyhal	fail	zlyhať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
failed	zlyhalo	fail	zlyhať	V;PST;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP
officers	úradníci	officer	úradník	N;PL	N;ANIM;NOM;MASC;PL
officers	dôstojníkov	officer	dôstojník	N;PL	N;ANIM;ACC;MASC;PL
officers	dôstojníci	officer	dôstojník	N;PL	N;ANIM;NOM;MASC;PL
draft	návrh	draft	návrh	N;SG	N;INAN;NOM;MASC;SG
draft	koncept	draft	koncept	N;SG	N;INAN;NOM;MASC;SG
goes	pôjde	go	ísť	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
goes	ide	go	ísť	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
fight	bojovať	fight	bojovať	V;IMP;FIN	V;IPFV;POS;NFIN
faculty	fakulta	faculty	fakult	N;SG	N;NOM;FEM;SG
camp	tábora	camp	tábor	N;SG	N;INAN;GEN;MASC;SG
camp	camp	camp	camp	N;SG	N;INAN;NOM;MASC;SG
camp	tábor	camp	tábor	N;SG	N;INAN;NOM;MASC;SG
ran	bežal	run	bežať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
ran	bežala	run	bežať	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
variety	odrodu	variety	odrod	N;SG	N;ACC;FEM;SG
variety	rôznorodosť	variety	rôznorodosť	N;SG	N;NOM;FEM;SG
variety	odroda	variety	odroda	N;SG	N;NOM;FEM;SG
owner	majiteľa	owner	majiteľ	N;SG	N;ANIM;ACC;MASC;SG
owner	vlastníka	owner	vlastník	N;SG	N;ANIM;ACC;MASC;SG
owner	majiteľ	owner	majiteľ	N;SG	N;ANIM;NOM;MASC;SG
owner	majiteľka	owner	majiteľka	N;SG	N;NOM;FEM;SG
owner	vlastník	owner	vlastník	N;SG	N;ANIM;NOM;MASC;SG
owner	vlastníkom	owner	vlastník	N;SG	N;ANIM;INS;MASC;SG
statistics	štatistiky	statistic	štatistika	N;PL	N;NOM;FEM;PL
raised	vychovala	raise	vychovať	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
heavy	ťažká	heavy	ťažký	ADJ	ADJ;NOM;FEM;SG
heavy	ťažký	heavy	ťažký	ADJ	ADJ;ANIM;NOM;MASC;SG
heavy	ťažké	heavy	ťažký	ADJ	ADJ;NOM;NEUT;SG
alone	samostatne	alone	samostatne	ADV	ADV
understand	porozumieť	understand	porozumieť	V;IMP;FIN	V;PFV;POS;NFIN
understand	pochopiť	understand	pochopiť	V;IMP;FIN	V;PFV;POS;NFIN
understand	rozumieť	understand	rozumieť	V;IMP;FIN	V;IPFV;POS;NFIN
episodes	epizódy	episode	epizóda	N;PL	N;NOM;FEM;PL
gives	dáva	give	dávať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
educational	vzdelávacie	educational	vzdelávací	ADJ	ADJ;NOM;NEUT;SG
daily	denne	daily	denne	ADV	ADV
completely	úplne	completely	úplne	ADV	ADV
completely	kompletne	completely	kompletne	ADV	ADV
products	výrobky	product	výrobok	N;PL	N;INAN;NOM;MASC;PL
products	produkty	product	produkt	N;PL	N;INAN;NOM;MASC;PL
products	produktov	product	produkt	N;PL	N;INAN;GEN;MASC;PL
dark	temné	dark	temný	ADJ	ADJ;NOM;NEUT;SG
dark	tmavá	dark	tmavý	ADJ	ADJ;NOM;FEM;SG
dark	tmavé	dark	tmavý	ADJ	ADJ;NOM;NEUT;SG
dark	tmavý	dark	tmavý	ADJ	ADJ;ANIM;NOM;MASC;SG
attention	pozornosť	attention	pozornosť	N;SG	N;NOM;FEM;SG
religion	vyznanie	religion	vyznanie	N;SG	N;NOM;NEUT;SG
religion	náboženstvo	religion	náboženstvo	N;SG	N;NOM;NEUT;SG
mind	myseľ	mind	myseľ	N;SG	N;NOM;FEM;SG
mind	rozum	mind	rozum	N;SG	N;INAN;NOM;MASC;SG
corps	zboru	corps	zbor	N;SG	N;INAN;GEN;MASC;SG
corps	zbor	corps	zbor	N;SG	N;INAN;NOM;MASC;SG
administrative	administratívny	administrative	administratívny	ADJ	ADJ;ANIM;NOM;MASC;SG
administrative	administratívne	administrative	administratívne	ADJ	ADJ;NOM;NEUT;SG
administrative	administratívna	administrative	administratívny	ADJ	ADJ;NOM;FEM;SG
becoming	stáva	become	stávať	V;V.MSDR	V;IPFV;IND;SG;3;POS;PRS;FIN
footballer	futbalista	footballer	futbalista	N;SG	N;ANIM;NOM;MASC;SG
mayor	starostom	mayor	starosť	N;SG	N;ANIM;INS;MASC;SG
mayor	starosta	mayor	starosta	N;SG	N;ANIM;NOM;MASC;SG
mayor	primátor	mayor	primátor	N;SG	N;ANIM;NOM;MASC;SG
mayor	starostu	mayor	starost	N;SG	N;ANIM;ACC;MASC;SG
beach	pláž	beach	pláž	N;SG	N;NOM;FEM;SG
beach	pláži	beach	plážiť	N;SG	N;NOM;FEM;SG
descent	zostup	descent	zostup	N;SG	N;INAN;NOM;MASC;SG
leaving	odchádzajú	leave	odchádzať	V;V.MSDR	V;IPFV;IND;PL;3;POS;PRS;FIN
leaving	odchádza	leave	odchádzať	V;V.MSDR	V;IPFV;IND;SG;3;POS;PRS;FIN
highly	vysoko	highly	vysoko	ADV	ADV
cast	cast	cast	cast	N;SG	N;NOM;FEM;SG
cast	obsadenie	cast	obsadenie	N;SG	N;NOM;NEUT;SG
territory	územie	territory	územie	N;SG	N;NOM;NEUT;SG
territory	teritórium	territory	teritórium	N;SG	N;NOM;NEUT;SG
write	píšte	write	písiť	V;IMP;FIN	V;IPFV;IMP;PL;2;POS;FIN
write	písať	write	písať	V;IMP;FIN	V;IPFV;POS;NFIN
write	napísať	write	napísať	V;IMP;FIN	V;PFV;POS;NFIN
write	napíšte	write	napísiť	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
write	píš	write	pís	V;IMP;FIN	V;IPFV;IMP;SG;2;POS;FIN
write	napíš	write	napísať	V;IMP;FIN	V;PFV;IMP;SG;2;POS;FIN
towns	mestá	town	mesto	N;PL	N;NOM;NEUT;PL
forms	formuláre	form	formulár	N;PL	N;INAN;NOM;MASC;PL
forms	formy	form	forma	N;PL	N;NOM;FEM;PL
inside	dovnútra	inside	dovnútra	ADV	ADV
wanted	chcelo	want	chcieť	V;IND;PST;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
wanted	chcela	want	chcieť	V;IND;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
wanted	chcel	want	chcieť	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
solid	pevný	solid	pevný	ADJ	ADJ;ANIM;NOM;MASC;SG
solid	pevné	solid	pevný	ADJ	ADJ;NOM;NEUT;SG
solid	pevná	solid	pevný	ADJ	ADJ;NOM;FEM;SG
individuals	jedincov	individual	jedinec	N;PL	N;ANIM;GEN;MASC;PL
individuals	jednotlivci	individual	jednotlivec	N;PL	N;ANIM;NOM;MASC;PL
individuals	jedinci	individual	jedinec	N;PL	N;ANIM;NOM;MASC;PL
individuals	jedince	individual	jedinec	N;PL	N;INAN;NOM;MASC;PL
individuals	jednotlivcov	individual	jednotlivec	N;PL	N;ANIM;ACC;MASC;PL
authority	autorita	authority	autorita	N;SG	N;NOM;FEM;SG
authority	právomoc	authority	právomoc	N;SG	N;NOM;FEM;SG
authority	orgán	authority	orgán	N;SG	N;INAN;NOM;MASC;SG
authority	úrad	authority	úrad	N;SG	N;INAN;NOM;MASC;SG
mention	zmieniť	mention	zmieniť	V;IMP;FIN	V;PFV;POS;NFIN
mention	spomenúť	mention	spomenúť	V;IMP;FIN	V;PFV;POS;NFIN
projects	projektmi	project	projekt	N;PL	N;INAN;INS;MASC;PL
projects	projektov	project	projekt	N;PL	N;INAN;GEN;MASC;PL
projects	projekty	project	projekt	N;PL	N;INAN;NOM;MASC;PL
continue	pokračovať	continue	pokračovať	V;IMP;FIN	V;IPFV;POS;NFIN
continue	pokračujte	continue	pokračovať	V;IMP;FIN	V;IPFV;IMP;PL;2;POS;FIN
drive	jazdiť	drive	jazdiť	V;IMP;FIN	V;IPFV;POS;NFIN
notice	oznam	notice	oznam	N;SG	N;INAN;NOM;MASC;SG
notice	oznámenie	notice	oznámenie	N;SG	N;NOM;NEUT;SG
forced	donútili	force	donútiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
looks	vyzerá	look	vyzerať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
reasons	dôvodov	reason	dôvod	N;PL	N;INAN;GEN;MASC;PL
reasons	príčiny	reason	príčina	N;PL	N;NOM;FEM;PL
reasons	dôvody	reason	dôvod	N;PL	N;INAN;NOM;MASC;PL
job	prácu	job	práca	N;SG	N;ACC;FEM;SG
job	zamestnanie	job	zamestnanie	N;SG	N;NOM;NEUT;SG
job	praca	job	praca	N;SG	N;NOM;FEM;SG
job	práca	job	práca	N;SG	N;NOM;FEM;SG
photo	foto	photo	foto	N;SG	N;NOM;NEUT;SG
photo	fotografia	photo	fotografia	N;SG	N;NOM;FEM;SG
photo	fotka	photo	fotka	N;SG	N;NOM;FEM;SG
photo	fotku	photo	fotka	N;SG	N;ACC;FEM;SG
log	denník	log	denník	N;SG	N;INAN;NOM;MASC;SG
parents	rodičia	parent	rodič	N;PL	N;ANIM;NOM;MASC;PL
parents	rodičmi	parent	rodič	N;PL	N;ANIM;INS;MASC;PL
parents	rodičov	parent	rodič	N;PL	N;ANIM;ACC;MASC;PL
parents	rodičom	parent	rodič	N;PL	N;ANIM;DAT;MASC;PL
entered	vstúpil	enter	vstúpiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
basic	základný	basic	základný	ADJ	ADJ;INAN;NOM;MASC;SG
basic	základné	basic	základný	ADJ	ADJ;NOM;NEUT;SG
basic	základného	basic	základný	ADJ	ADJ;GEN;NEUT;SG
basic	základná	basic	základný	ADJ	ADJ;NOM;FEM;SG
scientific	vedecký	scientific	vedecký	ADJ	ADJ;INAN;NOM;MASC;SG
scientific	vedecká	scientific	vedecký	ADJ	ADJ;NOM;FEM;SG
scientific	vedecké	scientific	vedecký	ADJ	ADJ;NOM;NEUT;SG
amount	čiastka	amount	čiastka	N;SG	N;NOM;FEM;SG
amount	množstvo	amount	množstvo	N;SG	N;NOM;NEUT;SG
amount	sumu	amount	suma	N;SG	N;ACC;FEM;SG
