von	no	von	no	ADP	
hannover	hannovere	hannover	hannovere	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
hannover	hannover	hannover	hannover	PROPN;NOM;NEUT;SG	
hannover	newport	hannover	newport	PROPN;NOM;NEUT;SG	
werde	būs	werden	būt	V;SBJV;SG;3;PRS;FIN	V;FH;IND;3;POS;FUT;FIN;ACT
werde	kļuvis	werden	kļūt	V;SBJV;SG;3;PRS;FIN	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gründung	foundation	gründung	foundation	ADJ	
gründung	pamats	gründung	pamats	ADJ	N;NOM;MASC;SG
gründung	fonds	gründung	fonds	ADJ	N;NOM;MASC;SG
gründung	izveidošanas	gründung	izveidošana	ADJ	N;NOM;FEM;SG
gründung	izveide	gründung	izveide	ADJ	N;NOM;FEM;SG
gründung	izveidošana	gründung	izveidošana	ADJ	N;NOM;FEM;SG
gründung	radīšana	gründung	radīšana	ADJ	N;NOM;FEM;SG
gründung	dibināšanas	gründung	dibināšana	ADJ	N;NOM;FEM;PL
gründung	veidošanos	gründung	veidošanās	ADJ	N;ACC;FEM;SG
gründung	dibināšana	gründung	dibināšana	ADJ	N;NOM;FEM;SG
gründung	veidošanās	gründung	veidošanās	ADJ	N;NOM;FEM;SG
gründung	dibināšanas	gründung	dibināšana	ADJ	N;NOM;FEM;PL
gründung	veidošana	gründung	veidošana	ADJ	N;NOM;FEM;SG
gründung	izveide	gründung	izveide	ADJ	N;NOM;FEM;SG
gründung	uzņēmums	gründung	uzņēmums	ADJ	N;NOM;MASC;SG
gründung	izveidi	gründung	izveide	ADJ	N;ACC;FEM;SG
gründung	izveidošana	gründung	izveidošana	ADJ	N;NOM;FEM;SG
dar	dar	dar	dar	ADV	
beste	vislabāk	gut	labi	ADJ;NOM;FEM;PL	ADV;RL
beste	labākais	gut	labs	ADJ;NOM;FEM;PL	ADJ;NOM;CMPR;MASC;SG
zeitung	laikraksts	zeitung	laikraksts		N;NOM;MASC;SG
zeitung	avīze	zeitung	avīze		N;NOM;FEM;SG
zeitung	laikraksta	zeitung	laikraksts		N;GEN;MASC;SG
zeitung	avīzē	zeitung	avīze		N;ESS;FEM;SG
zeitung	avīzes	zeitung	avīze		N;NOM;FEM;PL
zeitung	laikraksti	zeitung	laikraksts		N;NOM;MASC;PL
zeitung	papīrs	zeitung	papīrs		N;NOM;MASC;SG
zeitung	papīra	zeitung	papīrs		N;GEN;MASC;SG
zeitung	zeitung	zeitung	zeitung		N;NOM;MASC;SG
schlacht	kaujā	schlacht	kaujā	N;NOM;FEM;SG	N;ESS;FEM;SG
schlacht	kaujas	schlacht	kauja	N;NOM;FEM;SG	N;NOM;FEM;PL
schlacht	cīņas	schlacht	cīņa	N;NOM;FEM;SG	N;NOM;FEM;PL
richtig	tiesības	richtig	tiesības	ADV	N;NOM;FEM
richtig	labās	richtig	laba	ADV	ADJ;NOM;FEM;PL
richtig	patiesība	richtig	patiesība	ADV	N;NOM;FEM;SG
richtig	taisnība	richtig	taisnība	ADV	N;NOM;FEM;SG
richtig	patiess	richtig	patiess	ADV	ADJ;NOM;MASC;SG
richtig	patiesa	richtig	patiesa	ADV	ADJ;NOM;FEM;SG
richtig	pareiza	richtig	pareiza	ADV	ADJ;NOM;FEM;SG
richtig	pareizu	richtig	pareizs	ADV	ADJ;ACC;MASC;SG
richtig	pareizs	richtig	pareizs	ADV	ADJ;NOM;MASC;SG
richtig	pareizas	richtig	pareiza	ADV	ADJ;NOM;FEM;PL
akademie	akadēmijas	akademie	akadēmija	N;NOM;FEM;SG	N;NOM;FEM;PL
akademie	akadēmijā	akademie	akadēmija	N;NOM;FEM;SG	N;ESS;FEM;SG
akademie	academy	akademie	academy	N;NOM;FEM;SG	
akademie	akademie	akademie	akademie	N;NOM;FEM;SG	
gehen	pastaiga	gehen	pastaiga	V;NFIN	N;NOM;FEM;SG
division	divīzija	division	divīzija		N;NOM;FEM;SG
division	rajons	division	rajons		N;NOM;MASC;SG
division	dalīšana	division	dalīšana		N;NOM;FEM;SG
anzahl	num	anzahl	num	N;SG	
olympischen	olympic	olympisch	olympic	ADJ;NOM;MASC;PL	
olympischen	olimpiskā	olympisch	olimpiska	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
olympischen	olimpiskajā	olympisch	olimpiska	ADJ;NOM;MASC;PL	ADJ;ESS;FEM;SG
olympischen	olimpiskais	olympisch	olimpisks	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
olympischen	olimpiāde	olympisch	olimpiāde	ADJ;NOM;MASC;PL	N;NOM;FEM;SG
stil	stili	stil	stils	ADJ	N;NOM;MASC;PL
stil	stils	stil	stils	ADJ	N;NOM;MASC;SG
deine	tavas	dein	tava	PRO;NOM;MASC;SG	PRO;NOM;FEM;PL;3
deine	tavu	dein	tava	PRO;NOM;MASC;SG	PRO;ACC;SG;3
deine	jūsu	dein	jūs	PRO;NOM;MASC;SG	PRO;GEN;PL;2
sagen	teiciens	sagen	teiciens	V;NFIN	N;NOM;MASC;SG
sagen	saki	sagen	sacīt	V;NFIN	INTJ
charles	kārlis	charles	kārlis	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
charles	čārlzs	charles	čārlzs	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
funktion	funkcijas	Funktion	funkcija	N;SG	N;NOM;FEM;PL
funktion	funkcionalitātes	Funktion	funkcionalitāte	N;SG	N;NOM;FEM;PL
wahrscheinlich	visticamāk	wahrscheinlich	ticami	ADJ	ADV;RL
erreichen	reach	erreichen	reach	V;NFIN	
herzog	hercogs	herziehen	hercogs	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
zentrum	centrs	zentrum	centrs	PROPN;NOM;SG	N;NOM;MASC;SG
zentrum	centrā	zentrum	centrs	PROPN;NOM;SG	N;ESS;MASC;SG
zentrum	centrs	zentrum	centrs	PROPN;NOM;SG	N;NOM;MASC;SG
zentrum	centrā	zentrum	centrs	PROPN;NOM;SG	N;ESS;MASC;SG
zentrum	centra	zentrum	centrs	PROPN;NOM;SG	N;GEN;MASC;SG
jede	jebkuru	jed	jebkurš	PRO;NOM;INDF;FEM;SG	PRO;ACC;MASC;SG
jede	jebkura	jed	jebkura	PRO;NOM;INDF;FEM;SG	PRO;NOM;FEM;SG
jede	katrs	jed	katrs	PRO;NOM;INDF;FEM;SG	PRO;NOM;MASC;SG
jede	katru	jed	katra	PRO;NOM;INDF;FEM;SG	PRO;ACC;MASC;SG
jede	katra	jed	katra	PRO;NOM;INDF;FEM;SG	PRO;NOM;FEM;SG
dagegen	pret	dagegen	pret	ADV	ADP
liebe	mīļie	lieb	mīļs	PROPN;NOM;SG	ADJ;NOM;MASC;PL
liebe	dārgā	lieb	dārga	PROPN;NOM;SG	ADJ;NOM;FEM;SG
liebe	mīļā	lieb	mīļa	PROPN;NOM;SG	ADJ;NOM;FEM;SG
liebe	mīlestība	lieb	mīlestība	PROPN;NOM;SG	N;NOM;FEM;SG
liebe	mīli	lieb	mīlēt	PROPN;NOM;SG	V;IMP;SG;2;POS;FIN;ACT
liebe	love	lieb	love	PROPN;NOM;SG	
liebe	mīla	lieb	mīlēt	PROPN;NOM;SG	N;NOM;FEM;SG
liebe	mīlu	lieb	mīlēt	PROPN;NOM;SG	V;FH;IND;SG;1;POS;PRS;FIN;ACT
rom	romas	rom	roma	PROPN;NOM;NEUT;SG	N;NOM;FEM;PL
rom	romā	rom	roma	PROPN;NOM;NEUT;SG	N;ESS;FEM;SG
rom	roma	rom	roma	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
rom	rom	rom	rom	PROPN;NOM;NEUT;SG	
ihres	savējos	ihr	savējs	DET;GEN;MASC;SG	ADJ;ACC;MASC;PL
umfasst	vāki	umfassen	vāks	V;IND;SG;3;PRS;FIN	N;NOM;MASC;PL
umfasst	aptver	umfassen	aptvert	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;POS;FIN;ACT
nachfolger	pēcteči	nachfolg	pēctecis	ADJ	N;NOM;MASC;PL
nachfolger	sekotājam	nachfolg	sekotājs	ADJ	N;DAT;MASC;SG
nachfolger	pārņēmēja	nachfolg	pārņēmējs	ADJ	N;NOM;MASC;SG
wenige	maz	wenig	maz	ADJ;NOM;INDF;PL	ADV
grenze	ierobežot	grenze	ierobežot	ADJ	V;POS;NFIN
grenze	robeža	grenze	robeža	ADJ	N;NOM;FEM;SG
grenze	limits	grenze	limits	ADJ	N;NOM;MASC;SG
grenze	ierobežojums	grenze	ierobežojums	ADJ	N;NOM;MASC;SG
grenze	robeža	grenze	robeža	ADJ	N;NOM;FEM;SG
grenze	robežas	grenze	robeža	ADJ	N;NOM;FEM;PL
grenze	robeža	grenze	robeža	ADJ	N;NOM;FEM;SG
nächsten	next	nah	next	ADJ;PL	
nächsten	nākamais	nah	nākt	ADJ;PL	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
nächsten	nākamā	nah	nākt	ADJ;PL	V;NOM;DEF;FEM;SG;PRS;V.PTCP;PASS
nächsten	nākamo	nah	nākt	ADJ;PL	V;ACC;DEF;MASC;SG;PRS;V.PTCP;PASS
nächsten	nākošais	nah	nākt	ADJ;PL	V;IPFV;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
truppen	karaspēku	truppen	karaspēks	V;NFIN	N;ACC;MASC;SG
truppen	karaspēks	truppen	karaspēks	V;NFIN	N;NOM;MASC;SG
mitarbeiter	darbinieka	Mitarbeiter	darbinieks	ADJ	N;GEN;MASC;SG
mitarbeiter	darbinieks	Mitarbeiter	darbinieks	ADJ	N;NOM;MASC;SG
mitarbeiter	nodarbinātie	Mitarbeiter	nodarbināt	ADJ	V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
mitarbeiter	darbinieki	Mitarbeiter	darbinieks	ADJ	N;NOM;MASC;PL
mitarbeiter	palīgus	Mitarbeiter	palīgs	ADJ	N;ACC;MASC;PL
mitarbeiter	personāls	Mitarbeiter	personāls	ADJ	N;NOM;MASC;SG
mitarbeiter	darbinieki	Mitarbeiter	darbinieks	ADJ	N;NOM;MASC;PL
britischen	britu	britisch	brist	ADJ;NOM;MASC;PL	PROPN
britischen	briti	britisch	brist	ADJ;NOM;MASC;PL	N;NOM;MASC;PL
britischen	british	britisch	british	ADJ;NOM;MASC;PL	
britischen	lielbritānijas	britisch	lielbritānija	ADJ;NOM;MASC;PL	N;NOM;FEM;PL
werner	verners	wern	verners	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
verwendung	lietot	verwendung	lietot	N;SG	V;POS;NFIN
verwendung	izlietot	verwendung	izlietot	N;SG	V;POS;NFIN
verwendung	lietojumi	verwendung	lietojums	N;SG	N;NOM;MASC;PL
sieg	win	seigen	win	N;NOM;SG	
sieg	laimē	seigen	laime	N;NOM;SG	V;IMP;SG;2;POS;PRS;FIN;ACT
sieg	uzvarēt	seigen	uzvarēt	N;NOM;SG	V;POS;NFIN
sieg	uzvaras	seigen	uzvara	N;NOM;SG	N;NOM;FEM;PL
veröffentlichte	atbrīvoti	veröffentlichen	atbrīvot	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
china	ķīna	china	ķīns	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG
china	china	china	chināt	PROPN;NOM;MASC;SG	
hohe	augstā	hoch	augsts	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
hohe	augstu	hoch	augstu	ADJ;NOM;FEM;PL	ADV
hohe	augsts	hoch	augsts	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
hohe	augsta	hoch	augsts	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
falls	nokrīt	falls	nokrist	CONJ	V;FH;IND;3;POS;PRS;FIN;ACT
falls	krīt	falls	krist	CONJ	V;FH;IND;3;POS;PRS;FIN;ACT
falls	iekrīt	falls	iekrist	CONJ	V;FH;IND;3;POS;PRS;FIN;ACT
leicht	viegli	leicht	viegli	ADJ	ADV
leicht	gaismu	leicht	gaisma	ADJ	N;ACC;FEM;SG
leicht	gaismas	leicht	gaisma	ADJ	N;NOM;FEM;PL
leicht	gaisma	leicht	gaisma	ADJ	N;NOM;FEM;SG
leicht	gaiši	leicht	gaiši	ADJ	ADV
leicht	viegli	leicht	viegli	ADJ	ADV
leicht	mierīgi	leicht	mierīgi	ADJ	ADV
leicht	nedaudz	leicht	nedaudz	ADJ	ADV
verbunden	saistīts	verbinden	saistīt	ADJ;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
verbunden	pievienoti	verbinden	pievienot	ADJ;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
verbunden	pievienotie	verbinden	pievienot	ADJ;V.PTCP	V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
verbunden	pievienota	verbinden	pievienot	ADJ;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
verbunden	pievienots	verbinden	pievienot	ADJ;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
verbunden	pievienotas	verbinden	pievienot	ADJ;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
verbunden	pieslēdzies	verbinden	pieslēgties	ADJ;V.PTCP	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP
verbunden	savienota	verbinden	savienot	ADJ;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
verbunden	saistīts	verbinden	saistīt	ADJ;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
bald	kailā	bald	kaila	ADV	ADJ;NOM;FEM;SG
bald	drīzumā	bald	drīzums	ADV	N;ESS;MASC;SG
autoren	rakstnieki	autor	rakstnieks		N;NOM;MASC;PL
autoren	autors	autor	autors		N;NOM;MASC;SG
autoren	autore	autor	autore		N;NOM;FEM;SG
autoren	autori	autor	autors		N;NOM;MASC;PL
autoren	autoriem	autor	autors		N;DAT;MASC;PL
all	visiem	all	viss	ADV	PRO;DAT;MASC;PL
all	visu	all	viss	ADV	PRO;ACC;MASC;SG
all	visas	all	visa	ADV	PRO;NOM;FEM;PL
all	visi	all	viss	ADV	PRO;NOM;MASC;PL
all	visa	all	viss	ADV	PRO;NOM;FEM;SG
tiefe	dziļumā	tief	dziļums		N;ESS;MASC;SG
tiefe	dziļums	tief	dziļums		N;NOM;MASC;SG
tiefe	dziļa	tief	dziļa		ADJ;NOM;FEM;SG
tiefe	dziļā	tief	dziļš		ADJ;NOM;FEM;SG
tiefe	dziļi	tief	dziļi		ADV
tiefe	deep	tief	deep		
tiefe	dziļš	tief	dziļš		ADJ;NOM;MASC;SG
press	spied	press	spiest	PROPN	INTJ
press	nospiest	press	nospiest	PROPN	V;POS;NFIN
press	preses	press	prese	PROPN	N;NOM;FEM;PL
press	nospied	press	nospiedēt	PROPN	INTJ
press	prese	press	prese	PROPN	N;NOM;FEM;SG
gattung	ģints	gattung	ģints	ADJ	N;NOM;FEM;SG
gattung	suga	gattung	suga	ADJ	N;NOM;FEM;SG
gattung	sugas	gattung	suga	ADJ	N;NOM;FEM;PL
allein	vien	allein	vien	ADV	PART
allein	solo	allein	solo	ADV	N
bürgermeister	mērs	bürgermeister	mērs	ADJ	N;NOM;MASC;SG
bürgermeister	mēri	bürgermeister	mēre	ADJ	N;NOM;MASC;PL
polen	polija	polen	polija		PROPN;NOM;FEM;SG
polen	polijas	polen	polija		PROPN;NOM;FEM;SG
polen	polijā	polen	polija		PROPN;ESS;FEM;SG
polen	poļu	polen	polis		N;GEN;MASC;PL
polen	poļi	polen	polis		N;NOM;MASC;PL
nord	ziemeļi	nord	ziemelis	ADJ	N;NOM;MASC;PL
nord	ziemeļos	nord	ziemelis	ADJ	N;ESS;MASC;PL
nord	ziemeļu	nord	ziemelis	ADJ	N;GEN;MASC;PL
nord	nord	nord	nord	ADJ	
bestehen	esamība	bestehen	esamība	V;NFIN	N;NOM;FEM;SG
bestehen	pastāvēšana	bestehen	pastāvēšana	V;NFIN	N;NOM;FEM;SG
bestehen	esība	bestehen	esība	V;NFIN	N;NOM;FEM;SG
zuletzt	pēdējo	zuletzt	pēdējais	ADV	ADJ;ACC;MASC;SG
zuletzt	pēdējais	zuletzt	pēdējs	ADV	ADJ;NOM;MASC;SG
zuletzt	pēdējā	zuletzt	pēdējā	ADV	ADJ;NOM;FEM;SG
zuletzt	pēdējās	zuletzt	pēdējā	ADV	ADJ;NOM;FEM;PL
zuletzt	pēdējoreiz	zuletzt	pēdējoreiz	ADV	N;NOM;MASC;SG
verheiratet	precējusies	verheiraten	precēties	ADJ;V.PTCP	V;PFV;NOM;INDF;FEM;SG;REFL;PST;V.PTCP
verheiratet	precējies	verheiraten	precēties	ADJ;V.PTCP	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP
km	km²	km	km²	N;NOM;MASC;PL	
entwickelte	attīstītas	entwickeln	attīstīt	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
entwickelte	izstrādāti	entwickeln	izstrādāt	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
entwickelte	attīstītajām	entwickeln	attīstīt	V;IND;SG;3;PST;FIN	V;PFV;DAT;DEF;FEM;PL;PST;V.PTCP
entwickelte	attīstījušās	entwickeln	attīstīties	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;FEM;PL;REFL;PST;V.PTCP
produktion	izvades	produktion	izvade		N;NOM;FEM;PL
produktion	izlaide	produktion	izlaide		N;NOM;FEM;SG
produktion	izvadi	produktion	izvads		N;NOM;MASC;SG
produktion	produkcija	produktion	produkcija		N;NOM;FEM;SG
produktion	izvada	produktion	izvadīt		V;FH;IND;3;POS;PRS;FIN;ACT
produktion	ražošana	produktion	ražošana		N;NOM;FEM;SG
produktion	produkcija	produktion	produkcija		N;NOM;FEM;SG
produktion	ražošana	produktion	ražošana		N;NOM;FEM;SG
herrschaft	dominēšanu	herrschaft	dominēšana	ADJ	N;ACC;FEM;SG
berg	kalns	berg	kalns	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
berg	kalnu	berg	kalns	PROPN;NOM;MASC;SG	N;ACC;MASC;SG
berg	berg	berg	bergt	PROPN;NOM;MASC;SG	
berg	kalna	berg	kalns	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
berg	kalnā	berg	kalns	PROPN;NOM;MASC;SG	N;ESS;MASC;SG
alt	alto	alt	alts	ADJ	
alt	alt	alt	alt	ADJ	
alt	alat	alt	alat	ADJ	N;NOM;FEM;SG
punkt	postenis	punken	postenis		N;NOM;MASC;SG
punkt	dot	punken	dot		V;POS;NFIN
punkt	punkts	punken	punkts		N;NOM;MASC;SG
punkt	point	punken	point		
andreas	andreas	andreas	andrea	PROPN;NOM;MASC;SG	
andreas	endrū	andreas	endrū	PROPN;NOM;MASC;SG	PROPN
stiftung	foundation	stiftung	foundation	N;NOM;FEM;SG	
stiftung	stiftung	stiftung	stiftung	N;NOM;FEM;SG	N;ACC;MASC;SG
aktiv	aktīvi	aktiv	aktīvi	ADJ	ADV
familienname	uzvārdi	familiennam	uzvārds	ADJ	N;NOM;MASC;PL
familienname	uzvārds	familiennam	uzvārds	ADJ	N;NOM;MASC;SG
gute	labas	gut	laba	ADJ;NOM;SG	ADJ;NOM;FEM;PL
gute	labi	gut	labi	ADJ;NOM;SG	ADV
österreichischen	austrijas	österreichisch	austrija	ADJ;NOM;MASC;PL	PROPN;NOM;FEM;SG
österreichischen	österreichische	österreichisch	österreichische	ADJ;NOM;MASC;PL	N;NOM;FEM;SG
punkte	punktus	punken	punkts	N;NOM;MASC;PL	N;ACC;MASC;PL
punkte	punktus	punken	punkts	N;NOM;MASC;PL	N;ACC;MASC;PL
welcher	kas	welch	kas	PRO;NOM;MASC;SG	PRO;NOM
welcher	kuras	welch	kura	PRO;NOM;MASC;SG	PRO;NOM;FEM;PL
welcher	kura	welch	kura	PRO;NOM;MASC;SG	PRO;NOM;FEM;SG
gegensatz	kontrasti	gegensatz	kontrasts	ADJ	N;NOM;MASC;PL
gegensatz	pretruna	gegensatz	pretruna	ADJ	N;NOM;FEM;SG
gegensatz	pretrunu	gegensatz	pretruna	ADJ	N;ACC;FEM;SG
gegensatz	pretrunas	gegensatz	pretruna	ADJ	N;NOM;FEM;PL
gegensatz	kontrasts	gegensatz	kontrasts	ADJ	N;NOM;MASC;SG
minuten	minūtes	minuten	minūte	V;NFIN	N;NOM;FEM;PL
minuten	protokols	minuten	protokols	V;NFIN	N;NOM;MASC;SG
minuten	protokoli	minuten	protokolis	V;NFIN	N;NOM;MASC;PL
minuten	min	minuten	minēt	V;NFIN	N
frühen	agri	früh	agri	ADJ	ADV
historischen	vēsturisko	historisch	vēsturisks	ADJ;NOM;MASC;SG	ADJ;ACC;MASC;SG
historischen	vēsturiski	historisch	vēsturiski	ADJ;NOM;MASC;SG	ADV
historischen	vēsturiskas	historisch	vēsturiska	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
historischen	vēsturisko	historisch	vēsturisks	ADJ;NOM;MASC;SG	ADJ;ACC;MASC;SG
historischen	vēsturiski	historisch	vēsturiski	ADJ;NOM;MASC;SG	ADV
historischen	vēsturiskas	historisch	vēsturiska	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
ähnlich	līdzīgi	ähnlich	līdzīgi	ADJ	ADV
ähnlich	līdzīgi	ähnlich	līdzīgi	ADJ	ADV
finale	galīgais	final	galīgs	N;NOM;NEUT;SG	ADJ;NOM;MASC;SG
finale	galīgo	final	galīgs	N;NOM;NEUT;SG	ADJ;ACC;MASC;SG
finale	galīgā	final	galīga	N;NOM;NEUT;SG	ADJ;NOM;FEM;SG
jeden	katrs	jed	katrs	PRO;ACC;INDF;MASC;SG	PRO;NOM;MASC;SG
jeden	katru	jed	katra	PRO;ACC;INDF;MASC;SG	PRO;ACC;MASC;SG
jeden	katra	jed	katra	PRO;ACC;INDF;MASC;SG	PRO;NOM;FEM;SG
jeden	jebkura	jed	jebkura	PRO;ACC;INDF;MASC;SG	PRO;NOM;FEM;SG
jeden	jebkurš	jed	jebkurš	PRO;ACC;INDF;MASC;SG	PRO;NOM;MASC;SG
verfahren	process	verfahren	process	V;NFIN	N;NOM;MASC;SG
verfahren	procesā	verfahren	process	V;NFIN	N;ESS;MASC;SG
verfahren	tiesvedība	verfahren	tiesvedība	V;NFIN	N;NOM;FEM;SG
verfahren	procedūras	verfahren	procedūra	V;NFIN	N;NOM;FEM;PL
verfahren	metode	verfahren	metode	V;NFIN	N;NOM;FEM;SG
verfahren	tiesvedība	verfahren	tiesvedība	V;NFIN	N;NOM;FEM;SG
verfahren	procedūru	verfahren	procedūra	V;NFIN	N;ACC;FEM;SG
verfahren	procedūra	verfahren	procedūra	V;NFIN	N;NOM;FEM;SG
tour	ekskursija	tour	ekskursija		N;NOM;FEM;SG
tour	tūre	tour	tūre		N;NOM;FEM;SG
tour	tour	tour	tour		
wollen	vēlme	wollen	vēlme	V;IND;PL;3;PRS;FIN	N;NOM;FEM;SG
wollen	gribu	wollen	gribēt	V;IND;PL;3;PRS;FIN	V;FH;IND;SG;1;POS;PRS;FIN;ACT
wollen	gribam	wollen	gribēt	V;IND;PL;3;PRS;FIN	V;FH;IND;PL;1;POS;PRS;FIN;ACT
wollen	gribi	wollen	gribēt	V;IND;PL;3;PRS;FIN	V;IMP;SG;2;POS;FIN;ACT
wollen	grib	wollen	gribēt	V;IND;PL;3;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
ergebnis	rezultāti	ergebnis	rezultāts	ADJ	N;NOM;MASC;PL
ergebnis	iznākumi	ergebnis	iznākums	ADJ	N;NOM;MASC;PL
ergebnis	iznākums	ergebnis	iznākums	ADJ	N;NOM;MASC;SG
ergebnis	peļņa	ergebnis	peļņa	ADJ	N;NOM;FEM;SG
ergebnis	rezultāts	ergebnis	rezultāts	ADJ	N;NOM;MASC;SG
ergebnis	iznākums	ergebnis	iznākums	ADJ	N;NOM;MASC;SG
ergebnis	rezultāts	ergebnis	rezultāts	ADJ	N;NOM;MASC;SG
ergebnis	rezultāti	ergebnis	rezultāts	ADJ	N;NOM;MASC;PL
ergebnis	rezultātus	ergebnis	rezultāts	ADJ	N;ACC;MASC;PL
mark	atzīmēt	mark	atzīmēt	PROPN	V;POS;NFIN
mark	zīme	mark	zīme	PROPN	N;NOM;FEM;SG
mark	marks	mark	marks	PROPN	PROPN;NOM;MASC;SG
leitung	direktora	leitung	direktors	ADJ	N;GEN;MASC;SG
leitung	direktors	leitung	direktors	ADJ	N;NOM;MASC;SG
leitung	direktore	leitung	direktore	ADJ	N;NOM;FEM;SG
leitung	režisors	leitung	režisors	ADJ	N;NOM;MASC;SG
leitung	vadība	leitung	vadība	ADJ	N;NOM;FEM;SG
württemberg	virtemberga	württemberg	virtemberga	PROPN;NOM;NEUT;SG	N;GEN;MASC;SG
falsch	nepareizi	falsch	nepareizi	ADJ	ADV
falsch	nepareizi	falsch	nepareizi	ADJ	ADV
falsch	viltus	falsch	vilti	ADJ	N;ACC;MASC;PL
falsch	kļūdaini	falsch	kļūdaini	ADJ	ADV
artikeln	raksti	artikeln	raksts	ADJ	INTJ
artikeln	izstrādājumi	artikeln	izstrādājums	ADJ	N;NOM;MASC;PL
artikeln	panti	artikeln	pants	ADJ	N;NOM;MASC;PL
gold	zeltā	gold	zelts		N;ESS;MASC;SG
gold	zelta	gold	zelts		N;GEN;MASC
gold	zelts	gold	zelts		N;NOM;MASC;SG
weise	prātīgi	weis	prātīgi	ADJ	ADV
außer	izņemot	außer	izņemot	ADP	V;V.CVB
heiligen	svēto	heilig	svēts	ADJ	N
heiligen	saint	heilig	saint	ADJ	
heiligen	svēto	heilig	svēts	ADJ	N
möglichkeit	iespēja	möglichkeit	iespēja	ADJ	N;NOM;FEM;SG
möglichkeit	iespēja	möglichkeit	iespēja	ADJ	N;NOM;FEM;SG
möglichkeit	iespēja	möglichkeit	iespēja	ADJ	N;NOM;FEM;SG
leiter	kāpnes	leiter	kāpnes	ADJ	N;NOM;FEM
leiter	kāpnēm	leiter	kāpnes	ADJ	N;DAT;FEM
leiter	trepes	leiter	trepes	ADJ	N;NOM;FEM;PL
leiter	vadītājs	leiter	vadītājs	ADJ	N;NOM;MASC;SG
leiter	galvu	leiter	galva	ADJ	N;ACC;FEM;SG
leiter	galvas	leiter	galva	ADJ	N;NOM;FEM;PL
leiter	galva	leiter	galva	ADJ	N;NOM;FEM;SG
leiter	vadītājs	leiter	vadītājs	ADJ	N;NOM;MASC;SG
leiter	vadonis	leiter	vadonis	ADJ	N;NOM;MASC;SG
leiter	līderi	leiter	līderis	ADJ	N;ACC;MASC;SG
leiter	leader	leiter	leader	ADJ	N;NOM;FEM;SG
leiter	līderis	leiter	līderis	ADJ	N;NOM;MASC;SG
ausgabe	izvades	ausgeben	izvade	N;NOM;FEM;SG	N;NOM;FEM;PL
ausgabe	izvada	ausgeben	izvadīt	N;NOM;FEM;SG	V;FH;IND;3;POS;PRS;FIN;ACT
ausgabe	emitēt	ausgeben	emitēt	N;NOM;FEM;SG	V;POS;NFIN
ausgabe	izdot	ausgeben	izdot	N;NOM;FEM;SG	V;POS;NFIN
ausgabe	edition	ausgeben	edition	N;NOM;FEM;SG	
los	los	los	los	ADV	
river	upe	river	upe	PROPN;NOM;SG	N;NOM;FEM;SG
river	upes	river	upe	PROPN;NOM;SG	N;NOM;FEM;SG
rennen	sacīkstes	rennen	sacīkste	V;NFIN	N;NOM;FEM;PL
rennen	sacensības	rennen	sacensība	V;NFIN	N;NOM;FEM;PL
