और	un	और	un		CONJ
विकल्प	opcijas	विकल्प	opcija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
उद्यान	park	उद्यान	park	N;NOM;MASC;SG;3	
उद्यान	parkā	उद्यान	parks	N;NOM;MASC;SG;3	N;ESS;MASC;SG
उद्यान	parka	उद्यान	parks	N;NOM;MASC;SG;3	N;GEN;MASC;SG
पशु	dzīvniekus	पशु	dzīvnieks	N;NOM;MASC;SG;3	N;ACC;MASC;PL
पशु	dzīvniekiem	पशु	dzīvnieks	N;NOM;MASC;SG;3	N;DAT;MASC;PL
पशु	dzīvnieki	पशु	dzīvnieks	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पशु	dzīvnieku	पशु	dzīvnieks	N;NOM;MASC;SG;3	N;ACC;MASC;SG
पशु	dzīvniekam	पशु	dzīvnieks	N;NOM;MASC;SG;3	N;DAT;MASC;SG
ज्यादातर	pārsvarā	ज्यादातर	pārsvars	N;NOM;MASC;SG;3	N;ESS;MASC;SG
ज्यादातर	galvenokārt	ज्यादातर	galvenokārt	N;NOM;MASC;SG;3	ADV
ज्यादातर	lielākoties	ज्यादातर	lielākoties	N;NOM;MASC;SG;3	
ईसाई	kristians	ईसाई	kristians		PROPN;NOM;MASC;SG
ईसाई	kristiešu	ईसाई	kristiesis		N;GEN;MASC;PL
ईसाई	kristiāns	ईसाई	kristiāns		PROPN;NOM;MASC;SG
प्रमाण	pierādījumi	प्रमाण	pierādījums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रमाण	pierādījumu	प्रमाण	pierādījums	N;NOM;MASC;SG;3	N;ACC;MASC;SG
प्रमाण	pierādījumi	प्रमाण	pierādījums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
याद	atceries	याद	atcerēties	N;NOM;FEM;SG;3	V;IMP;SG;2;POS;REFL;FIN;ACT
याद	atceros	याद	atcerēties	N;NOM;FEM;SG;3	V;FH;IND;SG;1;POS;REFL;PRS;FIN;ACT
याद	atcerieties	याद	atcerēties	N;NOM;FEM;SG;3	V;IMP;PL;2;POS;REFL;FIN;ACT
याद	atcerēties	याद	atcerēties	N;NOM;FEM;SG;3	V;POS;REFL;NFIN
कंपनियों	uzņēmējsabiedrības	कंपनी	uzņēmējsabiedrība	N;ACC;FEM;PL;3	N;NOM;FEM;PL
कंपनियों	kompānijas	कंपनी	kompānija	N;ACC;FEM;PL;3	N;NOM;FEM;PL
कंपनियों	uzņēmumi	कंपनी	uzņēmums	N;ACC;FEM;PL;3	N;NOM;MASC;PL
मानसिक	garīgi	मानसिक	garīgi	N;NOM;MASC;SG;3	ADV
मानसिक	garīgā	मानसिक	garīga	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मानसिक	garīgās	मानसिक	garīga	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
मानसिक	garīgi	मानसिक	garīgi	N;NOM;MASC;SG;3	ADV
रसायन	ķīmiskais	रसायन	ķīmisks	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
रसायन	ķīmiskā	रसायन	ķīmiska	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
रसायन	ķimikālijas	रसायन	ķimikālija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
रसायन	ķīmijas	रसायन	ķīmija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रभावी	efektīvi	प्रभावी	efektīvi	ADJ	ADV
विज्ञापन	sludinājumus	विज्ञापन	sludinājums	N;NOM;MASC;SG;3	N;ACC;MASC;PL
विज्ञापन	reklamēt	विज्ञापन	reklamēt	N;NOM;MASC;SG;3	V;POS;NFIN
विज्ञापन	reklāmas	विज्ञापन	reklāma	N;NOM;MASC;SG;3	N;NOM;FEM;PL
ईश्वर	dievs	ईश्वर	dievs		N;NOM;MASC;SG
आसानी	atvieglotu	आसानी	atvieglot	N;NOM;FEM;SG;3	V;PFV;ACC;INDF;MASC;SG;PST;V.PTCP
आसानी	atvieglot	आसानी	atvieglot	N;NOM;FEM;SG;3	V;POS;NFIN
अमरीका	amerika	अमरीका	amerika	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
अमरीका	amerikā	अमरीका	amerika	PROPN;NOM;MASC;SG;3	N;ESS;FEM;SG
अमरीका	ameriku	अमरीका	amerika	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
शिकार	medību	शिकार	medības	N;NOM;MASC;SG;3	N;GEN;FEM
शिकार	medībās	शिकार	medības	N;NOM;MASC;SG;3	N;ESS;FEM
शिकार	medības	शिकार	medības	N;NOM;MASC;SG;3	N;NOM;FEM
शिकार	upuri	शिकार	upuris	N;NOM;MASC;SG;3	N;NOM;MASC;PL
शिकार	cietušais	शिकार	ciest	N;NOM;MASC;SG;3	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
रोगी	pacientam	रोगी	pacients	N;NOM;MASC;SG;3	N;DAT;MASC;SG
रूसी	krievu	रूसी	krievs	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
रूसी	krieviski	रूसी	krieviski	PROPN;NOM;MASC;SG;3	ADV
रूसी	krievs	रूसी	krievs	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
रूसी	krievijas	रूसी	krievija	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
अधीन	zem	अधीन	zem		ADP
गुप्त	guptu	गुप्त	gupta	PROPN;NOM;MASC;SG;3	ADV
गुप्त	secret	गुप्त	secret	PROPN;NOM;MASC;SG;3	
गुप्त	slepeni	गुप्त	slepenis	PROPN;NOM;MASC;SG;3	ADV
गुप्त	slepens	गुप्त	slepens	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
गुप्त	noslēpums	गुप्त	noslēpums	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
माने	krēpes	मान	krēpe	V;PFV;MASC;PL;V.PTCP;ACT	N;NOM;FEM;PL
हृदय	heart	हृदय	heart	N;NOM;MASC;SG;3	
आयोग	komisijas	आयोग	komisija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
आयोग	komisijas	आयोग	komisija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
शुद्ध	tīra	शुद्ध	tīra		ADJ;NOM;FEM;SG
शुद्ध	tīri	शुद्ध	tīri		ADV
शुद्ध	tīrs	शुद्ध	tīrs		ADJ;NOM;MASC;SG
शुद्ध	pure	शुद्ध	pure		
तीसरे	trešā	तीसरा	trešā	ADJ;ACC;MASC;SG	ADJ;NOM;DEF;FEM;SG
तीसरे	trešais	तीसरा	trešais	ADJ;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
चर्च	baznīcas	चर्च	baznīca	N;NOM;MASC;SG;3	N;NOM;FEM;PL
चर्च	baznīcas	चर्च	baznīca	N;NOM;MASC;SG;3	N;NOM;FEM;PL
चर्च	baznīcā	चर्च	baznīca	N;NOM;MASC;SG;3	N;ESS;FEM;SG
अपेक्षा	gaidas	अपेक्षा	gaidīties	CONJ	N;NOM;FEM;PL
कार्यालय	biroji	कार्यालय	birojs	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कार्यालय	birojiem	कार्यालय	birojs	N;NOM;MASC;SG;3	N;DAT;MASC;PL
कार्यालय	birojus	कार्यालय	birojs	N;NOM;MASC;SG;3	N;ACC;MASC;PL
कार्यालय	biroja	कार्यालय	birojs	N;NOM;MASC;SG;3	N;GEN;MASC;SG
कार्यालय	biroju	कार्यालय	birojs	N;NOM;MASC;SG;3	N;ACC;MASC;SG
परिवहन	pārvadājumi	परिवहन	pārvadājums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
स्टार	star	स्टार	star	N;NOM;MASC;SG;3	
वर्षा	nokrišņu	वर्षा	nokrišņa	N;NOM;FEM;SG;3	N;GEN;FEM
जनरल	gen	जनरल	gen	N;NOM;MASC;SG;3	
जनरल	vispārējā	जनरल	vispārējs	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
जनरल	vispārējais	जनरल	vispārējs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
जनरल	vispārīgi	जनरल	vispārīgi	N;NOM;MASC;SG;3	ADV
जनरल	vispārēji	जनरल	vispārējs	N;NOM;MASC;SG;3	ADV
संदेश	ziņu	संदेश	ziņa	N;NOM;MASC;SG;3	N;ACC;FEM;SG
संदेश	vēstules	संदेश	vēstule	N;NOM;MASC;SG;3	N;NOM;FEM;PL
संदेश	ziņojumi	संदेश	ziņojums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
परिचय	ieviešanu	परिचय	ieviešana	N;NOM;MASC;SG;3	N;ACC;FEM;SG
परिचय	par	परिचय	par	N;NOM;MASC;SG;3	
परिचय	intro	परिचय	intro	N;NOM;MASC;SG;3	
उत्पत्ति	izcelsmi	उत्पत्ति	izcelsme	N;NOM;FEM;SG;3	N;ACC;FEM;SG
उत्पत्ति	ģenēzes	उत्पत्ति	ģenēze	N;NOM;FEM;SG;3	N;NOM;FEM;PL
सोवियत	padomju	सोवियत	padome	PROPN;NOM;MASC;SG;3	N;GEN;FEM;PL
दौर	apaļš	दौर	apaļš	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
दौर	apaļi	दौर	apaļi	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
दौर	apaļa	दौर	apaļa	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
संचालन	darbības	संचालन	darbība	N;NOM;MASC;SG;3	N;NOM;FEM;PL
संचालन	operācijas	संचालन	operācija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
भौगोलिक	ģeogrāfisko	भौगोलिक	ģeogrāfiska	ADJ;NOM	ADJ;ACC;MASC;SG
उपस्थित	apmeklē	उपस्थित	apmeklēt	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
उपस्थित	dalībnieki	उपस्थित	dalībnieks	ADJ	N;NOM;MASC;PL
उपस्थित	klāt	उपस्थित	klāt	ADJ	ADV
उपस्थित	tagadni	उपस्थित	tagadne	ADJ	N;ACC;FEM;SG
अस्पताल	slimnīcā	अस्पताल	slimnīca	N;NOM;MASC;SG;3	N;ESS;FEM;SG
अस्पताल	slimnīcas	अस्पताल	slimnīca	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अस्पताल	slimnīcās	अस्पताल	slimnīca	N;NOM;MASC;SG;3	N;ESS;FEM;PL
अस्पताल	slimnīcām	अस्पताल	slimnīca	N;NOM;MASC;SG;3	N;DAT;FEM;PL
परिवर्तित	mainījies	परिवर्तित	mainīties	ADJ	V;FH;IND;SG;2;POS;REFL;PST;FIN;ACT
परिवर्तित	mainītas	परिवर्तित	mainīt	ADJ	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
परिवर्तित	mainīta	परिवर्तित	mainīt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
परिवर्तित	mainīts	परिवर्तित	mainīt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
परिवर्तित	modificēts	परिवर्तित	modificēt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
परिवर्तित	pārveidoti	परिवर्तित	pārveidot	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
परिवर्तित	pārveidota	परिवर्तित	pārveidot	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
परिवर्तित	mainīts	परिवर्तित	mainīt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
परिवर्तित	pārveidots	परिवर्तित	pārveidot	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
स्वर	vokālā	स्वर	vokāls	N;NOM;MASC;SG;3	N;ESS;MASC;SG
लघु	logaritms	लघु	logaritms		N;NOM;MASC;SG
लघु	maznozīmīgi	लघु	maznozīmīgi		ADV
लघु	nelielas	लघु	neliela		ADJ;NOM;FEM;PL
प्रश्न	vaicājumu	प्रश्न	vaicājums	N;NOM;MASC;SG;3	N;ACC;MASC;SG
प्रश्न	jautājumu	प्रश्न	jautājums	N;NOM;MASC;SG;3	N;ACC;MASC;SG
प्रश्न	jautājumi	प्रश्न	jautājums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
आलोचना	kritiku	आलोचना	kritika	N;NOM;FEM;SG;3	N;ACC;FEM;SG
पहाड़ी	kalnā	पहाडी	kalns	N;NOM;FEM;SG;3	N;ESS;MASC;SG
जालस्थल	mājaslapā	जालस्थल	mājaslaps	N;NOM;MASC;SG;3	N;ESS;MASC;SG
पुरानी	veci	पुराना	vecs	ADJ;FEM;SG	ADJ;NOM;MASC;PL
पुरानी	vecāki	पुराना	vecāks	ADJ;FEM;SG	N;NOM;MASC;PL
पसंद	patīk	पसंद	patikt	N;NOM;FEM;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
पसंद	grāmatzīmes	पसंद	grāmatzīme	N;NOM;FEM;SG;3	N;NOM;FEM;PL
सुझाव	ieteikumi	सुझाव	ieteikums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
सुझाव	ierosinājumi	सुझाव	ierosinājums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
सुझाव	priekšlikumi	सुझाव	priekšlikums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
सुझाव	rekomendācijas	सुझाव	rekomendācija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सुझाव	ieteikumi	सुझाव	ieteikums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
सुझाव	uzgaļi	सुझाव	uzgaļš	N;NOM;MASC;SG;3	N;NOM;MASC;PL
सुझाव	padomi	सुझाव	padome	N;NOM;MASC;SG;3	N;ACC;FEM;SG
सुझाव	ieteikumi	सुझाव	ieteikums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
लिखने	rakstīšana	लिख	rakstīšana	V;NFIN;ACT	N;NOM;FEM;SG
वर्णित	aprakstīts	वर्णित	aprakstīt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
वर्णित	aprakstītas	वर्णित	aprakstīt	ADJ	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
वर्णित	aprakstīta	वर्णित	aprakstīt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
वर्णित	raksturotas	वर्णित	raksturot	ADJ	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
वर्णित	aprakstītais	वर्णित	aprakstīt	ADJ	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
विभाजन	nodaļas	विभाजन	nodaļa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विभाजन	rajoni	विभाजन	rajons	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रशासनिक	administratīvā	प्रशासनिक	administratīva	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
प्रशासनिक	administratīvi	प्रशासनिक	administratīvi	PROPN;NOM;MASC;SG;3	ADV
प्रशासनिक	administratīvais	प्रशासनिक	administratīvs	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
प्रशासनिक	administratīva	प्रशासनिक	administratīva	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
प्रशासनिक	administratīvie	प्रशासनिक	administratīvs	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
विशेषता	atribūtu	विशेषता	atribūt	N;NOM;FEM;SG;3	N;ACC;MASC;SG
विशेषता	piedēvēt	विशेषता	piedēvēt	N;NOM;FEM;SG;3	V;POS;NFIN
विशेषता	atribūta	विशेषता	atribūt	N;NOM;FEM;SG;3	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
विशेषता	atribūts	विशेषता	atribūt	N;NOM;FEM;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
विशेषता	kvalitātes	विशेषता	kvalitāte	N;NOM;FEM;SG;3	N;NOM;FEM;PL
कठिन	cieto	कठिन	cietot	ADP	ADJ;ACC;MASC;SG
कठिन	smagi	कठिन	smags	ADP	ADV
कठिन	cietās	कठिन	cieta	ADP	ADJ;NOM;FEM;PL
कठिन	grūti	कठिन	grūti	ADP	ADV
कठिन	cietais	कठिन	ciets	ADP	ADJ;NOM;MASC;SG
कठिन	grūta	कठिन	grūta	ADP	ADJ;NOM;FEM;SG
कठिन	grūti	कठिन	grūti	ADP	ADV
कठिन	grūta	कठिन	grūta	ADP	ADJ;NOM;FEM;SG
कठिन	sarežģīta	कठिन	sarežģīta	ADP	ADJ;NOM;FEM;SG
कठिन	apgrūtināta	कठिन	apgrūtināt	ADP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
कठिन	sarežģīti	कठिन	sarežģīti	ADP	ADV
कड़ी	saikne	कडा	saikne	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
कड़ी	saite	कडा	saite	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
कड़ी	saites	कडा	saite	ADJ;NOM;FEM;SG	N;NOM;FEM;PL
कड़ी	links	कडा	links	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
कड़ी	ķēde	कडा	ķēde	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
कड़ी	ķēdes	कडा	ķēde	ADJ;NOM;FEM;SG	N;NOM;FEM;PL
एकमात्र	vienīgais	एकमात्र	vienīgs	ADP	ADJ;NOM;MASC;SG
एकमात्र	vienīgā	एकमात्र	vienīga	ADP	ADJ;NOM;FEM;SG
ईरान	irāna	ईरान	irāns	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
क्षेत्रीय	reģionāli	क्षेत्रीय	reģionāli	ADJ;NOM	ADV
जान	mīļie	जान	mīļs	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
जान	zinu	जान	zināt	PROPN;NOM;MASC;SG;3	V;FH;IND;SG;1;POS;PRS;FIN;ACT
जान	zinām	जान	zināt	PROPN;NOM;MASC;SG;3	V;FH;IND;PL;1;POS;PRS;FIN;ACT
जान	zināt	जान	zināt	PROPN;NOM;MASC;SG;3	V;POS;NFIN
लड़ाई	kaujā	लड़ाई	kaujā	N;NOM;FEM;SG;3	N;ESS;FEM;SG
लड़ाई	kaujas	लड़ाई	kauja	N;NOM;FEM;SG;3	N;NOM;FEM;PL
लड़ाई	cīņu	लड़ाई	cīņa	N;NOM;FEM;SG;3	N;ACC;FEM;SG
लड़ाई	cīnīties	लड़ाई	cīnīties	N;NOM;FEM;SG;3	V;POS;REFL;NFIN
परिभाषित	definēta	परिभाषित	definēt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
परिभाषित	definētas	परिभाषित	definēt	ADJ	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
परिभाषित	definē	परिभाषित	definēt	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
परिभाषित	definēti	परिभाषित	definēt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
परिभाषित	definēts	परिभाषित	definēt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
अंश	frac	अंश	fracēt	N;NOM;MASC;SG;3	
ग्रामीण	lauku	ग्रामीण	lauks	N;NOM;MASC;SG;3	N;ACC;MASC;SG
प्रस्तावित	ierosināts	प्रस्तावित	ierosināt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
प्रस्तावित	ierosinātā	प्रस्तावित	ierosināt	ADJ	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
प्रस्तावित	ierosināta	प्रस्तावित	ierosināt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
प्रस्तावित	piedāvātais	प्रस्तावित	piedāvāt	ADJ	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
प्रस्तावित	ierosinātie	प्रस्तावित	ierosināt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
इस्लाम	islāmisma	इस्लाम	islāmisms	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
इस्लाम	islāma	इस्लाम	islams	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
समुद्री	marine	समुद्री	marine	ADJ;NOM	
समुद्री	jūras	समुद्री	jūra	ADJ;NOM	N;NOM;FEM;SG
उनको	viņiem	वह	viņš	PRO;SG;3;FORM	PRO;DAT;MASC;PL;3
उपयोगी	noderīgi	उपयोगी	noderīgs	ADJ	ADV
उपयोगी	noderīgi	उपयोगी	noderīgs	ADJ	ADV
केंद्रीय	centrālā	केंद्रीय	centrāla	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
केंद्रीय	centrālais	केंद्रीय	centrāls	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
केंद्रीय	centrālās	केंद्रीय	centrāla	PROPN;NOM;SG;3	ADJ;NOM;FEM;PL
सत्र	sesiju	सत्र	sesija	N;NOM;MASC;SG;3	N;ACC;FEM;SG
सत्र	sesijas	सत्र	sesija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मिश्र	ēģipte	मिश्र	ēģipte	PROPN;NOM;SG;3	N;NOM;FEM;SG
मिश्र	ēģiptes	मिश्र	Ēģipte	PROPN;NOM;SG;3	PROPN;NOM;FEM;SG
मिश्र	ēģiptiešu	मिश्र	ēģiptietis	PROPN;NOM;SG;3	N;GEN;MASC;PL
पहुँच	pieeja	पहुँच	pieeja	V;ACT	N;NOM;FEM;SG
पहुँच	piekļuve	पहुँच	piekļuve	V;ACT	N;NOM;FEM;SG
पहुँच	reach	पहुँच	reach	V;ACT	
पहुँच	piekļūšana	पहुँच	piekļūšana	V;ACT	N;NOM;FEM;SG
पहुँच	pieejamība	पहुँच	pieejamība	V;ACT	N;NOM;FEM;SG
मेरा	raktuves	मैं	raktuve	PRO;MASC;SG;1	N;NOM;FEM;PL
मिस्र	ēģipte	मिस्र	ēģipte	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
मिस्र	ēģiptes	मिस्र	Ēģipte	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
मिस्र	ēģiptiešu	मिस्र	ēģiptietis	PROPN;NOM;MASC;SG;3	N;GEN;MASC;PL
गणराज्य	republika	गणराज्य	republika	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
गणराज्य	republikas	गणराज्य	republika	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
छात्रों	studenti	छात्र	students	N;ACC;MASC;PL;3	N;NOM;MASC;PL
छात्रों	skolēni	छात्र	skolēns	N;ACC;MASC;PL;3	N;NOM;MASC;PL
छात्रों	studentiem	छात्र	students	N;ACC;MASC;PL;3	N;DAT;MASC;PL
पुराना	veci	पुराना	vecs	ADJ;MASC;SG	ADJ;NOM;MASC;PL
पुराना	vecāki	पुराना	vecāks	ADJ;MASC;SG	N;NOM;MASC;PL
जम्मू	džammu	जम्मू	džamma	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
तेज	ātri	तेज	ātri	ADJ	ADV
तेज	strauji	तेज	strauji	ADJ	ADV
तेज	fast	तेज	fast	ADJ	
वैसे	vienalga	वैसे	vienalga	PRO	
नवंबर	novembra	नवंबर	novembris	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
नवंबर	novembrī	नवंबर	novembris	PROPN;NOM;MASC;SG;3	N;ESS;MASC;SG
नवंबर	novembris	नवंबर	novembris	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
नवंबर	december	नवंबर	decembert	PROPN;NOM;MASC;SG;3	
कारणों	iemesli	कारण	iemesls	N;ACC;MASC;PL;3	N;NOM;MASC;PL
कारणों	pamatojums	कारण	pamatojums	N;ACC;MASC;PL;3	N;NOM;MASC;SG
सर	ser	सर	ser	N;NOM;MASC;SG;3	
अपराध	nodarījumu	अपराध	nodarījums	N;NOM;MASC;SG;3	N;ACC;MASC;SG
अपराध	noziedzību	अपराध	noziedzība	N;NOM;MASC;SG;3	N;ACC;FEM;SG
अपराध	noziegumi	अपराध	noziegums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
अमेरिकन	american	अमेरिकन	american	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
अमेरिकन	amerikāņu	अमेरिकन	amerikānis	PROPN;NOM;MASC;SG;3	N;GEN;MASC;PL
अमेरिकन	amerikas	अमेरिकन	amerika	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;PL
व्यक्तित्व	personības	व्यक्तित्व	personība	N;NOM;MASC;SG;3	N;NOM;FEM;PL
जन	jan	जन	jan	N;NOM;MASC;SG;3	
जन	jans	जन	jans	N;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
यूनाइटेड	united	यूनाइटेड	unitede	PROPN;NOM;MASC;SG;3	
यूनाइटेड	apvienotā	यूनाइटेड	apvienot	PROPN;NOM;MASC;SG;3	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
यूनाइटेड	apvienoto	यूनाइटेड	apvienot	PROPN;NOM;MASC;SG;3	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP
यूनाइटेड	vienoti	यूनाइटेड	vienots	PROPN;NOM;MASC;SG;3	ADV
जापानी	japāna	जापानी	japāna	N;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
जापानी	japānas	जापानी	japāna	N;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
जापानी	japāņu	जापानी	japānis	N;NOM;MASC;SG;3	N;GEN;MASC;PL
रॉक	rock	रॉक	rock	N;NOM;MASC;SG;3	
लंबी	ilgi	लंबा	ilgi	ADJ;NOM;FEM;SG	ADV
लंबी	garas	लंबा	gara	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
गेम	spēļu	गेम	spēle	N;NOM;MASC;SG;3	N;GEN;FEM;PL
गेम	spēles	गेम	spēle	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अन्दर	iekšpusē	अन्दर	iekšpuse		N;ESS;FEM;SG
अन्दर	iekšā	अन्दर	iekšā		ADV
संपत्ति	aktīvi	संपत्ति	aktīvi	N;NOM;FEM;SG;3	ADV
संक्षिप्त	saīsinājums	संक्षिप्त	saīsinājums	PROPN;NOM;SG;3	N;NOM;MASC;SG
संक्षिप्त	īsi	संक्षिप्त	īsi	PROPN;NOM;SG;3	ADV
क्यों	kapēc	क्यों	kapēc	PRO	
क्यों	kādēļ	क्यों	kādēļ	PRO	ADV
क्यों	kāpēc	क्यों	kāpēc	PRO	ADV
गलत	nepareizi	गलत	nepareizi	ADJ	ADV
गलत	nepareizi	गलत	nepareizi	ADJ	ADV
