und	si	und	sine	CONJ	
unterstützt	susținut	unterstützen	susține	V;V.PTCP	ADJ;INDF;MASC;SG
unterstützt	suporturi	unterstützen	suport	V;V.PTCP	N;INDF;FEM;PL
unterstützt	asistată	unterstützen	asista	V;V.PTCP	ADJ;INDF;FEM;SG
unterstützt	asistat	unterstützen	asista	V;V.PTCP	ADJ;INDF;MASC;SG
pfarrkirche	parohia	pfarrkirche	parohie	N;NOM;FEM;SG	N;DEF;FEM;SG
pfarrkirche	parohie	pfarrkirche	parohie	N;NOM;FEM;SG	N;INDF;FEM;SG
produziert	produs	produzieren	produs	V;V.PTCP	N;INDF;MASC;SG
allgemein	generic	allgemein	generic	ADJ	ADV
allgemein	comuna	allgemein	comună	ADJ	N;DEF;FEM;SG
allgemein	generalul	allgemein	general	ADJ	N;DEF;MASC;SG
verlauf	gradient	verlaufen	gradient	ADV	N;INDF;MASC;SG
verlauf	progresie	verlaufen	progresie	ADV	N;INDF;FEM;SG
verlauf	progresia	verlaufen	progresie	ADV	N;DEF;FEM;SG
sperre	blocaj	sperr	blocaj		N;INDF;MASC;SG
sperre	blocare	sperr	blocare		N;INDF;FEM;SG
sperre	lacăt	sperr	lacăt		N;INDF;MASC;SG
sperre	lock	sperr	lock		N;INDF;MASC;SG
sperre	bariera	sperr	barieră		N;DEF;FEM;SG
sperre	barieră	sperr	barieră		N;INDF;FEM;SG
treffen	reuniuni	treffen	reuniune	V;NFIN	N;INDF;FEM;PL
treffen	întruniri	treffen	întrunire	V;NFIN	N;INDF;FEM;PL
treffen	întâlniri	treffen	întâlnire	V;NFIN	N;INDF;FEM;PL
treffen	intalniri	treffen	intalnire	V;NFIN	N;INDF;FEM;PL
treffen	intalnire	treffen	intalnire	V;NFIN	N;INDF;FEM;SG
treffen	întâlnirea	treffen	întâlnire	V;NFIN	N;DEF;FEM;SG
treffen	întâlnire	treffen	întâlnire	V;NFIN	N;INDF;FEM;SG
arbeitet	lucrări	arbeiten	lucrare	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
arbeitet	lucrari	arbeiten	lucrar	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
nutzung	utilizare	nutzung	utilizare	N;NOM;FEM;SG	N;INDF;FEM;SG
nutzung	folosire	nutzung	folosire	N;NOM;FEM;SG	N;INDF;FEM;SG
nutzung	exploatarea	nutzung	exploatare	N;NOM;FEM;SG	N;DEF;FEM;SG
nutzung	exploatare	nutzung	exploatare	N;NOM;FEM;SG	N;INDF;FEM;SG
nutzung	utilizează	nutzung	utiliza	N;NOM;FEM;SG	V;IND;3;PRS;FIN
nutzung	utilizarea	nutzung	utilizare	N;NOM;FEM;SG	N;DEF;FEM;SG
nutzung	folosește	nutzung	folosi	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
nutzung	utilizare	nutzung	utilizare	N;NOM;FEM;SG	N;INDF;FEM;SG
nutzen	ham	nutzen	ham	V;NFIN	N;INDF;MASC;SG
nutzen	beneficiile	nutzen	beneficiu	V;NFIN	N;DEF;FEM;PL
nutzen	prestații	nutzen	prestație	V;NFIN	N;INDF;FEM;PL
nutzen	beneficii	nutzen	beneficiu	V;NFIN	N;INDF;FEM;PL
nutzen	utilitatea	nutzen	utilitate	V;NFIN	N;DEF;FEM;SG
nutzen	utilitate	nutzen	utilitate	V;NFIN	N;INDF;FEM;SG
nutzen	utilitatea	nutzen	utilitate	V;NFIN	N;DEF;FEM;SG
nutzen	utilitar	nutzen	utilitar	V;NFIN	N;INDF;MASC;SG
architekt	arhitect	architekt	arhitect	ADJ	N;INDF;MASC;SG
jurist	jurist	jurist	jurist	ADJ	N;INDF;MASC;SG
abo	abo	abo	abo	N;NOM;NEUT;SG	
fällt	falls	fallen|fällen	fall	V;IND;SG;3;PRS;FIN	PROPN
zählt	numărarea	zählen	numărare	V;IND;SG;3;PRS;FIN	N;DEF;FEM;SG
zählt	numărare	zählen	numărare	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
zählt	bazez	zählen	bazez	V;IND;SG;3;PRS;FIN	V;IND;PL;1;PRS;FIN
eingeführt	introdusă	einführen	introduce	V;V.PTCP	ADJ;INDF;FEM;SG
eingeführt	introdus	einführen	introduce	V;V.PTCP	ADJ;INDF;MASC;SG
eingeführt	importat	einführen	importat	V;V.PTCP	ADJ;INDF;MASC;SG
eingeführt	importată	einführen	importa	V;V.PTCP	ADJ;INDF;FEM;SG
eingeführt	importate	einführen	importat	V;V.PTCP	ADJ;INDF;FEM;PL
eingeführt	instituită	einführen	institui	V;V.PTCP	ADJ;INDF;FEM;SG
eingeführt	instituit	einführen	instituit	V;V.PTCP	ADJ;INDF;MASC;SG
hält	dureaza	halten	durează	V;IND;SG;3;PRS;FIN	V;IND;SG;3;IPFV;FIN
nördlichen	northern	nördlich	northern	ADJ;NOM;MASC;SG	PROPN
nördlichen	nordul	nördlich	nord	ADJ;NOM;MASC;SG	N;DEF;MASC;SG
nordrhein	nordrhein	nordrhein	nordrhein	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
ortschaft	oraș	ortschaft	oraș	ADJ	N;INDF;MASC;SG
ortschaft	oras	ortschaft	oras	ADJ	N;INDF;MASC;SG
ortschaft	oraşul	ortschaft	orac	ADJ	N;DEF;MASC;SG
ortschaft	oraş	ortschaft	oraş	ADJ	N;INDF;MASC;SG
ortschaft	satul	ortschaft	sat	ADJ	N;DEF;MASC;SG
ortschaft	village	ortschaft	villag	ADJ	PROPN
ortschaft	satului	ortschaft	sat	ADJ	N;DEF;MASC;SG
ortschaft	sat	ortschaft	sat	ADJ	N;INDF;MASC;SG
ortschaft	localitatea	ortschaft	localitate	ADJ	N;DEF;FEM;SG
ortschaft	localitate	ortschaft	localitate	ADJ	N;INDF;FEM;SG
führung	ghidat	führung	ghidat	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
führung	îndrumat	führung	îndruma	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
führung	călăuzit	führung	călăuzi	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
führung	ghidate	führung	ghidat	N;NOM;FEM;SG	ADJ;INDF;FEM;PL
führung	conducerea	führung	conducere	N;NOM;FEM;SG	N;DEF;FEM;SG
führung	conducere	führung	conducere	N;NOM;FEM;SG	N;INDF;FEM;SG
führung	conducători	führung	conducător	N;NOM;FEM;SG	N;INDF;MASC;PL
führung	lideri	führung	lider	N;NOM;FEM;SG	N;INDF;MASC;PL
führung	liderii	führung	lider	N;NOM;FEM;SG	N;DEF;MASC;PL
bestimmte	anumite	bestimmt	anumit	ADJ;NOM;FEM;PL	PRO;FEM;PL;3
tragen	purtarea	tragen	purtare	V;NFIN	N;DEF;FEM;SG
tragen	uzura	tragen	uzura	V;NFIN	N;DEF;FEM;SG
tragen	uzură	tragen	uzura	V;NFIN	N;INDF;FEM;SG
tragen	ursul	tragen	urs	V;NFIN	N;DEF;MASC;SG
tragen	ursu	tragen	ursu	V;NFIN	PROPN
tragen	bear	tragen	bear	V;NFIN	N;INDF;MASC;SG
tragen	urs	tragen	urs	V;NFIN	N;INDF;MASC;SG
fällen	instanțe	fällen	instanță	V;NFIN	N;INDF;FEM;PL
fällen	cazurile	fällen	caz	V;NFIN	N;DEF;FEM;PL
fällen	cazuri	fällen	caz	V;NFIN	N;INDF;FEM;PL
herbert	herbert	herbert	herbert		PROPN
star	starling	Star	starling	PROPN	PROPN
star	celebritate	Star	celebritate	PROPN	N;INDF;FEM;SG
star	celebritatea	Star	celebritate	PROPN	N;DEF;FEM;SG
star	stea	Star	sta	PROPN	V;IND;3;PRS;FIN
star	star	Star	star	PROPN	
star	vedeta	Star	vedeta	PROPN	N;DEF;FEM;SG
star	steaua	Star	stea	PROPN	N;DEF;FEM;SG
wichtigsten	principala	wichtig	principal	ADJ;PL	ADJ;DEF;FEM;SG
wichtigsten	main	wichtig	main	ADJ;PL	N
wichtigsten	principală	wichtig	principal	ADJ;PL	ADJ;INDF;FEM;SG
wichtigsten	principal	wichtig	principal	ADJ;PL	N;INDF;MASC;SG
westlichen	vest	westlich	vest	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
westlichen	western	westlich	western	ADJ;NOM;MASC;SG	PROPN
linken	stâng	link	stâng	ADJ;MASC;PL	N;INDF;MASC;SG
linken	stânga	link	stângă	ADJ;MASC;PL	N;DEF;FEM;SG
linken	stanga	link	stanga	ADJ;MASC;PL	N;DEF;FEM;SG
linken	stînga	link	stângă	ADJ;MASC;PL	N;DEF;FEM;SG
zeichen	simbolurile	zeichen	simbol	V;NFIN	N;DEF;FEM;PL
zeichen	simboluri	zeichen	simbol	V;NFIN	N;INDF;FEM;PL
zeichen	semnele	zeichen	semn	V;NFIN	N;DEF;FEM;PL
zeichen	semne	zeichen	semn	V;NFIN	N;INDF;FEM;PL
zeichen	personaj	zeichen	personaj	V;NFIN	N;INDF;MASC;SG
zeichen	caracterul	zeichen	caracter	V;NFIN	N;DEF;MASC;SG
zeichen	caracter	zeichen	caracter	V;NFIN	N;INDF;MASC;SG
zeichen	caractere	zeichen	caracter	V;NFIN	N;INDF;FEM;PL
zeichen	caracterele	zeichen	caracter	V;NFIN	N;DEF;FEM;PL
zeichen	personajele	zeichen	personaj	V;NFIN	N;DEF;FEM;PL
zeichen	personaje	zeichen	personaj	V;NFIN	N;INDF;FEM;PL
zeichen	semn	zeichen	semn	V;NFIN	N;INDF;MASC;SG
zeichen	semnul	zeichen	semn	V;NFIN	N;DEF;MASC;SG
früheren	antici	früh	antic	ADJ	N;INDF;MASC;PL
früheren	anticii	früh	antic	ADJ	N;DEF;MASC;PL
früheren	anterior	früh	anterior	ADJ	ADV
früheren	precedent	früh	precedent	ADJ	N;INDF;MASC;SG
kraft	kraft	krafen	kraft		PROPN
kraft	forța	krafen	forță		N;DEF;FEM;SG
kraft	forță	krafen	forță		N;INDF;FEM;SG
kraft	forta	krafen	forta		N;DEF;FEM;SG
kraft	putere	krafen	putere		N;INDF;FEM;SG
kraft	puterea	krafen	putere		N;DEF;FEM;SG
kraft	forta	krafen	forta		N;DEF;FEM;SG
kraft	putere	krafen	putere		N;INDF;FEM;SG
kraft	puterea	krafen	putere		N;DEF;FEM;SG
kraft	power	krafen	power		N
komplett	complet	komplett	complet	ADJ	ADV
komplett	complet	komplett	complet	ADJ	ADV
braunschweig	brunswick	braunschweig	brunswick	ADJ	N;INDF;MASC;SG
verhalten	comportamentul	verhalten	comportament	V;NFIN	N;DEF;MASC;SG
verhalten	comportament	verhalten	comportament	V;NFIN	N;INDF;MASC;SG
verhalten	purtare	verhalten	purtare	V;NFIN	N;INDF;FEM;SG
verhalten	comportamente	verhalten	comportament	V;NFIN	N;INDF;FEM;PL
verhalten	comportamentul	verhalten	comportament	V;NFIN	N;DEF;MASC;SG
verhalten	comportament	verhalten	comportament	V;NFIN	N;INDF;MASC;SG
verhalten	conduită	verhalten	conduită	V;NFIN	N;INDF;FEM;SG
verhalten	conduita	verhalten	conduita	V;NFIN	N;DEF;FEM;SG
herkunft	origine	herkunft	origine	N;NOM;FEM;SG	N;INDF;FEM;SG
herkunft	originea	herkunft	origine	N;NOM;FEM;SG	N;DEF;FEM;SG
herkunft	originile	herkunft	origine	N;NOM;FEM;SG	N;DEF;FEM;PL
herkunft	origini	herkunft	origine	N;NOM;FEM;SG	N;INDF;FEM;PL
sport	sport	sporen	sport	PROPN;SG	N;INDF;MASC;SG
sport	sportul	sporen	sport	PROPN;SG	N;DEF;MASC;SG
sport	sport	sporen	sport	PROPN;SG	N;INDF;MASC;SG
sport	sporturi	sporen	sport	PROPN;SG	N;INDF;FEM;PL
mittel	fonduri	mittel	fond	ADV	N;INDF;FEM;PL
mittel	fondurile	mittel	fond	ADV	N;DEF;FEM;PL
mittel	medii	mittel	medie	ADV	N;INDF;FEM;PL
mittel	medium	mittel	medium	ADV	N;INDF;MASC;SG
mittel	mediu	mittel	mediu	ADV	ADJ;INDF;MASC;SG
mittel	medie	mittel	medie	ADV	N;INDF;FEM;SG
mittel	resursele	mittel	resursă	ADV	N;DEF;FEM;PL
mittel	resurse	mittel	resursă	ADV	N;INDF;FEM;PL
verbreitung	difuzie	verbreitung	difuzie	N;NOM;FEM;SG	N;INDF;FEM;SG
verbreitung	răspândirea	verbreitung	răspândire	N;NOM;FEM;SG	N;DEF;FEM;SG
verbreitung	răspândire	verbreitung	răspândire	N;NOM;FEM;SG	N;INDF;FEM;SG
verbreitung	răspândit	verbreitung	răspândi	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
verbreitung	difuzarea	verbreitung	difuzare	N;NOM;FEM;SG	N;DEF;FEM;SG
verbreitung	difuzare	verbreitung	difuzare	N;NOM;FEM;SG	N;INDF;FEM;SG
verbreitung	diseminarea	verbreitung	diseminare	N;NOM;FEM;SG	N;DEF;FEM;SG
theodor	theodor	theodor	theodor	PROPN;NOM;SG	PROPN
theodor	theodore	theodor	theodore	PROPN;NOM;SG	PROPN
theodor	teodor	theodor	teodor	PROPN;NOM;SG	PROPN
theodor	theodor	theodor	theodor	PROPN;NOM;SG	PROPN
sofort	instantanee	sofort	instantaneu	ADV	N;INDF;FEM;PL
sofort	instant	sofort	instant	ADV	
sofort	imediată	sofort	imediat	ADV	ADJ;INDF;FEM;SG
sofort	imediate	sofort	imediat	ADV	ADJ;INDF;FEM;PL
sofort	instant	sofort	instant	ADV	
wissenschaft	ştiinţe	wissenschaft	ştiinţe		N;INDF;FEM;PL
wissenschaft	știință	wissenschaft	știință		N;INDF;FEM;SG
wissenschaft	stiinta	wissenschaft	stiintă		N;DEF;FEM;SG
wissenschaft	stiinte	wissenschaft	stiinte		N;INDF;FEM;PL
wissenschaft	științe	wissenschaft	ști		N;INDF;FEM;PL
wissenschaft	ştiinţe	wissenschaft	ştiinţe		N;INDF;FEM;PL
gesetz	lege	gesetz	lege	N;NOM;NEUT;SG	N;INDF;FEM;SG
gesetz	legea	gesetz	lege	N;NOM;NEUT;SG	N;DEF;FEM;SG
gesetz	actul	gesetz	act	N;NOM;NEUT;SG	N;DEF;MASC;SG
gesetz	acționează	gesetz	acționa	N;NOM;NEUT;SG	V;IND;3;PRS;FIN
journalist	reporterul	journalist	reporter	ADJ	N;DEF;MASC;SG
journalist	reporter	journalist	reporter	ADJ	N;INDF;MASC;SG
journalist	ziaristă	journalist	ziaristă	ADJ	N;INDF;FEM;SG
journalist	jurnalistul	journalist	jurnalist	ADJ	N;DEF;MASC;SG
journalist	jurnalist	journalist	jurnalist	ADJ	N;INDF;MASC;SG
journalist	ziarist	journalist	ziarist	ADJ	N;INDF;MASC;SG
moskau	moscova	moskau	moscova	PROPN;NOM;MASC;SG	PROPN
moskau	moscovei	moskau	moscovă	PROPN;NOM;MASC;SG	PROPN;DEF;FEM;SG
hamburger	hamburgeri	hamburger	hamburgere	PROPN	N;INDF;FEM;PL
hamburger	hamburger	hamburger	hamburger	PROPN	N;INDF;MASC;SG
hamburger	hamburgeri	hamburger	hamburgere	PROPN	N;INDF;FEM;PL
edit	editare	edit	editare		N;INDF;FEM;SG
edit	editează	edit	edita		V;IND;3;PRS;FIN
verfügt	posedă	verfügen	poseda	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PST;FIN
stimme	vot	stimmen	vot	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
stimme	votez	stimmen	vota	V;IND;SG;3;PRS;FIN	V;IND;SG;1;PRS;FIN
stimme	votati	stimmen	votati	V;IND;SG;3;PRS;FIN	V;IND;PL;2;PRS;FIN
stimme	glas	stimmen	glas	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
stimme	voice	stimmen	voic	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
stimme	voce	stimmen	voce	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
stimme	vocea	stimmen	voce	V;IND;SG;3;PRS;FIN	N;DEF;FEM;SG
aufnahme	înregistrare	aufnehmen	înregistrare		N;INDF;FEM;SG
aufnahme	înregistrarea	aufnehmen	înregistrare		N;DEF;FEM;SG
aufnahme	admiterea	aufnehmen	admitere		N;DEF;FEM;SG
aufnahme	internare	aufnehmen	internare		N;INDF;FEM;SG
aufnahme	admitere	aufnehmen	admitere		N;INDF;FEM;SG
aufnahme	incluziunea	aufnehmen	incluziune		N;DEF;FEM;SG
aufnahme	incluziune	aufnehmen	incluziune		N;INDF;FEM;SG
aufnahme	includere	aufnehmen	includere		N;INDF;FEM;SG
aufnahme	includerea	aufnehmen	includere		N;DEF;FEM;SG
veröffentlichung	publică	veröffentlichung	publica	ADJ	V;IND;SG;3;PST;FIN
veröffentlichung	publica	veröffentlichung	publica	ADJ	V;IND;SG;3;IPFV;FIN
veröffentlichung	publicare	veröffentlichung	publicare	ADJ	N;INDF;FEM;SG
veröffentlichung	publicarea	veröffentlichung	publicare	ADJ	N;DEF;FEM;SG
veröffentlichung	publicare	veröffentlichung	publicare	ADJ	N;INDF;FEM;SG
veröffentlichung	publicarea	veröffentlichung	publicare	ADJ	N;DEF;FEM;SG
ziemlich	frumusica	ziemlich	frumusica	ADV	ADJ;DEF;FEM;SG
zahlen	cifre	zahlen	cifră	V;NFIN	N;INDF;FEM;PL
zahlen	figuri	zahlen	figură	V;NFIN	N;INDF;FEM;PL
zahlen	cifrele	zahlen	cifre	V;NFIN	N;DEF;FEM;PL
zahlen	numerele	zahlen	număr	V;NFIN	N;DEF;FEM;PL
zahlen	numere	zahlen	număr	V;NFIN	N;INDF;FEM;PL
galerie	galerie	galerie	galerie	N;NOM;FEM;SG	N;INDF;FEM;SG
galerie	galeria	galerie	galerie	N;NOM;FEM;SG	N;DEF;FEM;SG
verlassen	pustie	verlassen	pustiu	V;NFIN	N;INDF;FEM;SG
verlassen	dezertat	verlassen	dezerta	V;NFIN	ADJ;INDF;MASC;SG
verlassen	abandonat	verlassen	abandona	V;NFIN	ADJ;INDF;MASC;SG
verlassen	abandonata	verlassen	abandonat	V;NFIN	ADJ;DEF;FEM;SG
verlassen	abandonate	verlassen	abandona	V;NFIN	ADJ;INDF;FEM;PL
verlassen	abandonată	verlassen	abandonat	V;NFIN	ADJ;INDF;FEM;SG
verlassen	plecarea	verlassen	plecare	V;NFIN	N;DEF;FEM;SG
verlassen	ieşirea	verlassen	ieșire	V;NFIN	N;DEF;FEM;SG
verlassen	ieşire	verlassen	ieşire	V;NFIN	N;INDF;FEM;SG
verlassen	ieșire	verlassen	ieșire	V;NFIN	N;INDF;FEM;SG
verlassen	iesire	verlassen	iesire	V;NFIN	N;INDF;FEM;SG
aufbau	caroserie	aufbau	caroserie		N;INDF;FEM;SG
aufbau	structură	aufbau	structură		N;INDF;FEM;SG
aufbau	structura	aufbau	structură		N;DEF;FEM;SG
aufbau	structurii	aufbau	structură		N;DEF;FEM;SG
öffentliche	public	öffentlich	public	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
öffentliche	publică	öffentlich	publica	ADJ;NOM;FEM;PL	V;IND;SG;3;PST;FIN
black	neagră	black	negru	PROPN	ADJ;INDF;FEM;SG
black	negru	black	negru	PROPN	ADJ;INDF;MASC;SG
black	neagra	black	negru	PROPN	ADJ;DEF;FEM;SG
black	black	black	black	PROPN	N;INDF;MASC;SG
aufgaben	îndatoriri	aufgeben	îndatorire	V;NFIN	N;INDF;FEM;PL
aufgaben	atribuții	aufgeben	atribuție	V;NFIN	N;INDF;FEM;PL
aufgaben	sarcini	aufgeben	sarcină	V;NFIN	N;INDF;FEM;PL
aufgaben	sarcinile	aufgeben	sarcină	V;NFIN	N;DEF;FEM;PL
aufgaben	misiuni	aufgeben	misiune	V;NFIN	N;INDF;FEM;PL
aufgaben	misiunile	aufgeben	misiune	V;NFIN	N;DEF;FEM;PL
aufgaben	roluri	aufgeben	rol	V;NFIN	N;INDF;FEM;PL
aufgaben	rolurile	aufgeben	rol	V;NFIN	N;DEF;FEM;PL
wesentlich	esențial	wesentlich	esențial	ADJ	ADV
fehler	erorile	fehler	eroare	ADJ	N;DEF;FEM;PL
fehler	erori	fehler	eroare	ADJ	N;INDF;FEM;PL
fehler	gândaci	fehler	gândac	ADJ	N;INDF;MASC;PL
fehler	insecte	fehler	insect	ADJ	N;INDF;FEM;PL
fehler	bugs	fehler	bugs	ADJ	PROPN
fehler	greșeli	fehler	greșeală	ADJ	N;INDF;FEM;PL
fehler	greseli	fehler	greseală	ADJ	N;INDF;FEM;PL
fehler	eroare	fehler	eroare	ADJ	N;INDF;FEM;SG
fehler	bug	fehler	bug	ADJ	N;INDF;MASC;SG
fehler	gândac	fehler	gândac	ADJ	N;INDF;MASC;SG
fehler	greseala	fehler	greseală	ADJ	N;DEF;FEM;SG
fehler	greșeală	fehler	greșeală	ADJ	N;INDF;FEM;SG
filme	pelicule	filmen	pelicul		N;INDF;FEM;PL
filme	filme	filmen	film		N;INDF;FEM;PL
filme	filme	filmen	film		N;INDF;FEM;PL
filme	filmele	filmen	filme		N;DEF;FEM;PL
stadion	stadium	stadion	stadium	N;NOM;NEUT;SG	PROPN
stadion	stadionul	stadion	stadion	N;NOM;NEUT;SG	N;DEF;MASC;SG
moderne	modernitate	modern	modernitate	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
moderne	moderni	modern	modern	ADJ;NOM;FEM;SG	ADJ;INDF;MASC;PL
moderne	moderna	modern	moderna	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
moderne	moderne	modern	modern	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
moderne	modernă	modern	modern	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;SG
moderne	modernism	modern	modernism	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
bekommen	obținerea	bekommen	obținere	V;NFIN	N;DEF;FEM;SG
bekommen	obtinerea	bekommen	obtinere	V;NFIN	N;DEF;FEM;SG
bekommen	ia	bekommen	lua	V;NFIN	
edition	ediția	edition	ediție	PROPN	N;DEF;FEM;SG
edition	ediţie	edition	ediţie	PROPN	N;INDF;FEM;SG
edition	editie	edition	editie	PROPN	N;INDF;FEM;SG
edition	ediție	edition	ediție	PROPN	N;INDF;FEM;SG
edition	ediţia	edition	edigie	PROPN	N;DEF;FEM;SG
basel	basel	basel	basel	PROPN;NOM;SG	PROPN
org	org	org	org	;SG	
sur	sur	sur	sur	PROPN	N;INDF;MASC;SG
wagen	vagoane	wagen	vagon		N;INDF;FEM;PL
wagen	cărucior	wagen	cărucior		N;INDF;MASC;SG
wagen	maşină	wagen	maşină		N;INDF;FEM;SG
wagen	mașină	wagen	mașină		N;INDF;FEM;SG
wagen	maşina	wagen	mașină		N;DEF;FEM;SG
wagen	mașina	wagen	mașină		N;DEF;FEM;SG
wagen	masina	wagen	masină		N;DEF;FEM;SG
situation	situatie	situation	situatie	ADJ	N;INDF;FEM;SG
situation	situația	situation	situație	ADJ	N;DEF;FEM;SG
situation	situaţia	situation	situaţia	ADJ	N;DEF;FEM;SG
situation	situație	situation	situație	ADJ	N;INDF;FEM;SG
unmittelbar	imediat	unmittelbar	imediat	ADJ	ADV
unmittelbar	direct	unmittelbar	direct	ADJ	ADV
wichtig	important	wichtig	important	ADJ	ADV
leistung	performanțe	leistung	performanță	N;NOM;FEM;SG	N;INDF;FEM;PL
leistung	performanta	leistung	performant	N;NOM;FEM;SG	N;DEF;FEM;SG
leistung	performanța	leistung	performanță	N;NOM;FEM;SG	N;DEF;FEM;SG
leistung	performanță	leistung	performanță	N;NOM;FEM;SG	N;INDF;FEM;SG
leistung	realizare	leistung	realizare	N;NOM;FEM;SG	N;INDF;FEM;SG
leistung	putere	leistung	putere	N;NOM;FEM;SG	N;INDF;FEM;SG
leistung	puterea	leistung	putere	N;NOM;FEM;SG	N;DEF;FEM;SG
handbuch	manuale	handbuch	manual		N;INDF;FEM;PL
handbuch	manuală	handbuch	manual		ADJ;INDF;FEM;SG
handbuch	manual	handbuch	manual		N;INDF;MASC;SG
handbuch	manualul	handbuch	manual		N;DEF;MASC;SG
gespielt	jucate	spielen	juca	V;V.PTCP	ADJ;INDF;FEM;PL
gespielt	jucat	spielen	juca	V;V.PTCP	ADJ;INDF;MASC;SG
motor	motor	motor	motor	PROPN;SG	N;INDF;MASC;SG
motor	motorul	motor	motor	PROPN;SG	N;DEF;MASC;SG
motor	motor	motor	motor	PROPN;SG	N;INDF;MASC;SG
dieter	dieter	diet	dieter		PROPN
texte	texte	texen	text	ADV	N;INDF;FEM;PL
texte	versuri	texen	vers	ADV	N;INDF;FEM;PL
texte	versurile	texen	vers	ADV	N;DEF;FEM;PL
texte	text	texen	text	ADV	N;INDF;MASC;SG
texte	textul	texen	text	ADV	N;DEF;MASC;SG
gott	doamne	gott	domn	N;NOM;MASC;SG	
gott	dumnezeu	gott	dumnezeu	N;NOM;MASC;SG	PROPN
jüdischen	evreică	jüdisch	evreic	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
jüdischen	evreu	jüdisch	evreu	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
rat	rat	rat	rat	N	
gesetzt	setată	setzen	seta	V;V.PTCP	ADJ;INDF;FEM;SG
gesetzt	set	setzen	set	V;V.PTCP	N;INDF;MASC;SG
gesetzt	setat	setzen	setat	V;V.PTCP	ADJ;INDF;MASC;SG
unabhängig	independent	unabhängig	independent	ADJ	ADV
unabhängig	independenta	unabhängig	independent	ADJ	N;DEF;FEM;SG
unabhängig	independent	unabhängig	independent	ADJ	ADV
unabhängig	neafiliați	unabhängig	neafiliat	ADJ	V;IND;PL;2;IPFV;FIN
villa	conac	villa	conac		N;INDF;MASC;SG
villa	conacul	villa	conac		N;DEF;MASC;SG
villa	vilă	villa	vilă		N;INDF;FEM;SG
villa	vila	villa	vilă		N;DEF;FEM;SG
villa	villa	villa	villa		N;DEF;FEM;SG
dichter	poet	dicht	poet	ADJ	N;INDF;MASC;SG
dichter	poetul	dicht	poet	ADJ	N;DEF;MASC;SG
helmut	helmut	helmut	helmut	PROPN;NOM;MASC;SG	PROPN
nationalen	națională	national	național	ADJ;NOM	ADJ;INDF;FEM;SG
nationalen	nationala	national	national	ADJ;NOM	N;DEF;FEM;SG
beschäftigt	angajat	beschäftigen	angaja	V;V.PTCP	ADJ;INDF;MASC;SG
beschäftigt	ocupat	beschäftigen	ocupa	V;V.PTCP	ADJ;INDF;MASC;SG
beschäftigt	ocupate	beschäftigen	ocupat	V;V.PTCP	ADJ;INDF;FEM;PL
beschäftigt	ocupata	beschäftigen	ocupata	V;V.PTCP	ADJ;DEF;FEM;SG
beschäftigt	ocupată	beschäftigen	ocupa	V;V.PTCP	ADJ;INDF;FEM;SG
beschäftigt	ocupat	beschäftigen	ocupa	V;V.PTCP	ADJ;INDF;MASC;SG
beschäftigt	ocupate	beschäftigen	ocupat	V;V.PTCP	ADJ;INDF;FEM;PL
beschäftigt	ocupată	beschäftigen	ocupa	V;V.PTCP	ADJ;INDF;FEM;SG
beschäftigt	preocupat	beschäftigen	preocupa	V;V.PTCP	ADJ;INDF;MASC;SG
beschäftigt	preocupată	beschäftigen	preocupat	V;V.PTCP	ADJ;INDF;FEM;SG
hergestellt	produs	herstellen	produs	V;V.PTCP	N;INDF;MASC;SG
hergestellt	fabricate	herstellen	fabrica	V;V.PTCP	ADJ;INDF;FEM;PL
hergestellt	fabricat	herstellen	fabrica	V;V.PTCP	ADJ;INDF;MASC;SG
hergestellt	fabricată	herstellen	fabrica	V;V.PTCP	ADJ;INDF;FEM;SG
hergestellt	făcute	herstellen	făcut	V;V.PTCP	ADJ;INDF;FEM;PL
hergestellt	made	herstellen	made	V;V.PTCP	
hergestellt	făcută	herstellen	făcut	V;V.PTCP	ADJ;INDF;FEM;SG
hergestellt	fabricate	herstellen	fabrica	V;V.PTCP	ADJ;INDF;FEM;PL
