年	évi	年	évi	N	
花園	garden	花園	garden	N	
玄	hyun	玄	hyun	PROPN	
實驗	kísérleti	實驗	kísérleti	N	
課程	persze	課程	persze	N	
估計	becslés	估計	becslés	V	N;NOM;SG
估計	becslések	估計	becslés	V	N;NOM;PL
估計	becslés	估計	becslés	V	N;NOM;SG
估計	becslési	估計	becslési	V	ADJ;NOM;SG
估計	becslés	估計	becslés	V	N;NOM;SG
箱	box	箱	box	N	
箱	rovat	箱	rovat	N	
規劃	tervezés	規劃	tervezés	V	N;NOM;SG
配置	konfigurációs	配置	konfigurációs	N	ADJ;NOM;SG
後衛	védő	後衛	védő	N	ADJ;NOM;SG
後衛	védelmező	後衛	védelmező	N	ADJ;NOM;SG
國內	belföldön	國內	belföld	N	
國內	hazai	國內	hazai	N	ADJ;NOM;SG
國內	belföldi	國內	belföldi	N	
柴	chai	柴	chai	N	
尤其	különösen	尤其	különös	ADV	ADJ;FRML;SG
尤其	főleg	尤其	főleg	ADV	
十字	cross	十字	cross	N	
十字	keresztbe	十字	keresztbe	N	
信仰	faith	信仰	faith	N	
反應	reagálni	反應	reagál	N	V;NFIN;ACT
卒	gyalog	卒	gyalog	N	
本地	helyileg	本地	helyi	N	
本地	helyi	本地	helyi	N	
案件	case	案件	case	N	
銷售	eladási	銷售	eladási	V	ADJ;NOM;SG
銷售	eladás	銷售	eladás	V	
銷售	eladások	銷售	eladás	V	N;NOM;PL
銷售	eladás	銷售	eladás	V	
銷售	értékesítés	銷售	értékesítés	V	N;NOM;SG
銷售	értékesítési	銷售	értékesítési	V	ADJ;NOM;SG
銷售	vásár	銷售	vásár	V	N;NOM;SG
銷售	eladó	銷售	eladó	V	ADJ;NOM;SG
銷售	értékesítés	銷售	értékesítés	V	N;NOM;SG
銷售	eladás	銷售	eladás	V	
旅行	utazó	旅行	utazó	N	
旅行	utazni	旅行	utazik	N	V;NFIN;ACT
旅行	utazik	旅行	utazik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
旅行	utazó	旅行	utazó	N	
旅行	trip	旅行	trip	N	
小	kisasszony	小	kisasszony	PART	N;NOM;SG
多	többszörös	多	többszörös	NUM	N;NOM;SG
多	többszörösen	多	többszörös	NUM	ADJ;FRML;SG
靖	jing	靖	jing	PROPN	
波斯	perzsa	波斯	perzsa	PROPN	N;NOM;SG
退休	nyugdíjba	退休	nyugdíj	V	N;IN+ALL;SG
退休	nyugdíj	退休	nyugdíj	V	N;NOM;SG
退休	nyugdíjas	退休	nyugdíjas	V	ADJ;NOM;SG
退休	nyugdíjas	退休	nyugdíjas	V	ADJ;NOM;SG
路易	louis	路易	louis	PROPN	
路易	lajos	路易	lajos	PROPN	
冬季	téli	冬季	téli	N	
冬季	télen	冬季	tél	N	
捷運	metro	捷運	metro	N	
棋	sakk	棋	sakk	PROPN	N;NOM;SG
久	hosszú	久	hosszú	N	
逮捕	letartóztatás	逮捕	letartóztatás	V	N;NOM;SG
逮捕	letartóztatások	逮捕	letartóztatás	V	N;NOM;PL
逮捕	letartóztatás	逮捕	letartóztatás	V	N;NOM;SG
英里	miles	英里	miles	N	
心理	szellemi	心理	szellemi	N	
生成	generáló	生成	generáló	V	ADJ;NOM;SG
生成	keletkező	生成	keletkező	V	
每個	minden	每個	minden	DET	PRO;NOM;SG;3
每個	mindegyik	每個	mindegyik	DET	
失敗	kudarc	失敗	kudarc		N;NOM;SG
失敗	elbukott	失敗	elbukott		V;INDF;IND;SG;3;PST;FIN;ACT
失敗	meghibásodás	失敗	meghibásodás		N;NOM;SG
失敗	bukás	失敗	bukás		N;NOM;SG
失敗	kudarc	失敗	kudarc		N;NOM;SG
嘴	szád	嘴	szád	N	V;DEF;IND;SG;1;PRS;FIN;ACT
捷克	csehország	捷克	csehország	PROPN	
捷克	cseh	捷克	cseh	PROPN	ADJ;NOM;SG
馬來西亞	malajzia	馬來西亞	malajzia	PROPN	
馬來西亞	malajziai	馬來西亞	malajziai	PROPN	ADJ;NOM;SG
協議	egyetértés	協議	egyetértés	N	
協議	megegyezés	協議	megegyezés	N	
協議	egyezség	協議	egyezség	N	
郎	lang	郎	lang	N	
四	april	四	ap	NUM	
四	április	四	április	NUM	N;NOM;SG
四	áprilisi	四	áprilisi	NUM	ADJ;NOM;SG
四	áprilisban	四	április	NUM	N;IN+ESS;SG
條件	feltételes	條件	feltételes	N	
蘇格蘭	skócia	蘇格蘭	skócia	PROPN	N;NOM;SG
印尼	indonéz	印尼	indonéz	PROPN	
印尼	indonézia	印尼	indonézia	PROPN	
下降	csökkenés	下降	csökkenés	V	N;NOM;SG
下降	visszaesés	下降	visszaesés	V	N;NOM;SG
下降	csepp	下降	csepp	V	N;NOM;SG
戲劇	drama	戲劇	drama	N	
創建	létrehozása	創建	létrehozás	V	N;NOM;SG
創建	létrehozása	創建	létrehozás	V	N;NOM;SG
創建	alkotás	創建	alkotás	V	N;NOM;SG
創建	teremtés	創建	teremtés	V	N;NOM;SG
創建	létrehozása	創建	létrehozás	V	N;NOM;SG
創建	létrehozva	創建	létrehozva	V	N;NOM;SG
牙	fog	牙	fog	N	V;INDF;IND;SG;3;PRS;ACT
吃	evés	吃	evés	V	N;NOM;SG
吃	enni	吃	ez	V	
可	megbízható	可	megbízható	V	ADJ;NOM;SG
可	megbízhatóak	可	meg+bízikó	V	ADJ;NOM;PL
強烈	erős	強烈	erős	ADJ	
強烈	erősek	強烈	erős	ADJ	N;NOM;PL
芝加哥	chicagóban	芝加哥	chicagó	PROPN	N;IN+ESS;SG
芝加哥	chicagói	芝加哥	chicagó	PROPN	N;NOM;SG
芝加哥	chicago	芝加哥	chicago	PROPN	
運作	működése	運作	működés	V	N;NOM;SG
運作	működés	運作	működés	V	N;NOM;SG
運作	működőképes	運作	működőképes	V	N;NOM;SG
女人	nö	女人	nö	N	
滕	teng	滕	teng	PROPN	
華	kínai	華	kínai	PROPN	
華	kínaiak	華	kínai	PROPN	N;NOM;PL
繼承	öröklési	繼承	öröklési	V	ADJ;NOM;SG
繼承	örökség	繼承	örökség	V	N;NOM;SG
資源	erőforrás	資源	erőforrás	N	
資源	erőforrás	資源	erőforrás	N	
平面	lapos	平面	lapos	N	
平面	sík	平面	sík	N	
平面	sík	平面	sík	N	
平面	repülő	平面	repülő	N	
乾	szárazon	乾	száraz	N	
乾	száraz	乾	száraz	N	
蔣	chiang	蔣	chiang	PROPN	
房屋	house	房屋	hous	N	
房屋	házon	房屋	ház	N	ADJ;FRML;SG
共識	egyetértés	共識	egyetértés	N	
基金	alap	基金	alap	N	
經紀	közvetítő	經紀	közvetítő	N	ADJ;NOM;SG
五十	ötven	五十	ötven	NUM	
五十	fifty	五十	fifty	NUM	
堅	caine	堅	caine	ADP	N;NOM;SG
合約	szerződés	合約	szerződés	N	
平原	sima	平原	sima	N	
證明	bizonyíték	證明	bizonyíték	V	N;NOM;SG
證明	bizonyítás	證明	bizonyítás	V	N;NOM;SG
佔領	foglalkozása	佔領	foglalkozás	V	N;NOM;SG
佔領	megszállás	佔領	megszállás	V	N;NOM;SG
佔領	foglalkozás	佔領	foglalkozás	V	N;NOM;SG
領導	vezetői	領導	vezető	V	N;NOM;PL
領導	vezetés	領導	vezetés	V	N;NOM;SG
蓮	lótusz	蓮	lótusz	PROPN	N;NOM;SG
蓮	lian	蓮	lian	PROPN	
幸福	boldog	幸福	boldog	N	
靜	jing	靜	jing	N	
引入	bevezetése	引入	bevezetés	V	N;NOM;SG
貝爾	csengő	貝爾	csengő	PROPN	
貝爾	bell	貝爾	bell	PROPN	
貝爾	harang	貝爾	harang	PROPN	N;NOM;SG
城堡	vár	城堡	vár	N	V;INDF;IND;SG;3;PRS;FIN;ACT
城堡	castle	城堡	castle	N	
奧運	olimpiai	奧運	olimpiai	PROPN	ADJ;NOM;SG
奧運	olimpia	奧運	olimpia	PROPN	N;NOM;SG
泰國	thaiföld	泰國	thaiföld	PROPN	
泰國	thaiföldi	泰國	thaiföldi	PROPN	
凌	ling	凌	ling	PROPN	
凌	kos	凌	kos	PROPN	N;NOM;SG
凌	ram	凌	ram	PROPN	N;NOM;SG
壽	shou	壽	shou	N	
吻	kiss	吻	kiss	N	
廟	temple	廟	temple	N	
阿拉伯	arábia	阿拉伯	arabia	PROPN	N;NOM;SG
阿拉伯	arab	阿拉伯	arab	PROPN	
腳	gyalog	腳	gyalog	N	
生存	túlélés	生存	túlélés	V	N;NOM;SG
棒	nagyszerű	棒	nagyszerű	N	
基	alapú	基	alapú	V	
年輕	fiatalok	年輕	fiatal	ADJ	N;NOM;PL
年輕	fiatal	年輕	fiatal	ADJ	
藤	szőlő	藤	szőlő	PROPN	N;NOM;SG
藤	vine	藤	vine	PROPN	
早上	reggel	早上	reggel	N	
評論	hozzászólás	評論	hozzászólás	V	
評論	megjegyzés	評論	megjegyzés	V	N;NOM;SG
評論	megjegyzések	評論	megjegyzés	V	N;NOM;PL
評論	hozzászólás	評論	hozzászólás	V	
評論	megjegyzés	評論	megjegyzés	V	N;NOM;SG
評論	hozzászólások	評論	hozzászólás	V	N;NOM;PL
評論	észrevételek	評論	észrevétel	V	N;NOM;PL
主張	advocate	主張	advocat	V	N;NOM;SG
承認	megjelenítés	承認	megjelenítés	V	N;NOM;SG
承認	elismerés	承認	elismerés	V	N;NOM;SG
承認	felismerés	承認	felismerés	V	N;NOM;SG
汀	ting	汀	ting	PROPN	
廣泛	széleskörű	廣泛	széleskörű	ADV	ADJ;NOM;SG
廣泛	kiterjedt	廣泛	kiterjedik	ADV	V;INDF;IND;SG;3;PST;FIN;ACT
嶺	ridge	嶺	ridge	N	
更	módosítható	更	módosítható	ADV	ADJ;NOM;SG
更	módosítani	更	módosít	ADV	V;NFIN;ACT
更	módosítás	更	módosítás	ADV	N;NOM;SG
更	módosítások	更	módosítás	ADV	N;NOM;PL
更	változtatások	更	változtatás	ADV	N;NOM;PL
更	változás	更	változás	ADV	N;NOM;SG
更	változások	更	változás	ADV	N;NOM;PL
更	változtatás	更	változtatás	ADV	N;NOM;SG
更	változás	更	változás	ADV	N;NOM;SG
更	változtatás	更	változtatás	ADV	N;NOM;SG
更	megváltozott	更	megváltozott	ADV	V;INDF;IND;SG;3;PST;FIN;ACT
更	változások	更	változás	ADV	N;NOM;PL
派遣	diszpécser	派遣	diszpécser	V	N;NOM;SG
泥	clay	泥	clay	N	
葵	kwai	葵	kwai	PROPN	N;NOM;SG
葵	aoi	葵	aoi	PROPN	
研究	posztgraduális	研究	posztgraduális	V	N;NOM;SG
研究	diplomás	研究	diplomás	V	N;NOM;SG
研究	végzős	研究	végzős	V	N;NOM;SG
訪問	látogatás	訪問	látogatás	V	N;NOM;SG
訪問	látogatás	訪問	látogatás	V	N;NOM;SG
訪問	látogatások	訪問	látogatás	V	N;NOM;PL
儘管	habár	儘管	habár	ADP	CONJ
儘管	bár	儘管	bár	ADP	CONJ
霞	xia	霞	xia	PROPN	
伊拉克	irak	伊拉克	irak	PROPN	N;NOM;SG
伊拉克	iraki	伊拉克	iraki	PROPN	N;NOM;SG
奧林匹克	olimpiai	奧林匹克	olimpiai	PROPN	ADJ;NOM;SG
最低	legalacsonyabb	最低	legalsony	ADJ	ADV
衛星	műholdas	衛星	műholdas	N	
海上	tengeren	海上	tenger	N	
海上	tengeri	海上	tengeri	N	
正面	pozitívak	正面	pozitív	N	ADJ;NOM;PL
正面	pozitív	正面	pozitív	N	ADJ;NOM;SG
愛情	love	愛情	love	N	
粗	durván	粗	durván	PART	
粗	durva	粗	durva	PART	
粗	kemény	粗	kemény	PART	
放送	műsorszolgáltatás	放送	műsorszolgáltatás	V	N;NOM;SG
理想	ideális	理想	ideális	N	ADJ;NOM;SG
桃	barack	桃	barack	N	
農業	mezőgazdasági	農業	mezőgazdasági	N	
農業	mezőgazdasági	農業	mezőgazdasági	N	
活	live	活	live	N	
活	élni	活	él	N	V;NFIN;ACT
活	élő	活	élő	N	
舞蹈	dance	舞蹈	dance	N	
舞蹈	táncolj	舞蹈	táncol	N	V;DEF;IND;SG;3;PRS;FIN;ACT
舞蹈	táncolni	舞蹈	táncol	N	V;NFIN;ACT
舞蹈	táncolni	舞蹈	táncol	N	V;NFIN;ACT
舞蹈	táncol	舞蹈	táncol	N	V;INDF;IND;SG;3;PRS;FIN;ACT
誠	makoto	誠	makoto	N	
丸	maru	丸	maru	N	
丸	tabletták	丸	tablet	N	V;DEF;IND;PL;3;PST;FIN;ACT
衝突	clash	衝突	clash	N	
湖泊	tavi	湖泊	tavi	N	
確認	megerősítve	確認	megerősítve	V	ADV;V.CVB
確認	megerősítés	確認	megerősítés	V	N;NOM;SG
確認	megerősítést	確認	megerősítés	V	N;ACC;SG
確認	megerősítése	確認	megerősítés	V	N;NOM;SG
確認	megerősítés	確認	megerősítés	V	N;NOM;SG
確認	megerősítése	確認	megerősítés	V	N;NOM;SG
確認	megerősítve	確認	megerősítve	V	ADV;V.CVB
簡	jane	簡	jane	PROPN	
調整	kiigazítás	調整	kiigazítás	V	N;NOM;SG
調整	kiigazítás	調整	kiigazítás	V	N;NOM;SG
崖	cliff	崖	cliff	N	
勳	hoon	勳	hoon	N	
冷	hidegen	冷	hideg		N;ON+ESS;SG
最新	legújabb	最新	legújabb	ADV	ADJ;NOM;RL;SG
最新	legújabb	最新	legújabb	ADV	ADJ;NOM;RL;SG
最新	legutóbbi	最新	legutóbbi	ADV	
最新	legfrissebb	最新	fons	ADV	ADJ;NOM;RL;SG
祿	loc	祿	loc	PROPN	
祿	roku	祿	roku	PROPN	PROPN;NOM;SG
接收	átvevő	接收	átvevő	V	ADJ;NOM;SG
接收	fogadás	接收	fogadás	V	N;NOM;SG
接收	recepció	接收	recepció	V	
接收	befogadás	接收	befogadás	V	N;NOM;SG
接收	vétel	接收	vétel	V	N;NOM;SG
常見	közös	常見	közös	V	
常見	gyakori	常見	gyakori	V	
愛爾蘭	írek	愛爾蘭	ír	PROPN	N;NOM;PL
愛爾蘭	írország	愛爾蘭	írország	PROPN	N;NOM;SG
愛爾蘭	ír	愛爾蘭	ír	PROPN	V;INDF;IND;SG;3;PRS;FIN;ACT
愛爾蘭	írország	愛爾蘭	írország	PROPN	N;NOM;SG
第九	kilencedik	第九	kilencedik	NUM	ADJ;NOM;SG
通知	bejelentések	通知	bejelentés	V	N;NOM;PL
通知	értesítések	通知	értesítés	V	N;NOM;PL
通知	hirdetmény	通知	hirdetmény	V	
通知	értesítés	通知	értesítés	V	N;NOM;SG
通知	közlemény	通知	közlemény	V	N;NOM;SG
通知	észre	通知	ész	V	N;ON+ALL;SG
通知	értesítés	通知	értesítés	V	N;NOM;SG
通知	bejelentés	通知	bejelentés	V	N;NOM;SG
通知	értesítést	通知	értesítés	V	N;ACC;SG
通知	értesítések	通知	értesítés	V	N;NOM;PL
鼓	dob	鼓	dob	N	V;INDF;IND;SG;3;PRS;FIN;ACT
鼓	dob	鼓	dob	N	V;INDF;IND;SG;3;PRS;FIN;ACT
裝甲	páncélozott	裝甲	páncélozott	N	V;INDF;IND;SG;3;PST;FIN;ACT
裝甲	páncélozott	裝甲	páncélozott	N	V;INDF;IND;SG;3;PST;FIN;ACT
惡	gonosz	惡	gonosz	N	
拉丁	latin	拉丁	latin	PROPN	
拉丁	latinul	拉丁	latinul	PROPN	
邵	shao	邵	shao	PROPN	N;NOM;SG
邵	shaw	邵	shaw	PROPN	
上升	emelkedés	上升	emelkedés	V	N;NOM;SG
上升	emelkedő	上升	emelkedő	V	ADJ;NOM;SG
布朗	brown	布朗	brown	PROPN	
布朗	barna	布朗	bar	PROPN	
黃金	golden	黃金	golden	N	
黃金	arany	黃金	arany	N	
黃金	arany	黃金	arany	N	
醫學	orvosi	醫學	orvosi	N	ADJ;NOM;SG
到	érkezés	到	érkezés	V	
山口	yamaguchi	山口	yamaguchi	N	
山口	col	山口	col	N	
紅色	piros	紅色	piros	N	
紅色	piroska	紅色	piroska	N	
紅色	vörös	紅色	vörös	N	
商人	kereskedő	商人	kereskedő	N	
商人	üzletember	商人	üzletember	N	
成	eredmények	成	eredmény	V	N;NOM;PL
十月	októberi	十月	októberi		ADJ;NOM;SG
十月	októberben	十月	október		N;IN+ESS;SG
十月	október	十月	október		N;NOM;SG
金屬	metál	金屬	metál	N	
金屬	metal	金屬	metal	N	
金屬	fém	金屬	fém	N	
金屬	fémes	金屬	fémes	N	
金屬	fém	金屬	fém	N	
改編	alkalmazkodás	改編	alkalmazkodás	V	N;NOM;SG
收購	beszerzés	收購	beszerzés	V	N;NOM;SG
收購	átvétel	收購	átvétel	V	N;NOM;SG
收購	felvásárlás	收購	felvásárlás	V	N;NOM;SG
安裝	telepítés	安裝	telepítés	V	N;NOM;SG
安裝	létesítmény	安裝	létesítmény	V	N;NOM;SG
安裝	telepítések	安裝	telepítés	V	N;NOM;PL
安裝	telepítés	安裝	telepítés	V	N;NOM;SG
安裝	telepítése	安裝	telepítés	V	N;NOM;SG
安裝	telepítve	安裝	telepítve	V	N;NOM;SG
安裝	telepítés	安裝	telepítés	V	N;NOM;SG
安裝	telepítése	安裝	telepítés	V	N;NOM;SG
大街	avenue	大街	aven	N	
糖	cukorka	糖	cukorka	N	
糖	candy	糖	candy	N	
動作	akció	動作	akció	N	
動作	mozog	動作	mozog	N	V;INDF;IND;SG;3;PRS;FIN;ACT
匯	elsüllyed	匯	el+sülyyed	PROPN	V;INDF;IND;SG;3;PRS;FIN;ACT
分裂	osztva	分裂	osztva	N	ADV;V.CVB
分裂	megosztott	分裂	megosztott	N	V;INDF;IND;SG;3;PST;FIN;ACT
分裂	megosztva	分裂	megosztva	N	ADV;V.CVB
分裂	osztott	分裂	osztott	N	V;INDF;IND;SG;3;PST;FIN;ACT
隊伍	team	隊伍	team	N	
大多	legtöbb	大多	legtöbb	ADV	
大多	főleg	大多	főleg	ADV	
大多	főként	大多	főként	ADV	
大多	többnyire	大多	többnyir	ADV	
暴力	erőszakos	暴力	erőszakos	N	ADJ;NOM;SG
暴力	erőszakos	暴力	erőszakos	N	ADJ;NOM;SG
觀測	megfigyelési	觀測	megfigyelési	N	ADJ;NOM;SG
觀測	megfigyelni	觀測	megfigyel	N	V;NFIN;ACT
面對	néző	面對	néző	V	
實際	igazából	實際	igazából	N	ADV
農	nong	農	nong	N	
暗	sötét	暗	söt	N	
划	sor	划	sor	N	
壁	wall	壁	wall	N	
壁	falat	壁	fal	N	
粉	pink	粉	pink	N	
粉	rózsaszín	粉	rózsaszín	N	
粉	rózsaszínű	粉	rózsaszínű	N	
粉	port	粉	por	N	
預計	várható	預計	várható	V	ADJ;NOM;SG
預計	várható	預計	várható	V	ADJ;NOM;SG
補	kiegészítés	補	kiegészítés		N;NOM;SG
譚	tam	譚	tam	PROPN	
譚	tan	譚	tan	PROPN	
控股	gazdaságok	控股	gazdaság	V	N;NOM;PL
控股	holding	控股	holding	V	N;NOM;SG
團隊	team	團隊	team	N	
分支	branch	分支	branch	N	
拆除	bontás	拆除	bontás	V	N;NOM;SG
拆除	bontási	拆除	bontási	V	ADJ;NOM;SG
年份	évi	年份	évi	N	
免費	ingyenes	免費	ingyenes	N	
免費	ingyen	免費	ingyen	N	
免費	free	免費	free	N	
免費	szabad	免費	szabad	N	
大致	megközelítőleg	大致	megközelítőleg		ADJ;FRML;SG
大致	hozzávetőleges	大致	hozzávetőleges		N;NOM;SG
大致	hozzávetőlegesen	大致	hozzávetőleges		ADJ;FRML;SG
自	ego	自	ego	ADP	
任期	távú	任期	távú	N	
永久	állandó	永久	állandó	N	
永久	végleges	永久	végleges	N	
永久	tartós	永久	tartós	N	
永久	maradandó	永久	maradandó	N	
永久	tartósan	永久	tartós	N	ADJ;FRML;SG
永久	véglegesen	永久	végleges	N	ADJ;FRML;SG
分配	juttatás	分配	juttatás	V	N;NOM;SG
分配	elosztás	分配	elosztás	V	N;NOM;SG
分配	terjesztés	分配	terjesztés	V	N;NOM;SG
分配	eloszlás	分配	eloszlás	V	N;NOM;SG
分配	elosztás	分配	elosztás	V	N;NOM;SG
分配	forgalmazási	分配	forgalmazási	V	ADJ;NOM;SG
分配	elosztása	分配	elosztás	V	N;NOM;SG
分配	forgalmazás	分配	forgalmazás	V	N;NOM;SG
幻想	fantasy	幻想	fantasy	N	
幻想	fantázia	幻想	fantázia	N	
購買	beszerzés	購買	beszerzés	V	N;NOM;SG
購買	vásárlás	購買	vásárlás	V	N;NOM;SG
購買	vétel	購買	vétel	V	N;NOM;SG
購買	vásárlások	購買	vásárlás	V	N;NOM;PL
購買	vásárlás	購買	vásárlás	V	N;NOM;SG
購買	beszerzési	購買	beszerzési	V	ADJ;NOM;SG
購買	beszerzés	購買	beszerzés	V	N;NOM;SG
廉	lian	廉	lian	PROPN	
火星	marsi	火星	marsi	PROPN	N;NOM;SG
火星	marson	火星	marson	PROPN	N;NOM;SG
火星	mars	火星	mars	PROPN	
戀	koi	戀	koi	N	
在	együtt	在	együtt	V	
波特	potter	波特	potter	PROPN	N;NOM;SG
玻璃	glass	玻璃	glass	N	
三	háromszög	三	háromszög	NUM	
三	háromszög	三	háromszög	NUM	
結合	együttesen	結合	együttes	V	ADJ;FRML;SG
結合	együttes	結合	együttes	V	
斜	ferde	斜	ferde	N	
推動	push	推動	push	V	
港口	port	港口	por	N	
港口	harbour	港口	harbour	N	
穩定	stabilitási	穩定	stabilitási	N	ADJ;NOM;SG
穩定	stabilizációs	穩定	stabilizációs	N	ADJ;NOM;SG
穩定	állandósult	穩定	állandósul	N	V;INDF;IND;SG;3;PST;FIN;ACT
穩定	egyenletes	穩定	egyenletes	N	
穩定	stabil	穩定	stabil	N	ADJ;NOM;SG
法官	judge	法官	jud	N	
法官	bíró	法官	bíró	N	
古典	klasszikus	古典	klasszikus	N	
古典	klasszikus	古典	klasszikus	N	
古典	classic	古典	classic	N	
喬治	george	喬治	george	PROPN	
喬治	györgy	喬治	györgy	PROPN	N;NOM;SG
作曲	zeneszerzők	作曲	zeneszerző	V	N;NOM;PL
作曲	dalszerző	作曲	dalszerző	V	N;NOM;SG
作曲	zeneszerző	作曲	zeneszerző	V	N;NOM;SG
教宗	pápa	教宗	pápa	N	
教宗	pope	教宗	pope	N	
碼	yard	碼	yard	N	
碼	hajógyárak	碼	hajógyár	N	
顏	yan	顏	yan	PROPN	
慕尼黑	münchen	慕尼黑	münchen	PROPN	N;NOM;SG
感染	fertőzések	感染	fertőzés	V	N;NOM;PL
感染	fertőzés	感染	fertőzés	V	N;NOM;SG
感染	fertőzöttek	感染	fertőzött	V	N;NOM;PL
感染	fertőzések	感染	fertőzés	V	N;NOM;PL
感染	fertőzés	感染	fertőzés	V	N;NOM;SG
薄	vékony	薄	vékony	PART	
薄	sovány	薄	sovány	PART	
安娜	anna	安娜	az	PROPN	
安娜	annának	安娜	anna	PROPN	N;GEN;SG
原則	elv	原則	elv	N	
收集	gyűjtés	收集	gyűjtés	V	N;NOM;SG
收集	adatgyűjtés	收集	adatgyűjtés	V	N;NOM;SG
收集	gyűjtés	收集	gyűjtés	V	N;NOM;SG
收集	gyűjtemény	收集	gyűjtemény	V	N;NOM;SG
收集	kollekció	收集	kollekció	V	N;NOM;SG
簡單	szimpla	簡單	szimpla	ADJ	
簡單	könnyű	簡單	könnyű	ADJ	
潔	jie	潔	jie	PROPN	
化合	vegyületek	化合	vegyület	V	N;NOM;PL
化合	vegyület	化合	vegyület	V	N;NOM;SG
八	augusztusban	八	augusztus	NUM	N;IN+ESS;SG
八	august	八	augus	NUM	
八	augusztus	八	augusztus	NUM	N;NOM;SG
八	aug	八	aug	NUM	N;NOM;SG
法庭	court	法庭	cour	N	
貴	drága	貴	drága	N	
榮譽	megtiszteltetés	榮譽	megtiszteltetés	N	
榮譽	megtiszteltetés	榮譽	megtiszteltetés	N	
聞	szag	聞	szag		N;NOM;SG
聞	illat	聞	illat		N;NOM;SG
出售	eladás	出售	eladás	V	
出售	vásár	出售	vásár	V	N;NOM;SG
出售	eladó	出售	eladó	V	ADJ;NOM;SG
出售	értékesítés	出售	értékesítés	V	N;NOM;SG
出售	eladás	出售	eladás	V	
想要	akarsz	想要	akarsz		V;INDF;IND;SG;1;PRS;FIN;ACT
想要	akar	想要	akar		V;INDF;IND;SG;3;PRS;FIN;ACT
想要	akarod	想要	akarod		V;DEF;IND;SG;1;PRS;FIN;ACT
想要	akarom	想要	akarom		V;DEF;IND;SG;1;PRS;FIN;ACT
共產	kommunisták	共產	kommunista	V	N;NOM;PL
防止	megelőzése	防止	megelőzés	V	N;NOM;SG
淳	jun	淳	jun	PROPN	
三	március	三	március	NUM	N;NOM;SG
三	márciusi	三	márciusi	NUM	ADJ;NOM;SG
表達	kifejezés	表達	kifejezés	V	N;NOM;SG
芒	mans	芒	mans	N	
吸收	felszívódás	吸收	felszívódás	V	N;NOM;SG
奧地利	ausztria	奧地利	ausztria	PROPN	N;NOM;SG
成人	felnőtt	成人	felnőtt	N	
成人	nagykorú	成人	nagykorú	N	
成人	felnőtt	成人	felnőtt	N	
整合	integrált	整合	integrált	N	
跑	futás	跑	futás	ADP	N;NOM;SG
威爾	will	威爾	will	PROPN	
威爾	fog	威爾	fog	PROPN	V;INDF;IND;SG;3;PRS;ACT
威爾	akarat	威爾	akarat	PROPN	N;NOM;SG
供應	kellékek	供應	kellék	V	N;NOM;PL
供應	ellátmányt	供應	ellátmány	V	N;ACC;SG
供應	ellátás	供應	ellátás	V	N;NOM;SG
供應	készletek	供應	készlet	V	N;NOM;PL
供應	ellátmány	供應	ellátmány	V	N;NOM;SG
供應	ellátási	供應	ellátási	V	ADJ;NOM;SG
供應	utánpótlás	供應	utánpótlás	V	N;NOM;SG
供應	ellátás	供應	ellátás	V	N;NOM;SG
供應	kínálat	供應	kínálat	V	N;NOM;SG
岸	part	岸	part	N	
岸	shore	岸	shore	N	
祖父	nagypapa	祖父	nagypap	N	
江南	gangnam	江南	gang	PROPN	
終於	végre	終於	végre	ADV	
結	csomót	結	csomó		N;ACC;SG
二	februárban	二	február	NUM	N;IN+ESS;SG
二	februári	二	februári	NUM	ADJ;NOM;SG
二	február	二	február	NUM	N;NOM;SG
不滿	elégedetlenség	不滿	elégedetlenség	V	
不滿	elégedetlen	不滿	elégedetlen	V	
不滿	elégedetlenség	不滿	elégedetlenség	V	
阿里	ali	阿里	ali	PROPN	
總理	premier	總理	premier	N	
伯爵	gróf	伯爵	gróf	N	
親王	prince	親王	prince	N	
特徵	jellemző	特徵	jellemző	N	ADJ;NOM;SG
特徵	jellegzetes	特徵	jellegzetes	N	
航天	aerospace	航天	aerospace	N	
進	tovább	進	tovább	V	ADV
進	további	進	további	V	N;NOM;SG
穿	viselni	穿	visel		V;NFIN;ACT
穿	viselni	穿	visel		V;NFIN;ACT
傷	sérültek	傷	sérül	N	V;INDF;IND;PL;3;PST;FIN;ACT
傷	sérült	傷	sérül	N	V;INDF;IND;SG;3;PST;FIN;ACT
傷	megsérült	傷	meg+sérül	N	V;INDF;IND;SG;3;PST;FIN;ACT
政黨	party	政黨	party	N	
政黨	parti	政黨	parti	N	ADJ;NOM;SG
相對	relatív	相對	relatív	ADP	
相對	viszonylagos	相對	viszonylagos	ADP	
相對	rokon	相對	rokon	ADP	
相對	viszonylag	相對	viszonylag	ADP	
一半	fele	一半	fél	NUM	N;NOM;SG
七	júliusban	七	július	NUM	N;IN+ESS;SG
七	júliusi	七	júliusi	NUM	ADJ;NOM;SG
七	július	七	július	NUM	N;NOM;SG
指示	utasítás	指示	utasítás	V	N;NOM;SG
指示	utasítás	指示	utasítás	V	N;NOM;SG
指示	utasításokat	指示	utasítás	V	N;ACC;PL
指示	utasítások	指示	utasítás	V	N;NOM;PL
指示	útmutató	指示	útmutató	V	N;NOM;SG
