खिड़की	fenêtres	खिड़की	fenêtre	N;NOM;FEM;SG;3	N;FEM;PL
ओमान	oman	ओमान	oman	PROPN;NOM;MASC;SG;3	PROPN
शक्तियां	powers	शक्ति	power	N;NOM;FEM;PL;3	PROPN
चतुर्भुज	rectangle	चतुर्भुज	rectangle	PROPN;NOM;MASC;SG;3	N;MASC;SG
मूक	sourdine	मूक	sourdine		N;FEM;SG
मूक	silencieuse	मूक	silencieux		ADJ;FEM;SG
मूक	muet	मूक	muet		ADJ;MASC;SG
मूक	silencieux	मूक	silencieux		ADJ;MASC;SG
मूक	silencieuses	मूक	silencieux		ADJ;FEM;PL
मूक	muet	मूक	muet		ADJ;MASC;SG
मूक	muette	मूक	muette		ADJ;FEM;SG
मूक	sourdine	मूक	sourdine		N;FEM;SG
मूक	muets	मूक	muet		ADJ;MASC;PL
लीन	lyn	लीन	lyn		PROPN
प्रतिभाशाली	génies	प्रतिभाशाली	génie	N;NOM;MASC;SG;3	N;MASC;PL
प्रतिभाशाली	talentueux	प्रतिभाशाली	talentueux	N;NOM;MASC;SG;3	ADJ;MASC;SG
प्रतिभाशाली	douée	प्रतिभाशाली	douer	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
प्रतिभाशाली	talentueuse	प्रतिभाशाली	talentueux	N;NOM;MASC;SG;3	ADJ;FEM;SG
पनीर	fromages	पनीर	fromage	N;NOM;MASC;SG;3	N;MASC;PL
स्मार्ट	intelligente	स्मार्ट	intelligent	N;NOM;MASC;SG;3	ADJ;FEM;SG
स्मार्ट	malin	स्मार्ट	malin	N;NOM;MASC;SG;3	ADJ;MASC;SG
स्मार्ट	intelligent	स्मार्ट	intelligent	N;NOM;MASC;SG;3	ADJ;MASC;SG
स्मार्ट	smart	स्मार्ट	smart	N;NOM;MASC;SG;3	PROPN
नियोक्ता	employeurs	नियोक्ता	employeur	N;NOM;MASC;SG;3	N;MASC;PL
नियोक्ता	employeurs	नियोक्ता	employeur	N;NOM;MASC;SG;3	N;MASC;PL
मैडोना	madone	मैडो	madone	PROPN;NOM;FEM;SG;3	N;FEM;SG
मैडोना	madonna	मैडो	madonna	PROPN;NOM;FEM;SG;3	PROPN
बराक	barack	बराक	barack	PROPN;NOM;MASC;SG;3	N;MASC;SG
बराक	barak	बराक	barak	PROPN;NOM;MASC;SG;3	PROPN
चमकदार	lumineuse	चमकदार	lumineux	N;NOM;MASC;SG;3	ADJ;FEM;SG
चमकदार	lumineuses	चमकदार	lumineux	N;NOM;MASC;SG;3	ADJ;FEM;PL
चमकदार	lumineux	चमकदार	lumineux	N;NOM;MASC;SG;3	ADJ;MASC;SG
चमकदार	brillant	चमकदार	brillant	N;NOM;MASC;SG;3	ADJ;MASC;SG
चमकदार	brillants	चमकदार	brillant	N;NOM;MASC;SG;3	ADJ;MASC;PL
चमकदार	éblouissante	चमकदार	éblouissant	N;NOM;MASC;SG;3	ADJ;FEM;SG
चमकदार	éblouissant	चमकदार	éblouissant	N;NOM;MASC;SG;3	ADJ;MASC;SG
नाड़ी	impulsions	नाड़ी	impulsion	N;NOM;FEM;SG;3	N;FEM;PL
नाड़ी	pulsations	नाड़ी	pulsation	N;NOM;FEM;SG;3	N;FEM;PL
कादर	kader	कादर	kader	PROPN;NOM;MASC;SG;3	PROPN
स्पीकर	intervenant	स्पीकर	intervenir	N;NOM;MASC;SG;3	V;PRS;V.PTCP
स्पीकर	enceintes	स्पीकर	enceinte	N;NOM;MASC;SG;3	N;FEM;PL
गैसें	gaz	गैस	gaz	N;NOM;FEM;PL;3	N;MASC;SG
सहभागिता	fiançailles	सहभागिता	fiançaille	N;NOM;FEM;SG;3	N;FEM;PL
सहभागिता	interactions	सहभागिता	interaction	N;NOM;FEM;SG;3	N;FEM;PL
यों	planche	यह	planche		N;FEM;SG
कल्कि	kalki	कल्कि	kalki	PROPN;NOM;MASC;SG;3	PROPN
इसराइल	israël	इसराइल	israël	PROPN;NOM;MASC;SG;3	N;MASC;SG
इसराइल	israel	इसराइल	israel	PROPN;NOM;MASC;SG;3	PROPN
वाट	watt	वाट	watt		N;MASC;SG
वाट	wat	वाट	wat		N;MASC;SG
कच्छ	kutch	कच्छ	kutch	PROPN;NOM;MASC;SG;3	
कोच्चि	kochi	कोच्चि	kochi	PROPN;NOM;MASC;SG;3	PROPN
कृषक	fermiers	कृषक	fermier	N;NOM;MASC;SG;3	N;MASC;PL
कृषक	agriculteurs	कृषक	agriculteur	N;NOM;MASC;SG;3	N;MASC;PL
गुदा	anale	गुदा	anal	N;NOM;MASC;SG;3	ADJ;FEM;SG
टीकाकरण	vaccins	टीकाकरण	vaccin	N;NOM;MASC;SG;3	N;MASC;PL
मूर्तिकला	sculptures	मूर्तिकला	sculpture	N;NOM;FEM;SG;3	N;FEM;PL
शाश्वत	éternité	शाश्वत	éternité		N;FEM;SG
पूना	poona	पूना	pooner		PROPN
बैग	sachets	बैग	sachet	N;NOM;MASC;SG;3	N;MASC;PL
बैग	sacs	बैग	sac	N;NOM;MASC;SG;3	N;MASC;PL
नर्तक	danseuses	नर्तक	danseur	N;NOM;MASC;SG;3	N;FEM;PL
नर्तक	danseurs	नर्तक	danseur	N;NOM;MASC;SG;3	N;MASC;PL
नीतियाँ	politiques	नीति	politique	N;NOM;FEM;PL;3	ADJ;MASC;PL
दत्ता	datta	दत्ता	datta	PROPN;NOM;MASC;SG;3	PROPN
दत्ता	dutta	दत्ता	dutta	PROPN;NOM;MASC;SG;3	PROPN
पढ़ना	lecture	पढ़	lecture	V;MASC;NFIN;ACT	N;FEM;SG
मैनुअल	manual	मैनुअल	manual	N;NOM;MASC;SG;3	PROPN
मैनुअल	manuels	मैनुअल	manuel	N;NOM;MASC;SG;3	N;MASC;PL
मैनुअल	manuelle	मैनुअल	manuelle	N;NOM;MASC;SG;3	ADJ;FEM;SG
दर्जन	douzaines	दर्जन	douzaine	N;NOM;MASC;SG;3	N;FEM;PL
दर्जन	dizaines	दर्जन	dizaine	N;NOM;MASC;SG;3	N;FEM;PL
सस्ती	abordables	सस्ती	abordable	ADJ;NOM;FEM;SG	ADJ;MASC;PL
राजपूतों	rajputs	राजपूत	rajput	N;ACC;MASC;PL;3	PROPN
बेखम	beckham	बेखम	beckham	PROPN;NOM;MASC;SG;3	PROPN
स्याही	encres	स्याही	encre		N;FEM;PL
स्याही	encre	स्याही	encre		N;FEM;SG
रॉस	ross	रॉस	ross	PROPN;NOM;MASC;SG;3	PROPN
पूछे	demandé	पूछ	demander	V;PFV;MASC;PL;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
सेब	pommes	सेब	pomme	N;NOM;MASC;SG;3	N;FEM;PL
सेब	apple	सेब	apple	N;NOM;MASC;SG;3	PROPN
शत्रुओं	haineux	शत्रु	haineux	N;ACC;MASC;PL;3	ADJ;MASC;SG
रो	rho	रो	rho		
रो	pleurer	रो	pleurer		V;NFIN
रो	pleurant	रो	pleurer		V;PRS;V.PTCP
रो	pleure	रो	pleure		V;IND;SG;3;PRS;FIN
रो	pleurs	रो	pleur		N;MASC;PL
पुस्तकालयों	bibliothèque	पुस्तकाल	bibliothèque	N;ACC;MASC;PL;3	N;FEM;SG
पुस्तकालयों	librairie	पुस्तकाल	librairie	N;ACC;MASC;PL;3	N;FEM;SG
अश्लील	pornographie	अश्लील	pornographie	ADJ	N;FEM;SG
अश्लील	porno	अश्लील	porno	ADJ	N;MASC;SG
आपात	urgences	आपात	urgence	N;NOM;MASC;SG;3	N;FEM;PL
नामीबिया	namibie	नामीबिया	namibie	PROPN;NOM;MASC;SG;3	PROPN
स्त्रियाँ	féminin	स्त्री	féminin	N;NOM;FEM;PL;3	ADJ;MASC;SG
स्त्रियाँ	femme	स्त्री	femme	N;NOM;FEM;PL;3	N;FEM;SG
एनी	annie	एनी	annie	PROPN;NOM;MASC;SG;3	N;FEM;SG
मामा	tonton	मामा	tonton	N;NOM;MASC;SG;3	PROPN
रूपांतर	variant	रूपांतर	varier	N;NOM;MASC;SG;3	V;PRS;V.PTCP
नगरीय	urbain	नगरीय	urbain	N;NOM;MASC;SG;3	ADJ;MASC;SG
नगरीय	urbaines	नगरीय	urbain	N;NOM;MASC;SG;3	ADJ;FEM;PL
नगरीय	urbains	नगरीय	urbain	N;NOM;MASC;SG;3	ADJ;MASC;PL
जैकी	jackie	जैकी	jackie	PROPN;NOM;MASC;SG;3	PROPN
जैकी	jacky	जैकी	jacky	PROPN;NOM;MASC;SG;3	PROPN
क्रोधित	aggravée	क्रोधित	aggraver	ADJ	V;FEM;SG;PST;V.PTCP
क्रोधित	aggravés	क्रोधित	aggraver	ADJ	V;MASC;PL;PST;V.PTCP
क्रोधित	aggravé	क्रोधित	aggraver	ADJ	V;MASC;SG;PST;V.PTCP
क्रोधित	aggravées	क्रोधित	aggravé	ADJ	V;FEM;PL;PST;V.PTCP
क्रोधित	énervé	क्रोधित	énervé	ADJ	V;MASC;SG;PST;V.PTCP
क्रोधित	colère	क्रोधित	colère	ADJ	N;FEM;SG
क्रोधित	fâché	क्रोधित	fâcher	ADJ	V;MASC;SG;PST;V.PTCP
तात्कालिक	urgent	तात्कालिक	urgent	PROPN;NOM;SG;3	ADJ;MASC;SG
तात्कालिक	urgents	तात्कालिक	urgent	PROPN;NOM;SG;3	ADJ;MASC;PL
तात्कालिक	urgentes	तात्कालिक	urgent	PROPN;NOM;SG;3	ADJ;FEM;PL
तात्कालिक	urgente	तात्कालिक	urgent	PROPN;NOM;SG;3	ADJ;FEM;SG
तात्कालिक	immédiates	तात्कालिक	immédiat	PROPN;NOM;SG;3	ADJ;FEM;PL
तात्कालिक	immédiat	तात्कालिक	immédiat	PROPN;NOM;SG;3	ADJ;MASC;SG
तात्कालिक	immédiats	तात्कालिक	immédiat	PROPN;NOM;SG;3	ADJ;MASC;PL
तात्कालिक	immédiate	तात्कालिक	immédiat	PROPN;NOM;SG;3	ADJ;FEM;SG
तात्कालिक	immédiatement	तात्कालिक	immédiatement	PROPN;NOM;SG;3	ADV
तांत्रिक	tantrique	तांत्रिक	tantrique	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
हलके	légèrement	हलका	légèrement	N;NOM;MASC;SG;3	ADV
कमांड	commandements	कमांड	commandement	N;NOM;MASC;SG;3	N;MASC;PL
कमांड	commandes	कमांड	commande	N;NOM;MASC;SG;3	N;FEM;PL
कोबेन	cobain	कोबेन	cobain	PROPN;NOM;MASC;SG;3	PROPN
विवेकानन्द	vivekananda	विवेकानन्द	vivekananda	PROPN;NOM;MASC;SG;3	PROPN
बुराई	diaboliques	बुराई	diabolique	N;NOM;FEM;SG;3	ADJ;MASC;PL
बुराई	mal	बुराई	mal	N;NOM;FEM;SG;3	ADV
बुराई	evil	बुराई	evil	N;NOM;FEM;SG;3	PROPN
बुराई	diabolique	बुराई	diabolique	N;NOM;FEM;SG;3	ADJ;MASC;SG
टाइपिंग	taper	टाइपिंग	taper	N;NOM;FEM;SG;3	V;NFIN
उत्तेजक	provocateur	उत्तेजक	provocateur	PROPN;NOM;SG;3	ADJ;MASC;SG
उत्तेजक	provocante	उत्तेजक	provocant	PROPN;NOM;SG;3	ADJ;FEM;SG
उत्तेजक	provocation	उत्तेजक	provocation	PROPN;NOM;SG;3	N;FEM;SG
उत्तेजक	stimulants	उत्तेजक	stimulant	PROPN;NOM;SG;3	ADJ;MASC;PL
उत्तेजक	stimulant	उत्तेजक	stimuler	PROPN;NOM;SG;3	ADJ;MASC;SG
दशमलव	décimale	दशमलव	décimal		ADJ;FEM;SG
दशमलव	décimal	दशमलव	décimal		N;MASC;SG
काई	kai	काई	kai		PROPN
क्रूर	cruels	क्रूर	cruel	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
क्रूर	cruelle	क्रूर	cruelle	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
क्रूर	cruel	क्रूर	cruel	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
क्रूर	cruelles	क्रूर	cruel	PROPN;NOM;MASC;SG;3	ADJ;FEM;PL
क्रूर	brutale	क्रूर	brutal	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
क्रूर	brutal	क्रूर	brutal	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
जोनाथन	jonathan	जोनाथन	jonathan	PROPN;NOM;MASC;SG;3	PROPN
हस्त	hasta	हस्त	hasta		PROPN
हस्त	artisanale	हस्त	artisanal		ADJ;FEM;SG
हस्त	handmade	हस्त	handmade		N;MASC;SG
मीणा	meena	मीणा	meener	PROPN;NOM;MASC;SG;3	PROPN
सैर	promenades	सैर	promenade	N;NOM;FEM;SG;3	N;FEM;PL
सैर	balades	सैर	balade	N;NOM;FEM;SG;3	N;FEM;PL
सैर	marcher	सैर	marcher	N;NOM;FEM;SG;3	V;NFIN
चिकनी	lisser	चिकना	lisser	ADJ;NOM;FEM;SG	V;NFIN
चिकनी	lisses	चिकना	lisse	ADJ;NOM;FEM;SG	ADJ;MASC;PL
कैनेडी	kennedy	कैनेडी	kennedy	PROPN;NOM;MASC;SG;3	PROPN
टाई	cravate	टाई	cravate		N;FEM;SG
टाई	nouer	टाई	nouer		V;NFIN
टाई	cravates	टाई	cravate		N;MASC;PL
विदेशियों	étrangers	विदेशी	étranger	N;ACC;MASC;PL;3	ADJ;MASC;PL
विदेशियों	etrangers	विदेशी	etranger	N;ACC;MASC;PL;3	ADJ;MASC;PL
अनुवादित	traduites	अनुवादित	traduire	ADJ	V;FEM;PL;PST;V.PTCP
अनुवादित	traduits	अनुवादित	traduire	ADJ	V;MASC;PL;PST;V.PTCP
अनुवादित	traduite	अनुवादित	traduire	ADJ	V;FEM;SG;PST;V.PTCP
अनुवादित	traduit	अनुवादित	traduire	ADJ	V;MASC;SG;PST;V.PTCP
करोड़ों	myriade	करोड	myriade	N;ACC;MASC;PL;3	N;FEM;SG
इंजीनियरों	ingénieur	इंजीनियर	ingénieur	N;ACC;MASC;PL;3	N;MASC;SG
गा	chantons	गा	chanter	V;SG;FIN;ACT	V;IMP;PL;1;PRS;FIN
पूछताछ	enquêtes	पूछताछ	enquête	N;NOM;FEM;SG;3	N;FEM;PL
सर्पिल	spirales	सर्पिल	spirale	N;NOM;FEM;SG;3	N;FEM;PL
गवाही	témoigne	गवाही	témoigner	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
गवाही	témoigner	गवाही	témoigner	N;NOM;FEM;SG;3	V;NFIN
वॉकर	walker	वॉकर	walker	PROPN;NOM;MASC;SG;3	PROPN
वॉकर	rôdeur	वॉकर	rôdeur	PROPN;NOM;MASC;SG;3	N;MASC;SG
कैदियों	prisonnières	कैदी	prisonnier	N;ACC;MASC;PL;3	ADJ;FEM;PL
कैदियों	détenus	कैदी	détenir	N;ACC;MASC;PL;3	V;MASC;PL;PST;V.PTCP
समाविष्ट	incarné	समाविष्ट	incarner	ADJ	V;MASC;SG;PST;V.PTCP
समाविष्ट	incarnée	समाविष्ट	incarner	ADJ	V;FEM;SG;PST;V.PTCP
अरविंद	arvind	अरविंद	arvind	PROPN;NOM;MASC;SG;3	PROPN
फिजी	fidji	फिजी	fidji	PROPN;NOM;MASC;SG;3	PROPN
फिजी	fidjien	फिजी	fidjien	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
हुक	hook	हुक	hook	N;NOM;MASC;SG;3	PROPN
रिटर्न	retours	रिटर्न	retour	N;NOM;MASC;SG;3	N;MASC;PL
रिटर्न	retourne	रिटर्न	retourner	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
रिटर्न	retourner	रिटर्न	retourner	N;NOM;MASC;SG;3	V;NFIN
रिटर्न	revenir	रिटर्न	revenir	N;NOM;MASC;SG;3	V;NFIN
प्लैटिनम	platinum	प्लैटिनम	platinum	N;NOM;MASC;SG;3	PROPN
फिल	phil	फिल	phil	PROPN;NOM;MASC;SG;3	N;MASC;SG
फिलीपींस	philippines	फिलीपींस	philippine	PROPN;NOM;MASC;SG;3	N;FEM;PL
फिलीपींस	philippins	फिलीपींस	philippin	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
सपाट	plats	सपाट	plat		N;MASC;PL
सपाट	plat	सपाट	plat		N;MASC;SG
नक़ल	copiez	नक़ल	copiez	N;NOM;FEM;SG;3	V;IMP;PL;2;PRS;FIN
नक़ल	exemplaire	नक़ल	exemplaire	N;NOM;FEM;SG;3	ADJ;MASC;SG
नक़ल	copier	नक़ल	copier	N;NOM;FEM;SG;3	V;NFIN
नक़ल	exemplaires	नक़ल	exemplaire	N;NOM;FEM;SG;3	N;MASC;PL
नक़ल	copies	नक़ल	copie	N;NOM;FEM;SG;3	N;FEM;PL
केन्या	kenya	केन्या	kenya	PROPN;NOM;MASC;SG;3	PROPN
बर्बाद	gaspiller	बर्बाद	gaspiller	ADJ	V;NFIN
बर्बाद	déchets	बर्बाद	déchet	ADJ	N;MASC;PL
बर्बाद	gaspillages	बर्बाद	gaspillage	ADJ	N;MASC;PL
बर्बाद	gaspillage	बर्बाद	gaspillage	ADJ	N;MASC;SG
बर्बाद	déchet	बर्बाद	déchet	ADJ	N;MASC;SG
कस्टम	coutumes	कस्टम	coutume	N;NOM;MASC;SG;3	N;FEM;PL
कस्टम	douanes	कस्टम	douane	N;NOM;MASC;SG;3	N;FEM;PL
कस्टम	douanières	कस्टम	douanier	N;NOM;MASC;SG;3	ADJ;FEM;PL
कस्टम	personnalisé	कस्टम	personnalisé	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
कस्टम	personnalisée	कस्टम	personnaliser	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
कस्टम	personnalisés	कस्टम	personnalisé	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
अकादमिक	académiques	अकादमिक	académique	N;NOM;MASC;SG;3	ADJ;MASC;PL
अकादमिक	universitaire	अकादमिक	universitaire	N;NOM;MASC;SG;3	ADJ;MASC;SG
अकादमिक	universitaires	अकादमिक	universitaire	N;NOM;MASC;SG;3	ADJ;MASC;PL
अकादमिक	académique	अकादमिक	académique	N;NOM;MASC;SG;3	ADJ;MASC;SG
शेन	shane	शेन	shane	PROPN;NOM;MASC;SG;3	PROPN
असीम	asim	असीम	asim		PROPN
असीम	infiniment	असीम	infiniment		ADJ;MASC;SG
असीम	infinie	असीम	infini		ADJ;FEM;SG
असीम	interminable	असीम	interminable		ADJ;MASC;SG
असीम	interminables	असीम	interminable		ADJ;MASC;PL
असीम	infini	असीम	infini		PROPN
एकजुट	unir	एकजुट	unir	ADV	V;NFIN
एकजुट	unite	एकजुट	unite	ADV	N;FEM;SG
दांते	dante	दान्ता	dante	PROPN;NOM;MASC;SG;3	N;MASC;SG
सीबीआई	cbi	सीबीआई	cbi	PROPN;NOM;MASC;SG;3	N;FEM;SG
किंगफिशर	kingfisher	किंगफिशर	kingfisher	PROPN;NOM;MASC;SG;3	PROPN
बगीचे	jardin	बगीचा	jardin	N;NOM;MASC;PL;3	N;MASC;SG
मुराद	murad	मुराद	murad	PROPN;NOM;FEM;SG;3	PROPN
युग्म	couplée	युग्म	coupler		V;FEM;SG;PST;V.PTCP
युग्म	couplé	युग्म	coupler		V;MASC;SG;PST;V.PTCP
ईमान	faith	ईमान	faire	N;NOM;MASC;SG;3	PROPN
भट्टी	four	भट्टी	four		N;MASC;SG
भट्टी	fournaise	भट्टी	fournaise		N;FEM;SG
भट्टी	chaudière	भट्टी	chaudière		N;FEM;SG
भट्टी	fourneau	भट्टी	fourneau		N;MASC;SG
केली	kelly	केली	kelly	PROPN;NOM;MASC;SG;3	PROPN
केली	kaylee	केली	kaylee	PROPN;NOM;MASC;SG;3	PROPN
लोकगीत	folklorique	लोकगीत	folklorique	N;NOM;MASC;SG;3	ADJ;MASC;SG
सर्बिया	serbie	सर्बिया	serbier	PROPN;NOM;MASC;SG;3	PROPN
स्प्रिंगस्टीन	springsteen	स्प्रिंगस्टीन	springsteen	N;NOM;FEM;SG;3	PROPN
धर्मनिरपेक्ष	laïcité	धर्मनिरपेक्ष	laïcité	ADJ	N;FEM;SG
धर्मनिरपेक्ष	laïcs	धर्मनिरपेक्ष	laïc	ADJ	N;MASC;PL
दृष्टिगोचर	visible	दृष्टिगोचर	visible	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
दृष्टिगोचर	visibles	दृष्टिगोचर	visible	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
तोप	cannon	तोप	cannon	N;NOM;FEM;SG;3	PROPN
तोप	canons	तोप	canon	N;NOM;FEM;SG;3	N;MASC;PL
दूरभाष	telephone	दूरभाष	telephone	PROPN;NOM;MASC;SG;3	N;MASC;SG
दूरभाष	téléphone	दूरभाष	téléphone	PROPN;NOM;MASC;SG;3	N;MASC;SG
शेंगेन	schengen	शेंगेन	schengen	N;NOM;MASC;SG;3	ADJ;MASC;SG
दुल्हन	fiancée	दुल्हन	fiancée	N;NOM;FEM;SG;3	V;FEM;SG;PST;V.PTCP
दुल्हन	mariée	दुल्हन	marier	N;NOM;FEM;SG;3	V;FEM;SG;PST;V.PTCP
आंत्र	typhus	आंत्र	typhu		N;MASC;SG
आंत्र	typhoïde	आंत्र	typhoïde		N;FEM;SG
ओबेरॉय	oberoi	ओबेरॉय	oberoi	PROPN;NOM;MASC;SG;3	PROPN
उड़	mouches	उड़	mouche	V;ACT	N;FEM;PL
उड़	mouche	उड़	mouche	V;ACT	N;FEM;SG
गुजरता	passes	गुजरता	passe	V;IPFV;MASC;SG;V.PTCP;ACT	N;FEM;PL
माली	maldives	माली	maldif	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
माली	jardinier	माली	jardinier	PROPN;NOM;MASC;SG;3	N;MASC;SG
माली	malien	माली	malien	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
माली	mali	माली	mali	PROPN;NOM;MASC;SG;3	N;MASC;SG
सिएटल	seattle	सिएटल	seattle	PROPN;NOM;MASC;SG;3	PROPN
प्रिया	priya	प्रिया	priya	PROPN;NOM;FEM;SG;3	PROPN
टायर	pneumatiques	टायर	pneumatique	N;NOM;MASC;SG;3	ADJ;MASC;PL
टायर	pneus	टायर	pneu	N;NOM;MASC;SG;3	N;MASC;PL
टायर	pneumatiques	टायर	pneumatique	N;NOM;MASC;SG;3	ADJ;MASC;PL
टायर	pneus	टायर	pneu	N;NOM;MASC;SG;3	N;MASC;PL
टायर	pneumatique	टायर	pneumatique	N;NOM;MASC;SG;3	ADJ;MASC;SG
टायर	tyr	टायर	tyr	N;NOM;MASC;SG;3	PROPN
बाँस	bambous	बाँस	bambous	N;NOM;MASC;SG;3	N;MASC;PL
सुधारक	réformateur	सुधारक	réformateur	PROPN;NOM;MASC;SG;3	N;MASC;SG
सुधारक	réformiste	सुधारक	réformiste	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
अठारह	eighteen	अठारह	eighteen	NUM	N;MASC;SG
उत्खनन	fouilles	उत्खनन	fouille	N;NOM;MASC;SG;3	N;FEM;PL
उन्नयन	améliorer	उन्नयन	améliorer	N;NOM;MASC;SG;3	V;NFIN
