для	for	для	for	ADP	
японии	γιαπωνέζικο	япония	γιαπωνέζικος	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
серия	σειρές	серия	σειρός	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
серия	σειρά	серия	σειρά	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
песня	σονγκ	песня	σονγκ	N;INAN;NOM;FEM;SG	
василий	βασιλικός	василие	βασιλικός	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
василий	βασιλικό	василие	βασιλικός	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
василий	μπάζιλ	василие	μπάζιλ	N;ANIM;NOM;MASC;SG	
василий	βασίλι	василие	βασίλι	N;ANIM;NOM;MASC;SG	
испании	ισπανία	испания	ισπανία	N;INAN;NOM;NEUT;SG	PROPN;ACC;FEM;SG
штат	πολιτεία	штат	πολιτεία	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
штат	state	штат	state	N;INAN;NOM;MASC;SG	
проблемы	πρόβλημα	проблема	πρόβλημα	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
проблемы	προβλημα	проблема	προβλημα	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
юрий	γιούρι	юрий	γιούρι	N;ANIM;NOM;MASC;SG	
ниже	κατωτέρω	низкий	κατωτέρω	ADJ;CMPR	ADV
ниже	κάτω	низкий	κάτω	ADJ;CMPR	ADV
ниже	παρακάτω	низкий	παράκατος	ADJ;CMPR	ADV
ниже	κατω	низкий	κατω	ADJ;CMPR	ADV
ниже	κάτω	низкий	κάτω	ADJ;CMPR	ADV
ниже	κατώτερη	низкий	κατώς	ADJ;CMPR	N;NOM;FEM;SG
ниже	χαμηλότερα	низкий	χαμηλά	ADJ;CMPR	ADV;CMPR
улицы	δρόμους	улица	δρόμος	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
рядом	κοντα	рядом	κοντα	ADV	N;NOM;FEM;SG
рядом	κοντινές	рядом	κοντινός	ADV	ADJ;NOM;FEM;PL
найти	βρες	найти	βρες	V;PFV;NFIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
найти	βρω	найти	βρω	V;PFV;NFIN;ACT	V;IPFV;IND;SG;1;FIN;ACT
вклад	εισροές	вклад	εισρός	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
вклад	εισόδου	вклад	είσοδος	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG
вклад	εισροή	вклад	εισροή	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
вклад	συμβολή	вклад	συμβολή	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
вклад	συνεισφορά	вклад	συνεισφορά	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
вклад	εισφορές	вклад	εισφορά	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
вклад	συνεισφορές	вклад	συνεισφορά	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
развитие	εξέλιξη	развитие	εξέλιξη	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
развитие	ανάπτυξη	развитие	ανάπτυξη	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
лиги	league	лига	league	N;INAN;NOM;FEM;SG	
лиги	λιγκ	лига	λιγκ	N;INAN;NOM;FEM;SG	
директор	διευθυντή	директор	διευθυντής	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
командир	διοικητή	командир	διοικητής	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
друг	φιλε	друг	φίλομαι	N;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
вернулся	επέστρεψε	вернуться	επιστρέφω	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;IND;SG;3;PST;FIN;ACT
считается	μετράει	считать	μετρώ	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
рок	rock	рок	rock	N;INAN;NOM;MASC;SG	
рок	ροκ	рок	ροκ	N;INAN;NOM;MASC;SG	
пор	erp	пора	erp	N;INAN;GEN;FEM;PL	
мой	ορυχείο	мой	ορυχείο	DET;NOM;MASC;SG	N;NOM;NEUT;SG
значение	εννοώντας	значение	εννοώ	N;INAN;NOM;NEUT;SG	V;IPFV;V.CVB;ACT
значение	αξία	значение	αξία	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
комитета	επιτροπή	комитет	επιτροπή	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
комитета	επιτροπη	комитет	επιτροπος	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
производства	παραγωγή	производство	παραγωγή	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
производства	παραγωγής	производство	παραγωγή	N;INAN;NOM;NEUT;PL	N;GEN;FEM;SG
премьер	premier	премьер	premier	N;ANIM;NOM;MASC;SG	
сначала	πρώτο	сначала	πρώτος	ADV	NUM;NOM;NEUT;SG
сначала	πρώτη	сначала	πρώτος	ADV	NUM;NOM;FEM;SG
сначала	πρώτος	сначала	πρώτος	ADV	NUM;NOM;MASC;SG
действительно	αλήθεια	действительно	αλήθεια	ADV	N;NOM;FEM;SG
игра	game	игра	game	N;INAN;NOM;FEM;SG	
игра	παιχνιδι	игра	παιχνιδι	N;INAN;NOM;FEM;SG	
строительство	ναυπήγηση	строительство	ναυπήγηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
строительство	κατασκευές	строительство	κατασκευή	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
пункт	παράγραφο	пункт	παράγραφο	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
мать	μάνα	мать	μάνας	N;ANIM;NOM;FEM;SG	N;ACC;FEM;SG
старший	πρεσβύτερος	старший	πρεσβύς	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;MASC;SG
старший	γέροντας	старший	γέρω	ADJ;NOM;MASC;SG	V;IPFV;V.CVB;ACT
старший	γέροντα	старший	γέρω	ADJ;NOM;MASC;SG	N;VOC;MASC;SG
тренер	εκπαιδευτή	тренер	εκπαιδευτής	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
тренер	coach	тренер	coach	N;ANIM;NOM;MASC;SG	
тренер	προπονητή	тренер	προπονητής	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
написал	έγραψες	писать	έγραψη	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;PL;2;PST;FIN;ACT
значения	αποσαφήνιση	значение	αποσαφήνιση	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
пути	τρόπους	путь	τρόπος	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
женщины	γυναίκα	женщина	γυναίκα	N;ANIM;NOM;FEM;PL	N;NOM;FEM;SG
женщины	θηλυκό	женщина	θηλυκός	N;ANIM;NOM;FEM;PL	N;NOM;NEUT;SG
майор	ταγματάρχη	майор	ταγματάρχης	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
храм	τεμπλ	храм	τεμπλ	N;INAN;NOM;MASC;SG	
храм	ναό	храм	ναός	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
исследования	έρευνα	исследование	έρευνα	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
исследования	ερευνα	исследование	ερευνα	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
какие	τι	какой	τι	DET;NOM;PL	PRO;NOM;NEUT;SG;3
обороны	άμυνας	оборона	άμυνα	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
обороны	άμυνα	оборона	άμυνα	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
обороны	υπεράσπιση	оборона	υπεράσπιση	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
обороны	άμυνα	оборона	άμυνα	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
обороны	υπεράσπιση	оборона	υπεράσπιση	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
мнение	γνωμη	мнение	γνωμη	N;INAN;NOM;NEUT;SG	N;VOC;FEM;SG
мнение	γνώμη	мнение	γνώμη	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
мнение	γνωμοδοτήσεις	мнение	γνωμοδότηση	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
мнение	γνώμες	мнение	γνώμα	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
мнение	απόψεις	мнение	άποψη	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
сообщения	επικοινωνιών	сообщение	επικοινωνία	N;INAN;NOM;NEUT;PL	N;GEN;FEM;PL
сообщения	επικοινωνία	сообщение	επικοινωνία	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
раздел	διαχωριστικό	раздел	διαχωριστικός	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
раздел	κατάτμηση	раздел	κατάτμηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
раздел	διχοτόμηση	раздел	διχοτόμηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
матч	ματς	матч	ματός	N;INAN;NOM;MASC;SG	
матч	αγώνα	матч	αγώνας	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
востоке	ανατολή	восток	ανατολή	N;INAN;ESS;MASC;SG	N;NOM;FEM;SG
востоке	ανατολική	восток	ανατολικός	N;INAN;ESS;MASC;SG	ADJ;NOM;FEM;SG
востоке	ανατολικά	восток	ανατολικά	N;INAN;ESS;MASC;SG	ADV
востоке	ανατολικό	восток	ανατολικός	N;INAN;ESS;MASC;SG	ADJ;NOM;NEUT;SG
востоке	ιστ	восток	ιστ	N;INAN;ESS;MASC;SG	NUM;NOM;MASC;SG
быстро	γρήγορος	быстро	γρήγορος	ADV	N;NOM;MASC;SG
быстро	γρήγορη	быстро	γρήγορος	ADV	ADJ;NOM;FEM;SG
быстро	γρήγορος	быстро	γρήγορος	ADV	N;NOM;MASC;SG
быстро	γρήγορο	быстро	γρήγορος	ADV	N;NOM;NEUT;SG
быстро	γρήγορη	быстро	γρήγορος	ADV	ADJ;NOM;FEM;SG
удаление	αφαίρεση	удаление	αφαίρεση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
удаление	αφαίρεση	удаление	αφαίρεση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
удаление	απομάκρυνση	удаление	απομάκρυνση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
удаление	διαγραφή	удаление	διαγραφή	N;INAN;NOM;NEUT;SG	ADV
проходит	περάσματα	проходить	πέρασμα	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;NEUT;PL
влияние	επίπτωση	влияние	επίπτωση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
влияние	επιπτώσεις	влияние	επίπτωση	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
влияние	επίδραση	влияние	επίδραση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
влияние	επιρροές	влияние	επιρροή	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
влияние	επιρροή	влияние	επιρροή	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
влияние	επηρεαζόμενος	влияние	επηρεαζόμενος	N;INAN;NOM;NEUT;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
епископ	μπίσοπ	епископ	μπίσοπ	N;ANIM;NOM;MASC;SG	
следующий	επόμενη	следующий	επόμενος	ADJ;NOM;MASC;SG	ADJ;ACC;FEM;SG
максимальная	μέγιστη	максимальный	μέγιστος	ADJ;NOM;FEM;SG	N;ACC;FEM;SG
максимальная	μέγιστο	максимальный	μέγιστος	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
англии	αγγλία	англия	αγγλία	N;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG
капитан	κυβερνήτη	капитан	κυβερνήτης	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
капитан	καπετάνιος	капитан	καπετάνιος	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
никто	κανένας	никто	κανένας	PRO;NOM	N;NOM;MASC;SG
работает	εργάζεται	работать	εργάζομαι	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
работает	έργα	работать	έργο	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;NEUT;PL
ленина	λένιν	ленин	λένω	N;ANIM;ACC;MASC;SG	PROPN;NOM;MASC;SG
должно	πρέπει	должен	πρέπει	ADJ;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
интернет	ίντερνετ	интернет	ίντερνετ	N;INAN;NOM;MASC;SG	
интернет	internet	интернет	internet	N;INAN;NOM;MASC;SG	
руководитель	leader	руководитель	leader	N;ANIM;NOM;MASC;SG	
армия	στρατό	армия	στρατός	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
науки	επιστήμη	наука	επιστήμα	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
версия	έκδοση	версия	έκδοση	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
версия	εκδοχή	версия	εκδοχή	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
школе	σχολείο	школа	σχολείο	N;INAN;DAT;FEM;SG	N;NOM;NEUT;SG
школе	σχολη	школа	σχολος	N;INAN;DAT;FEM;SG	N;NOM;FEM;SG
школе	σχολειο	школа	σχολειο	N;INAN;DAT;FEM;SG	N;NOM;NEUT;SG
школе	σχολή	школа	σχολή	N;INAN;DAT;FEM;SG	N;NOM;FEM;SG
думаю	σκέψης	думать	σκέψη	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;GEN;FEM;SG
думаю	σκέψη	думать	σκέψη	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;FEM;SG
думаю	μάντεψε	думать	μαντεύω	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
воды	νερό	вода	νερό	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
воды	νερο	вода	νερο	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
воды	ύδωρ	вода	ύδωρ	N;INAN;NOM;FEM;PL	PROPN;NOM;MASC;SG
титул	τίτλος	титул	τίτλος	N;INAN;NOM;MASC;SG	NUM;NOM;MASC;SG
князь	πρίγκιπα	князь	πρίγκιπας	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
князь	πρινς	князь	πρινς	N;ANIM;NOM;MASC;SG	
князь	prince	князь	prince	N;ANIM;NOM;MASC;SG	
деревне	εξοχή	деревня	εξοχή	N;INAN;DAT;FEM;SG	N;NOM;FEM;SG
деревне	ύπαιθρο	деревня	ύπαιθρο	N;INAN;DAT;FEM;SG	N;ACC;FEM;SG
деревне	χωριο	деревня	χωριο	N;INAN;DAT;FEM;SG	N;NOM;NEUT;SG
деревне	χωριό	деревня	χωριό	N;INAN;DAT;FEM;SG	N;NOM;NEUT;SG
кубок	κόπα	кубок	κόπα	N;INAN;NOM;MASC;SG	
помимо	περα	помимо	περα	ADP	ADV
помимо	πέρα	помимо	πέρα	ADP	ADV
пять	five	пять	five	NUM;NOM	
движение	κίνηση	движение	κίνηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
движение	κίνηση	движение	κίνηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
движение	κυκλοφορία	движение	κυκλοφορία	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
движение	μετακίνηση	движение	μετακίνηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
движение	κίνηση	движение	κίνηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
святой	αγία	святой	αγία	ADJ;NOM;MASC;SG	PROPN;NOM;FEM;SG
святой	αγιος	святой	αγιος	ADJ;NOM;MASC;SG	DET;NOM;DEF;MASC;SG
святой	άγιο	святой	άγιος	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
святой	ιερό	святой	ιερός	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
святой	ιερά	святой	ιερός	ADJ;NOM;MASC;SG	ADV
союз	γιούνιον	союз	γιούνιον	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
союз	σογιούζ	союз	σογιώ	N;INAN;NOM;MASC;SG	
удалено	διαγράφεται	удалить	διαγράφω	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
удалено	διαγράφονται	удалить	διαγράφω	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IPFV;IND;PL;3;PRS;FIN;PASS
удалено	αφαιρέθηκαν	удалить	αφαιρώ	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;PFV;IND;PL;3;PST;FIN;PASS
ван	βαν	ван	βαν	PART	
ван	van	ван	van	PART	
ван	φορτηγάκι	ван	φορτηγάκι	PART	N;NOM;NEUT;SG
ван	wang	ван	wang	PART	
ван	γουάνγκ	ван	γουάνγκ	PART	
удалить	αφαίρεση	удалить	αφαίρεση	V;PFV;NFIN;ACT	N;ACC;FEM;SG
удалить	διαγραφή	удалить	διαγραφή	V;PFV;NFIN;ACT	ADV
остров	island	остров	island	N;INAN;NOM;MASC;SG	
остров	νήσος	остров	νήσος	N;INAN;NOM;MASC;SG	PROPN;NOM;FEM;SG
прав	δικαιωμάτων	прав	δικαίωμα	ADJ;MASC;SG	N;GEN;NEUT;PL
прав	δικαιωματα	прав	δικαίωμα	ADJ;MASC;SG	N;NOM;NEUT;PL
прав	δικαιώματα	прав	δικαίωμα	ADJ;MASC;SG	N;NOM;NEUT;PL
кажется	φαίνεται	казаться	φαίνομαι	V;IPFV;IND;SG;3;PRS;FIN;MID	V;IPFV;IND;SG;3;PRS;FIN;PASS
французский	γάλλοι	французский	γάλλος	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;PL
французский	γάλλος	французский	γάλλος	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
французский	γαλλικά	французский	γαλλικά	ADJ;NOM;MASC;SG	ADV
издание	έκδοση	издание	έκδοση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
павел	παύλος	павел	παύλος	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
павел	paul	павел	paul	N;ANIM;NOM;MASC;SG	
павел	πωλ	павел	πωλ	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
павел	paweł	павел	paweł	N;ANIM;NOM;MASC;SG	
павел	πάβελ	павел	πάβελ	N;ANIM;NOM;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
пётр	πέτρος	пётр	πέτρος	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
пётр	πέτρο	пётр	πέτρο	N;ANIM;NOM;MASC;SG	PROPN;ACC;MASC;SG
пётр	peter	пётр	peter	N;ANIM;NOM;MASC;SG	
пётр	πίτερ	пётр	πίτερ	N;ANIM;NOM;MASC;SG	
пётр	πήτερ	пётр	πήτερ	N;ANIM;NOM;MASC;SG	
пётр	πιότρ	пётр	πιότρ	N;ANIM;NOM;MASC;SG	
золотой	χρυσός	золотой	χρυσός	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
золотой	χρυσό	золотой	χρυσός	ADJ;NOM;MASC;SG	
золотой	χρυσή	золотой	χρυσός	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
золотой	golden	золотой	golden	ADJ;NOM;MASC;SG	
золотой	χρυσά	золотой	χρυσάς	ADJ;NOM;MASC;SG	N;NOM;NEUT;PL
золотой	χρυσός	золотой	χρυσός	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
золотой	χρυσό	золотой	χρυσός	ADJ;NOM;MASC;SG	
золотой	χρυσο	золотой	χρύσος	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
золотой	χρυσάφι	золотой	χρυσάφι	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
золотой	χρυσά	золотой	χρυσάς	ADJ;NOM;MASC;SG	N;NOM;NEUT;PL
последние	τελευταίο	последний	τελευταίος	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
последние	τελευταίος	последний	τελευταίος	ADJ;NOM;PL	ADJ;NOM;MASC;SG
последние	τελευταια	последний	τελευταίος	ADJ;NOM;PL	V;IPFV;IND;PL;3;PRS;FIN;PASS
последние	τελευταία	последний	τελευταία	ADJ;NOM;PL	ADV
последние	πρόσφατα	последний	πρόσφατα	ADJ;NOM;PL	ADV
последние	πρόσφατο	последний	πρόσφατος	ADJ;NOM;PL	N;NOM;NEUT;SG
последние	πρόσφατη	последний	πρόσφατος	ADJ;NOM;PL	ADJ;NOM;FEM;SG
известный	γνωστοί	известный	γνωστός	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
известный	γνωστές	известный	γνωστός	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
известный	διάσημο	известный	διάσημος	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
известный	διάσημος	известный	διάσημος	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
известный	διάσημοι	известный	διάσημος	ADJ;NOM;MASC;SG	N;NOM;MASC;PL
флота	στόλο	флот	στόλο	N;INAN;GEN;MASC;SG	N;ACC;MASC;SG
флота	στόλος	флот	στόλος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
использование	χρησιμοποιώντας	использование	χρησιμοποιώ	N;INAN;NOM;NEUT;SG	V;IPFV;V.CVB;ACT
использование	χρήση	использование	χρήση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
использование	χρησιμοποίηση	использование	χρησιμοποίηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
далее	επόμενος	далее	επόμενος	ADV	ADJ;NOM;MASC;SG
далее	επόμενη	далее	επόμενος	ADV	ADJ;ACC;FEM;SG
